rank,feature_location
2,277_DefaultMode
3,171_Visual
4,288_FrontoParietal
5,65_CinguloOpercular
6,160_Visual
7,159_Visual
7,211_VentralAttention
9,194_FrontoParietal
10,149_Visual
10,72_Auditory
12,13_SomatomotorDorsal
13,187_FrontoParietal
13,244_Reward
15,285_FrontoParietal
16,133_DefaultMode
16,217_VentralAttention
18,131_DefaultMode
18,135_DefaultMode
20,177_FrontoParietal
21,279_DefaultMode
21,292_Salience
23,280_DefaultMode
24,289_FrontoParietal
25,75_Auditory
26,104_DefaultMode
26,84_DefaultMode
28,220_DorsalAttention
29,109_DefaultMode
29,286_FrontoParietal
31,242_Reward
32,274_CinguloOpercular
33,290_FrontoParietal
34,278_DefaultMode
35,243_Reward
36,240_Reward
36,32_SomatomotorDorsal
38,181_FrontoParietal
39,116_DefaultMode
40,140_ParietoMedial
40,207_Salience
42,85_DefaultMode
43,35_SomatomotorDorsal
44,121_DefaultMode
44,248_Salience
47,24_SomatomotorDorsal
47,78_Auditory
47,95_DefaultMode
49,272_SomatomotorDorsal
50,261_CinguloOpercular
52,214_VentralAttention
52,233_DorsalAttention
52,55_CinguloOpercular
54,232_DorsalAttention
55,164_Visual
55,200_FrontoParietal
57,89_DefaultMode
58,60_CinguloOpercular
58,63_CinguloOpercular
60,46_SomatomotorLateral
61,184_FrontoParietal
61,271_SomatomotorLateral
63,100_DefaultMode
64,241_Reward
64,266_CinguloOpercular
66,219_VentralAttention
66,43_SomatomotorDorsal
68,190_FrontoParietal
69,183_FrontoParietal
69,29_SomatomotorDorsal
72,195_FrontoParietal
72,208_Salience
72,263_DefaultMode
72,3_unassigned
75,21_SomatomotorDorsal
76,157_Visual
76,56_CinguloOpercular
78,185_FrontoParietal
78,4_unassigned
80,226_DorsalAttention
81,143_Visual
81,76_Auditory
83,18_SomatomotorDorsal
84,227_DorsalAttention
85,300_SomatomotorDorsal
86,73_Auditory
87,269_CinguloOpercular
89,27_SomatomotorDorsal
89,296_SomatomotorDorsal
89,53_CinguloOpercular
91,28_SomatomotorDorsal
92,283_Visual
92,70_Auditory
94,22_SomatomotorDorsal
95,156_Visual
95,205_Salience
97,97_DefaultMode
98,108_DefaultMode
98,202_Salience
100,199_FrontoParietal
100,225_DorsalAttention
102,172_Visual
102,186_FrontoParietal
104,249_Salience
104,9_unassigned
106,203_Salience
107,236_MedialTemporalLobe
108,82_DefaultMode
109,106_DefaultMode
109,148_Visual
111,192_FrontoParietal
113,198_FrontoParietal
113,298_SomatomotorLateral
113,52_CinguloOpercular
115,103_DefaultMode
115,239_DefaultMode
117,158_Visual
117,74_Auditory
119,153_Visual
120,119_DefaultMode
120,47_SomatomotorLateral
122,113_DefaultMode
122,165_Visual
124,191_FrontoParietal
124,86_DefaultMode
126,115_DefaultMode
126,235_MedialTemporalLobe
128,146_Visual
128,260_CinguloOpercular
130,107_DefaultMode
131,265_Visual
131,93_DefaultMode
133,62_CinguloOpercular
134,5_unassigned
135,180_FrontoParietal
135,282_DefaultMode
137,253_SomatomotorDorsal
138,15_SomatomotorDorsal
139,122_DefaultMode
140,297_SomatomotorLateral
142,246_Reward
142,26_SomatomotorDorsal
142,284_FrontoParietal
144,228_DorsalAttention
147,193_FrontoParietal
147,222_DorsalAttention
147,255_SomatomotorLateral
147,267_CinguloOpercular
147,67_CinguloOpercular
150,230_DorsalAttention
152,137_ParietoMedial
152,270_SomatomotorLateral
152,36_SomatomotorDorsal
154,61_CinguloOpercular
155,295_SomatomotorDorsal
155,40_SomatomotorDorsal
157,155_Visual
157,215_VentralAttention
160,224_DorsalAttention
160,231_DorsalAttention
160,34_SomatomotorDorsal
162,71_Auditory
163,37_SomatomotorDorsal
163,90_DefaultMode
165,120_DefaultMode
165,161_Visual
167,127_DefaultMode
168,151_Visual
168,57_CinguloOpercular
170,144_Visual
171,91_DefaultMode
172,110_DefaultMode
173,234_MedialTemporalLobe
174,25_SomatomotorDorsal
175,30_SomatomotorDorsal
176,275_DorsalAttention
177,10_unassigned
177,212_VentralAttention
179,96_DefaultMode
180,238_DefaultMode
180,264_Visual
183,299_SomatomotorDorsal
183,51_CinguloOpercular
183,79_Auditory
185,98_DefaultMode
186,294_CinguloOpercular
187,12_unassigned
188,223_DorsalAttention
188,247_Reward
190,147_Visual
190,88_DefaultMode
193,154_Visual
193,291_Salience
193,31_SomatomotorDorsal
195,19_SomatomotorDorsal
197,118_DefaultMode
197,58_CinguloOpercular
197,69_Auditory
199,176_FrontoParietal
199,201_FrontoParietal
201,139_ParietoMedial
202,237_MedialTemporalLobe
202,7_unassigned
204,152_Visual
204,80_Auditory
206,1_unassigned
206,48_SomatomotorLateral
209,41_SomatomotorDorsal
209,64_CinguloOpercular
209,6_unassigned
211,268_CinguloOpercular
211,293_CinguloOpercular
214,128_DefaultMode
214,169_Visual
214,188_FrontoParietal
216,258_CinguloOpercular
216,83_DefaultMode
219,141_Visual
219,204_Salience
219,281_DefaultMode
