rank,feature_location
2,164_Visual
2,253_SomatomotorDorsal
2,75_Auditory
3,149_Visual
4,211_VentralAttention
5,177_FrontoParietal
6,159_Visual
7,46_SomatomotorLateral
8,135_DefaultMode
10,171_Visual
10,277_DefaultMode
10,91_DefaultMode
12,29_SomatomotorDorsal
13,35_SomatomotorDorsal
14,260_CinguloOpercular
15,131_DefaultMode
16,161_Visual
16,76_Auditory
18,146_Visual
18,257_VentralAttention
20,300_SomatomotorDorsal
21,267_CinguloOpercular
22,120_DefaultMode
22,157_Visual
24,247_Reward
25,156_Visual
26,73_Auditory
26,95_DefaultMode
28,248_Salience
28,30_SomatomotorDorsal
30,38_SomatomotorDorsal
31,194_FrontoParietal
31,224_DorsalAttention
33,11_unassigned
34,202_Salience
35,18_SomatomotorDorsal
35,290_FrontoParietal
37,147_Visual
37,236_MedialTemporalLobe
39,17_SomatomotorDorsal
40,105_DefaultMode
40,74_Auditory
42,249_Salience
42,285_FrontoParietal
44,225_DorsalAttention
44,232_DorsalAttention
46,198_FrontoParietal
47,133_DefaultMode
49,20_SomatomotorDorsal
49,32_SomatomotorDorsal
49,72_Auditory
51,182_FrontoParietal
51,192_FrontoParietal
53,214_VentralAttention
54,9_unassigned
55,276_DorsalAttention
55,286_FrontoParietal
57,145_Visual
58,127_DefaultMode
60,104_DefaultMode
60,13_SomatomotorDorsal
60,39_SomatomotorDorsal
62,98_DefaultMode
63,141_Visual
64,19_SomatomotorDorsal
65,36_SomatomotorDorsal
67,160_Visual
67,251_FrontoParietal
67,281_DefaultMode
69,117_DefaultMode
70,237_MedialTemporalLobe
71,274_CinguloOpercular
71,96_DefaultMode
73,3_unassigned
73,47_SomatomotorLateral
75,255_SomatomotorLateral
76,295_SomatomotorDorsal
76,43_SomatomotorDorsal
78,240_Reward
78,34_SomatomotorDorsal
80,1_unassigned
80,28_SomatomotorDorsal
82,222_DorsalAttention
82,65_CinguloOpercular
84,82_DefaultMode
85,279_DefaultMode
86,114_DefaultMode
87,86_DefaultMode
88,205_Salience
90,233_DorsalAttention
90,244_Reward
90,294_CinguloOpercular
92,210_Salience
92,288_FrontoParietal
94,193_FrontoParietal
95,250_FrontoParietal
96,37_SomatomotorDorsal
97,85_DefaultMode
98,189_FrontoParietal
99,16_SomatomotorDorsal
99,187_FrontoParietal
101,162_Visual
101,219_VentralAttention
103,243_Reward
104,21_SomatomotorDorsal
106,174_Visual
106,230_DorsalAttention
106,55_CinguloOpercular
