rank,feature_location
2,226_DorsalAttention
2,265_Visual
3,86_DefaultMode
4,212_VentralAttention
4,53_CinguloOpercular
6,286_FrontoParietal
7,240_Reward
7,284_FrontoParietal
9,111_DefaultMode
9,244_Reward
11,243_Reward
11,255_SomatomotorLateral
13,258_CinguloOpercular
13,56_CinguloOpercular
15,16_SomatomotorDorsal
16,121_DefaultMode
16,280_DefaultMode
19,129_DefaultMode
19,205_Salience
19,65_CinguloOpercular
21,238_DefaultMode
23,143_Visual
23,153_Visual
23,60_CinguloOpercular
23,67_CinguloOpercular
26,239_DefaultMode
26,279_DefaultMode
28,157_Visual
28,96_DefaultMode
30,25_SomatomotorDorsal
31,35_SomatomotorDorsal
31,71_Auditory
33,61_CinguloOpercular
35,127_DefaultMode
35,227_DorsalAttention
35,272_SomatomotorDorsal
37,247_Reward
39,285_FrontoParietal
39,297_SomatomotorLateral
39,41_SomatomotorDorsal
41,152_Visual
41,18_SomatomotorDorsal
43,13_SomatomotorDorsal
44,191_FrontoParietal
44,77_Auditory
46,231_DorsalAttention
47,290_FrontoParietal
48,162_Visual
49,225_DorsalAttention
50,220_DorsalAttention
51,219_VentralAttention
52,101_DefaultMode
52,221_DorsalAttention
54,294_CinguloOpercular
54,63_CinguloOpercular
56,271_SomatomotorLateral
56,298_SomatomotorLateral
58,251_FrontoParietal
59,259_CinguloOpercular
59,33_SomatomotorDorsal
61,184_FrontoParietal
62,261_CinguloOpercular
62,31_SomatomotorDorsal
64,159_Visual
65,62_CinguloOpercular
66,32_SomatomotorDorsal
67,171_Visual
68,269_CinguloOpercular
69,203_Salience
70,164_Visual
70,207_Salience
72,163_Visual
73,196_FrontoParietal
74,208_Salience
74,266_CinguloOpercular
76,197_FrontoParietal
76,5_unassigned
78,189_FrontoParietal
78,84_DefaultMode
80,95_DefaultMode
81,78_Auditory
82,36_SomatomotorDorsal
83,169_Visual
85,150_Visual
85,245_Reward
85,90_DefaultMode
87,264_Visual
88,260_CinguloOpercular
89,21_SomatomotorDorsal
90,132_DefaultMode
90,292_Salience
92,15_SomatomotorDorsal
93,19_SomatomotorDorsal
94,295_SomatomotorDorsal
95,88_DefaultMode
96,274_CinguloOpercular
97,277_DefaultMode
98,10_unassigned
98,236_MedialTemporalLobe
100,135_DefaultMode
100,188_FrontoParietal
102,83_DefaultMode
103,47_SomatomotorLateral
104,131_DefaultMode
105,166_Visual
105,180_FrontoParietal
107,55_CinguloOpercular
108,49_SomatomotorLateral
109,138_ParietoMedial
110,133_DefaultMode
111,252_SomatomotorDorsal
111,300_SomatomotorDorsal
113,141_Visual
114,187_FrontoParietal
114,72_Auditory
116,278_DefaultMode
117,109_DefaultMode
118,289_FrontoParietal
118,6_unassigned
120,151_Visual
121,145_Visual
121,58_CinguloOpercular
123,172_Visual
124,93_DefaultMode
125,224_DorsalAttention
125,273_SomatomotorDorsal
127,237_MedialTemporalLobe
128,299_SomatomotorDorsal
129,215_VentralAttention
129,94_DefaultMode
131,87_DefaultMode
133,228_DorsalAttention
133,232_DorsalAttention
133,42_SomatomotorDorsal
133,44_SomatomotorDorsal
136,267_CinguloOpercular
137,120_DefaultMode
137,4_unassigned
140,293_CinguloOpercular
140,296_SomatomotorDorsal
140,43_SomatomotorDorsal
142,27_SomatomotorDorsal
144,107_DefaultMode
144,122_DefaultMode
144,51_CinguloOpercular
146,158_Visual
147,146_Visual
147,54_CinguloOpercular
149,160_Visual
150,12_unassigned
151,186_FrontoParietal
152,177_FrontoParietal
152,24_SomatomotorDorsal
154,253_SomatomotorDorsal
155,216_VentralAttention
155,97_DefaultMode
157,222_DorsalAttention
159,142_Visual
159,170_Visual
159,76_Auditory
161,70_Auditory
163,199_FrontoParietal
163,48_SomatomotorLateral
163,91_DefaultMode
165,40_SomatomotorDorsal
166,14_SomatomotorDorsal
166,161_Visual
