rank,feature_location
2,53_CinguloOpercular
3,277_DefaultMode
4,270_SomatomotorLateral
5,244_Reward
6,111_DefaultMode
7,187_FrontoParietal
8,236_MedialTemporalLobe
10,152_Visual
10,161_Visual
10,56_CinguloOpercular
12,61_CinguloOpercular
13,299_SomatomotorDorsal
14,16_SomatomotorDorsal
14,219_VentralAttention
16,267_CinguloOpercular
17,240_Reward
18,163_Visual
18,174_Visual
21,239_DefaultMode
21,83_DefaultMode
21,96_DefaultMode
23,268_CinguloOpercular
24,116_DefaultMode
25,282_DefaultMode
26,238_DefaultMode
27,29_SomatomotorDorsal
28,227_DorsalAttention
29,52_CinguloOpercular
30,141_Visual
31,32_SomatomotorDorsal
31,71_Auditory
33,76_Auditory
33,8_unassigned
35,286_FrontoParietal
36,266_CinguloOpercular
37,215_VentralAttention
38,197_FrontoParietal
38,250_FrontoParietal
40,129_DefaultMode
41,251_FrontoParietal
42,18_SomatomotorDorsal
43,237_MedialTemporalLobe
43,263_DefaultMode
45,27_SomatomotorDorsal
46,249_Salience
47,143_Visual
49,10_unassigned
49,31_SomatomotorDorsal
49,43_SomatomotorDorsal
49,46_SomatomotorLateral
52,226_DorsalAttention
52,260_CinguloOpercular
54,243_Reward
54,55_CinguloOpercular
56,188_FrontoParietal
56,20_SomatomotorDorsal
58,200_FrontoParietal
59,58_CinguloOpercular
60,15_SomatomotorDorsal
61,280_DefaultMode
62,294_CinguloOpercular
63,274_CinguloOpercular
63,44_SomatomotorDorsal
65,86_DefaultMode
66,132_DefaultMode
67,199_FrontoParietal
68,24_SomatomotorDorsal
68,285_FrontoParietal
70,210_Salience
71,108_DefaultMode
72,194_FrontoParietal
72,92_DefaultMode
74,296_SomatomotorDorsal
75,19_SomatomotorDorsal
76,110_DefaultMode
77,257_VentralAttention
77,40_SomatomotorDorsal
80,14_SomatomotorDorsal
80,176_FrontoParietal
80,248_Salience
82,103_DefaultMode
83,224_DorsalAttention
83,284_FrontoParietal
85,25_SomatomotorDorsal
87,117_DefaultMode
87,13_SomatomotorDorsal
87,156_Visual
89,207_Salience
89,220_DorsalAttention
91,145_Visual
92,165_Visual
92,74_Auditory
94,95_DefaultMode
95,118_DefaultMode
95,33_SomatomotorDorsal
98,205_Salience
98,23_SomatomotorDorsal
98,247_Reward
100,278_DefaultMode
101,142_Visual
102,127_DefaultMode
103,133_DefaultMode
103,254_SomatomotorLateral
105,253_SomatomotorDorsal
106,69_Auditory
107,101_DefaultMode
107,288_FrontoParietal
109,106_DefaultMode
109,115_DefaultMode
111,287_FrontoParietal
112,85_DefaultMode
114,182_FrontoParietal
114,276_DorsalAttention
114,5_unassigned
116,112_DefaultMode
116,150_Visual
118,293_CinguloOpercular
119,41_SomatomotorDorsal
120,36_SomatomotorDorsal
121,81_DefaultMode
122,75_Auditory
123,261_CinguloOpercular
123,269_CinguloOpercular
125,47_SomatomotorLateral
126,87_DefaultMode
127,126_DefaultMode
127,134_DefaultMode
129,130_DefaultMode
129,6_unassigned
131,135_DefaultMode
133,146_Visual
133,172_Visual
133,70_Auditory
135,164_Visual
136,144_Visual
136,99_DefaultMode
138,185_FrontoParietal
139,17_SomatomotorDorsal
139,206_Salience
141,204_Salience
141,34_SomatomotorDorsal
143,139_ParietoMedial
144,232_DorsalAttention
145,30_SomatomotorDorsal
146,157_Visual
146,48_SomatomotorLateral
148,262_DefaultMode
149,138_ParietoMedial
150,65_CinguloOpercular
151,119_DefaultMode
151,196_FrontoParietal
153,202_Salience
153,54_CinguloOpercular
155,63_CinguloOpercular
155,67_CinguloOpercular
157,121_DefaultMode
157,231_DorsalAttention
159,190_FrontoParietal
161,183_FrontoParietal
161,234_MedialTemporalLobe
161,72_Auditory
163,184_FrontoParietal
163,218_VentralAttention
165,189_FrontoParietal
165,42_SomatomotorDorsal
167,160_Visual
167,2_unassigned
169,131_DefaultMode
170,73_Auditory
171,178_FrontoParietal
172,222_DorsalAttention
172,98_DefaultMode
174,230_DorsalAttention
175,28_SomatomotorDorsal
176,122_DefaultMode
176,229_DorsalAttention
178,12_unassigned
178,275_DorsalAttention
180,35_SomatomotorDorsal
181,252_SomatomotorDorsal
181,300_SomatomotorDorsal
183,154_Visual
184,177_FrontoParietal
185,264_Visual
186,171_Visual
188,104_DefaultMode
188,191_FrontoParietal
188,223_DorsalAttention
190,216_VentralAttention
190,66_CinguloOpercular
192,136_ParietoMedial
192,279_DefaultMode
194,211_VentralAttention
195,60_CinguloOpercular
196,22_SomatomotorDorsal
197,290_FrontoParietal
198,213_VentralAttention
199,125_DefaultMode
199,64_CinguloOpercular
203,120_DefaultMode
203,181_FrontoParietal
203,77_Auditory
203,91_DefaultMode
203,94_DefaultMode
206,272_SomatomotorDorsal
206,297_SomatomotorLateral
209,162_Visual
209,271_SomatomotorLateral
209,59_CinguloOpercular
211,114_DefaultMode
213,148_Visual
213,170_Visual
213,273_SomatomotorDorsal
215,209_Salience
216,179_FrontoParietal
216,38_SomatomotorDorsal
218,113_DefaultMode
219,82_DefaultMode
220,123_DefaultMode
220,80_Auditory
222,265_Visual
223,166_Visual
223,88_DefaultMode
225,84_DefaultMode
225,9_unassigned
227,233_DorsalAttention
228,281_DefaultMode
228,49_SomatomotorLateral
230,37_SomatomotorDorsal
231,93_DefaultMode
232,124_DefaultMode
232,221_DorsalAttention
234,201_FrontoParietal
234,225_DorsalAttention
236,235_MedialTemporalLobe
237,159_Visual
239,137_ParietoMedial
239,198_FrontoParietal
239,283_Visual
241,4_unassigned
242,193_FrontoParietal
242,68_CinguloOpercular
244,212_VentralAttention
244,51_CinguloOpercular
246,195_FrontoParietal
248,105_DefaultMode
248,203_Salience
248,50_CinguloOpercular
250,168_Visual
251,1_unassigned
251,39_SomatomotorDorsal
253,128_DefaultMode
254,292_Salience
255,140_ParietoMedial
255,242_Reward
257,169_Visual
257,245_Reward
259,100_DefaultMode
259,173_Visual
262,107_DefaultMode
262,158_Visual
262,79_Auditory
264,147_Visual
265,90_DefaultMode
266,78_Auditory
267,57_CinguloOpercular
268,246_Reward
269,175_FrontoParietal
269,62_CinguloOpercular
271,97_DefaultMode
272,89_DefaultMode
273,11_unassigned
