rank,feature_location
2,FC_mean_23144
2,FC_mean_36058
2,FC_mean_39614
3,FC_mean_29892
4,FC_mean_1650
5,FC_mean_17588
5,FC_mean_39295
8,FC_mean_27356
8,FC_mean_30439
8,FC_mean_37665
10,FC_mean_3501
11,FC_mean_22649
12,FC_mean_43425
13,FC_mean_16908
14,FC_mean_22795
15,FC_mean_28991
16,FC_mean_42558
17,FC_mean_30944
18,FC_mean_29673
18,FC_mean_39380
20,FC_mean_27225
20,FC_mean_42975
22,FC_mean_17522
23,FC_mean_39606
24,FC_mean_27359
25,FC_mean_24034
26,FC_mean_17269
27,FC_mean_37054
28,FC_mean_41667
29,FC_mean_22650
30,FC_mean_14455
31,FC_mean_42518
32,FC_mean_27531
33,FC_mean_41970
34,FC_mean_30136
34,FC_mean_39615
36,FC_mean_10611
37,FC_mean_3024
38,FC_mean_29994
39,FC_mean_38126
39,FC_mean_6566
41,FC_mean_30742
42,FC_mean_38339
43,FC_mean_22798
43,FC_mean_44762
45,FC_mean_37664
46,FC_mean_30099
47,FC_mean_44741
48,FC_mean_22869
49,FC_mean_44715
50,FC_mean_39281
50,FC_mean_39604
52,FC_mean_32572
53,FC_mean_41244
54,FC_mean_43256
55,FC_mean_17127
56,FC_mean_44760
57,FC_mean_19332
58,FC_mean_21711
59,FC_mean_34976
60,FC_mean_32275
61,FC_mean_39190
62,FC_mean_12157
64,FC_mean_19909
64,FC_mean_41910
64,FC_mean_42789
66,FC_mean_40056
67,FC_mean_34234
68,FC_mean_43175
69,FC_mean_16947
70,FC_mean_17283
71,FC_mean_37554
72,FC_mean_32433
72,FC_mean_37001
74,FC_mean_39825
75,FC_mean_18018
76,FC_mean_22652
77,FC_mean_21308
78,FC_mean_29996
79,FC_mean_13178
80,FC_mean_40134
80,FC_mean_41831
82,FC_mean_41681
83,FC_mean_16940
84,FC_mean_22853
84,FC_mean_30032
86,FC_mean_3060
87,FC_mean_15867
87,FC_mean_44040
89,FC_mean_8254
90,FC_mean_39329
91,FC_mean_27199
92,FC_mean_25696
92,FC_mean_28221
94,FC_mean_44664
95,FC_mean_39641
96,FC_mean_17518
97,FC_mean_36050
98,FC_mean_38550
99,FC_mean_16126
100,FC_mean_13715
101,FC_mean_39239
102,FC_mean_39953
103,FC_mean_24531
104,FC_mean_21253
104,FC_mean_39188
106,FC_mean_21333
107,FC_mean_38731
108,FC_mean_23268
109,FC_mean_18691
110,FC_mean_25695
111,FC_mean_16998
112,FC_mean_23741
113,FC_mean_1840
114,FC_mean_4967
115,FC_mean_14445
116,FC_mean_7914
117,FC_mean_20945
118,FC_mean_42026
119,FC_mean_30258
120,FC_mean_39369
121,FC_mean_8825
122,FC_mean_37090
123,FC_mean_21576
124,FC_mean_2960
125,FC_mean_15342
126,FC_mean_1378
127,FC_mean_39991
128,FC_mean_39220
129,FC_mean_38187
130,FC_mean_27227
131,FC_mean_40235
132,FC_mean_13198
133,FC_mean_23980
134,FC_mean_6111
135,FC_mean_4356
136,FC_mean_2824
137,FC_mean_27102
138,FC_mean_40082
139,FC_mean_44202
140,FC_mean_30042
141,FC_mean_3193
142,FC_mean_21574
143,FC_mean_33653
144,FC_mean_2262
145,FC_mean_38880
146,FC_mean_27598
147,FC_mean_9293
148,FC_mean_44214
149,FC_mean_16442
150,FC_mean_43465
151,FC_mean_16994
152,FC_mean_44755
153,FC_mean_30898
154,FC_mean_1748
155,FC_mean_574
156,FC_mean_31073
157,FC_mean_1469
158,FC_mean_18594
159,FC_mean_14632
160,FC_mean_27555
161,FC_mean_22677
162,FC_mean_43301
163,FC_mean_27474
164,FC_mean_31098
165,FC_mean_21050
166,FC_mean_40414
167,FC_mean_40465
168,FC_mean_23281
169,FC_mean_39227
170,FC_mean_37582
171,FC_mean_30934
172,FC_mean_26219
173,FC_mean_1321
174,FC_mean_117
175,FC_mean_33116
176,FC_mean_44749
177,FC_mean_42960
178,FC_mean_15860
179,FC_mean_7460
180,FC_mean_21358
