rank,feature_location
2,FC_var_1055
3,FC_var_13685
4,FC_var_23425
5,FC_var_25518
6,FC_var_41715
7,FC_var_3537
9,FC_var_1635
9,FC_var_26992
9,FC_var_4150
11,FC_var_23850
12,FC_var_5542
13,FC_var_1112
13,FC_var_34224
15,FC_var_34846
16,FC_var_12912
17,FC_var_25677
17,FC_var_36599
19,FC_var_19941
20,FC_var_42355
21,FC_var_3091
22,FC_var_42751
22,FC_var_6516
24,FC_var_43935
25,FC_var_41646
26,FC_var_29411
27,FC_var_40399
28,FC_var_39243
29,FC_var_43166
30,FC_var_30253
31,FC_var_38285
32,FC_var_11532
33,FC_var_38662
34,FC_var_32163
35,FC_var_20684
36,FC_var_15139
37,FC_var_11060
38,FC_var_15421
39,FC_var_7650
40,FC_var_10970
41,FC_var_29358
42,FC_var_38169
43,FC_var_32491
43,FC_var_43521
45,FC_var_17166
46,FC_var_14308
47,FC_var_13906
48,FC_var_8500
49,FC_var_19818
49,FC_var_35756
51,FC_var_42823
52,FC_var_28818
53,FC_var_8759
54,FC_var_24342
55,FC_var_31647
56,FC_var_21055
56,FC_var_33312
58,FC_var_42853
59,FC_var_16107
60,FC_var_1992
61,FC_var_18781
62,FC_var_4052
63,FC_var_22838
64,FC_var_17070
64,FC_var_8257
66,FC_var_14045
67,FC_var_13375
69,FC_var_15278
69,FC_var_25217
69,FC_var_29979
71,FC_var_11730
72,FC_var_38019
73,FC_var_17398
74,FC_var_30216
75,FC_var_32394
76,FC_var_42224
77,FC_var_1788
77,FC_var_35516
79,FC_var_3534
79,FC_var_3540
81,FC_var_34407
82,FC_var_8762
83,FC_var_16917
83,FC_var_38324
85,FC_var_32772
86,FC_var_7377
87,FC_var_21190
88,FC_var_1058
88,FC_var_1455
90,FC_var_653
91,FC_var_2304
91,FC_var_38689
93,FC_var_6376
94,FC_var_17290
95,FC_var_1
96,FC_var_14595
96,FC_var_16610
98,FC_var_20279
98,FC_var_32004
100,FC_var_32430
101,FC_var_33989
102,FC_var_17205
103,FC_var_38605
104,FC_var_1202
105,FC_var_17169
106,FC_var_40297
107,FC_var_41543
108,FC_var_524
109,FC_var_29946
109,FC_var_6355
111,FC_var_44551
112,FC_var_40235
113,FC_var_35101
114,FC_var_1417
115,FC_var_11205
116,FC_var_15907
117,FC_var_1077
118,FC_var_7583
119,FC_var_25351
120,FC_var_33819
121,FC_var_26393
122,FC_var_21182
123,FC_var_36221
124,FC_var_20906
125,FC_var_28885
126,FC_var_12689
127,FC_var_31917
128,FC_var_9865
129,FC_var_7705
130,FC_var_23601
131,FC_var_16747
131,FC_var_3473
133,FC_var_29154
134,FC_var_6852
135,FC_var_44818
136,FC_var_25394
137,FC_var_39118
138,FC_var_3669
139,FC_var_3804
140,FC_var_28341
141,FC_var_40572
141,FC_var_8202
143,FC_var_37297
144,FC_var_7790
145,FC_var_1167
146,FC_var_39238
147,FC_var_43899
148,FC_var_37624
149,FC_var_8450
150,FC_var_18752
151,FC_var_27399
152,FC_var_35608
153,FC_var_25519
154,FC_var_20127
155,FC_var_3331
156,FC_var_33433
157,FC_var_11410
159,FC_var_15647
159,FC_var_26998
159,FC_var_37677
161,FC_var_32366
162,FC_var_2334
163,FC_var_9306
164,FC_var_21129
164,FC_var_23248
166,FC_var_17001
167,FC_var_42759
168,FC_var_20613
169,FC_var_7998
169,FC_var_8053
171,FC_var_23518
172,FC_var_32097
173,FC_var_39490
174,FC_var_3535
175,FC_var_41469
176,FC_var_17438
177,FC_var_12284
178,FC_var_29531
179,FC_var_38988
180,FC_var_3639
181,FC_var_41547
182,FC_var_29799
183,FC_var_17508
184,FC_var_33906
185,FC_var_8571
186,FC_var_44816
187,FC_var_3555
188,FC_var_34252
189,FC_var_21558
190,FC_var_26589
191,FC_var_5442
192,FC_var_21529
193,FC_var_36247
194,FC_var_16288
195,FC_var_40646
196,FC_var_32143
197,FC_var_6630
198,FC_var_16935
199,FC_var_26875
200,FC_var_21139
201,FC_var_17321
202,FC_var_43705
203,FC_var_33189
204,FC_var_39901
205,FC_var_41357
206,FC_var_40697
207,FC_var_8487
208,FC_var_19094
209,FC_var_38943
210,FC_var_31065
211,FC_var_19563
212,FC_var_36876
213,FC_var_16186
213,FC_var_4361
215,FC_var_7367
216,FC_var_18418
217,FC_var_20018
218,FC_var_21049
219,FC_var_2047
220,FC_var_5626
221,FC_var_26974
222,FC_var_6613
223,FC_var_44656
224,FC_var_36023
225,FC_var_37842
226,FC_var_30825
227,FC_var_18243
228,FC_var_32544
229,FC_var_12779
230,FC_var_26924
231,FC_var_18733
232,FC_var_26851
233,FC_var_21236
234,FC_var_26290
235,FC_var_4545
236,FC_var_12845
237,FC_var_12164
238,FC_var_37385
239,FC_var_40753
240,FC_var_14104
241,FC_var_38924
242,FC_var_16267
243,FC_var_25942
243,FC_var_41325
245,FC_var_5541
246,FC_var_8995
247,FC_var_26994
248,FC_var_9848
249,FC_var_19350
250,FC_var_5789
251,FC_var_20147
252,FC_var_9774
253,FC_var_36453
254,FC_var_17904
255,FC_var_42252
256,FC_var_35559
257,FC_var_43421
258,FC_var_7443
259,FC_var_28460
260,FC_var_21286
261,FC_var_36687
262,FC_var_36829
263,FC_var_3074
264,FC_var_6546
265,FC_var_5908
266,FC_var_35197
267,FC_var_30119
268,FC_var_16660
269,FC_var_14895
270,FC_var_8518
271,FC_var_3717
272,FC_var_31505
273,FC_var_43281
274,FC_var_39812
275,FC_var_19035
275,FC_var_32299
277,FC_var_20155
278,FC_var_2115
279,FC_var_44512
280,FC_var_32217
281,FC_var_18555
282,FC_var_29604
283,FC_var_28564
284,FC_var_11420
285,FC_var_44108
286,FC_var_27238
287,FC_var_27634
288,FC_var_1942
289,FC_var_11313
290,FC_var_38862
291,FC_var_10694
292,FC_var_40997
293,FC_var_29456
294,FC_var_25556
295,FC_var_40400
296,FC_var_33891
297,FC_var_13110
297,FC_var_32158
299,FC_var_25534
300,FC_var_6725
301,FC_var_28329
302,FC_var_4957
303,FC_var_11363
304,FC_var_26369
305,FC_var_22235
306,FC_var_18698
306,FC_var_4030
308,FC_var_30155
309,FC_var_15805
310,FC_var_28975
311,FC_var_25646
312,FC_var_35005
313,FC_var_31214
314,FC_var_976
315,FC_var_38352
316,FC_var_7954
317,FC_var_602
318,FC_var_12023
319,FC_var_43686
320,FC_var_23208
321,FC_var_2474
322,FC_var_32333
323,FC_var_28854
324,FC_var_21752
325,FC_var_19343
326,FC_var_1847
327,FC_var_5836
328,FC_var_3388
329,FC_var_30000
330,FC_var_27329
331,FC_var_17048
332,FC_var_31426
333,FC_var_28861
334,FC_var_14158
335,FC_var_40318
336,FC_var_40584
337,FC_var_12092
338,FC_var_19724
339,FC_var_10894
340,FC_var_30812
341,FC_var_13199
342,FC_var_42761
343,FC_var_9847
344,FC_var_16304
344,FC_var_44609
346,FC_var_5208
347,FC_var_13990
348,FC_var_9322
349,FC_var_11116
349,FC_var_8472
351,FC_var_560
352,FC_var_10805
353,FC_var_28029
354,FC_var_21589
354,FC_var_25485
356,FC_var_8761
357,FC_var_21412
358,FC_var_41807
359,FC_var_42942
360,FC_var_6103
361,FC_var_30220
362,FC_var_6140
363,FC_var_12104
364,FC_var_29782
365,FC_var_24526
366,FC_var_10098
367,FC_var_17299
368,FC_var_12238
369,FC_var_6676
370,FC_var_12533
371,FC_var_28520
372,FC_var_32562
373,FC_var_42696
374,FC_var_16717
375,FC_var_3649
376,FC_var_39508
377,FC_var_21095
378,FC_var_29863
379,FC_var_43300
380,FC_var_8898
381,FC_var_39429
382,FC_var_39536
383,FC_var_32510
384,FC_var_32142
385,FC_var_12551
386,FC_var_32977
387,FC_var_3936
388,FC_var_43791
389,FC_var_1815
390,FC_var_12815
391,FC_var_9996
392,FC_var_7899
393,FC_var_12649
394,FC_var_38568
395,FC_var_2055
396,FC_var_11789
397,FC_var_9381
398,FC_var_31719
399,FC_var_35966
400,FC_var_6674
401,FC_var_7749
402,FC_var_26210
403,FC_var_41813
404,FC_var_2938
405,FC_var_9330
406,FC_var_25111
407,FC_var_4849
408,FC_var_3801
409,FC_var_34364
410,FC_var_24988
411,FC_var_28526
412,FC_var_13657
413,FC_var_38701
414,FC_var_40648
415,FC_var_44361
416,FC_var_29401
417,FC_var_27803
418,FC_var_37261
419,FC_var_30666
420,FC_var_29750
421,FC_var_23573
422,FC_var_29943
423,FC_var_12168
424,FC_var_10432
425,FC_var_9350
426,FC_var_12510
427,FC_var_21918
428,FC_var_42475
429,FC_var_16926
430,FC_var_3291
431,FC_var_4649
432,FC_var_44501
433,FC_var_9018
434,FC_var_20539
435,FC_var_19457
436,FC_var_14704
437,FC_var_19930
438,FC_var_16896
439,FC_var_23836
440,FC_var_1991
441,FC_var_7388
442,FC_var_33390
443,FC_var_26300
444,FC_var_38768
445,FC_var_44720
446,FC_var_25595
447,FC_var_44190
448,FC_var_14868
449,FC_var_17595
449,FC_var_36553
