rank,feature_location
2,FC_mean_2995
3,FC_mean_3611
4,FC_mean_6495
5,FC_mean_14903
5,FC_mean_7865
7,FC_mean_14776
8,FC_mean_38349
9,FC_mean_38318
10,FC_mean_9328
11,FC_mean_6256
12,FC_mean_16340
13,FC_mean_26645
14,FC_mean_41539
14,FC_mean_71
16,FC_mean_26704
16,FC_mean_43061
18,FC_mean_38646
19,FC_mean_41024
20,FC_mean_13402
20,FC_mean_16327
22,FC_mean_5409
23,FC_mean_38089
24,FC_mean_14134
25,FC_mean_42777
26,FC_mean_38272
27,FC_mean_20717
28,FC_mean_16074
29,FC_mean_38134
30,FC_mean_43090
31,FC_mean_1533
32,FC_mean_10268
33,FC_mean_6375
34,FC_mean_7654
35,FC_mean_31371
36,FC_mean_18458
37,FC_mean_40309
38,FC_mean_14002
39,FC_mean_3708
40,FC_mean_9238
41,FC_mean_7898
42,FC_mean_5414
43,FC_mean_40776
44,FC_mean_15848
45,FC_mean_29622
46,FC_mean_17286
47,FC_mean_28094
48,FC_mean_16947
49,FC_mean_42104
49,FC_mean_780
51,FC_mean_33342
52,FC_mean_2738
53,FC_mean_18915
54,FC_mean_13979
54,FC_mean_3399
56,FC_mean_38645
57,FC_mean_8828
58,FC_mean_17524
59,FC_mean_14363
59,FC_mean_39827
61,FC_mean_35063
62,FC_mean_30490
63,FC_mean_17420
64,FC_mean_14216
65,FC_mean_29703
66,FC_mean_16071
67,FC_mean_35315
68,FC_mean_39321
69,FC_mean_15066
70,FC_mean_14942
71,FC_mean_16073
72,FC_mean_17860
73,FC_mean_16179
74,FC_mean_5901
75,FC_mean_26137
76,FC_mean_17994
76,FC_mean_24812
78,FC_mean_3289
79,FC_mean_9621
80,FC_mean_21867
81,FC_mean_18427
82,FC_mean_43274
83,FC_mean_15309
84,FC_mean_10071
85,FC_mean_6523
86,FC_mean_41541
87,FC_mean_17713
88,FC_mean_41345
89,FC_mean_40328
90,FC_mean_43076
91,FC_mean_17743
92,FC_mean_9312
93,FC_mean_9619
94,FC_mean_12918
95,FC_mean_10791
96,FC_mean_3568
97,FC_mean_17276
98,FC_mean_35438
99,FC_mean_6380
100,FC_mean_6449
101,FC_mean_35436
102,FC_mean_44764
103,FC_mean_40388
104,FC_mean_13810
105,FC_mean_35034
106,FC_mean_11987
106,FC_mean_26267
108,FC_mean_10259
109,FC_mean_31423
110,FC_mean_33669
111,FC_mean_27091
112,FC_mean_16314
113,FC_mean_7773
114,FC_mean_14729
115,FC_mean_4619
116,FC_mean_40791
117,FC_mean_6401
118,FC_mean_14281
119,FC_mean_11695
120,FC_mean_13481
121,FC_mean_33738
122,FC_mean_1659
122,FC_mean_6387
124,FC_mean_30131
125,FC_mean_24686
125,FC_mean_3423
127,FC_mean_39194
128,FC_mean_37593
129,FC_mean_26838
129,FC_mean_5128
131,FC_mean_21253
132,FC_mean_491
133,FC_mean_39831
134,FC_mean_24637
134,FC_mean_31296
136,FC_mean_37151
137,FC_mean_9774
138,FC_mean_37405
139,FC_mean_13959
140,FC_mean_10218
141,FC_mean_5689
142,FC_mean_8168
143,FC_mean_6528
144,FC_mean_44481
145,FC_mean_14704
146,FC_mean_12717
