rank,feature_location
2,FC_var_11257
3,FC_var_25328
4,FC_var_36376
5,FC_var_32788
6,FC_var_15164
7,FC_var_29279
8,FC_var_30011
9,FC_var_43521
10,FC_var_25079
11,FC_var_13257
11,FC_var_7135
13,FC_var_40059
14,FC_var_26616
15,FC_var_2873
16,FC_var_25636
16,FC_var_38844
18,FC_var_6888
19,FC_var_36076
20,FC_var_13783
21,FC_var_31977
22,FC_var_42121
23,FC_var_6199
24,FC_var_15252
25,FC_var_8343
26,FC_var_6719
27,FC_var_23964
28,FC_var_35103
29,FC_var_15159
30,FC_var_10691
30,FC_var_44122
32,FC_var_17488
32,FC_var_41199
34,FC_var_17900
35,FC_var_42018
36,FC_var_24838
37,FC_var_43637
38,FC_var_34420
39,FC_var_42342
40,FC_var_26555
41,FC_var_7409
42,FC_var_7884
43,FC_var_44685
44,FC_var_12707
45,FC_var_36999
46,FC_var_12170
47,FC_var_3372
48,FC_var_37714
49,FC_var_13866
50,FC_var_948
51,FC_var_41990
52,FC_var_31393
53,FC_var_11375
54,FC_var_16523
55,FC_var_15067
56,FC_var_42679
57,FC_var_590
58,FC_var_32026
59,FC_var_12336
60,FC_var_1638
61,FC_var_31517
62,FC_var_25467
63,FC_var_22168
64,FC_var_10822
65,FC_var_1450
66,FC_var_44620
67,FC_var_11977
68,FC_var_13770
69,FC_var_33246
70,FC_var_30449
71,FC_var_27685
72,FC_var_27201
73,FC_var_41763
74,FC_var_24143
75,FC_var_38336
76,FC_var_24213
77,FC_var_31983
78,FC_var_35949
79,FC_var_41021
80,FC_var_21730
81,FC_var_18147
82,FC_var_4795
83,FC_var_26151
84,FC_var_16443
85,FC_var_14461
86,FC_var_17489
87,FC_var_14803
87,FC_var_6616
89,FC_var_41684
90,FC_var_10129
91,FC_var_21551
92,FC_var_11687
93,FC_var_14923
93,FC_var_6734
95,FC_var_5741
96,FC_var_2414
97,FC_var_32826
98,FC_var_6678
99,FC_var_44512
100,FC_var_17520
101,FC_var_24572
102,FC_var_42770
103,FC_var_44496
104,FC_var_1717
105,FC_var_14086
106,FC_var_16971
107,FC_var_34853
108,FC_var_101
109,FC_var_23793
110,FC_var_15225
111,FC_var_26057
112,FC_var_19611
113,FC_var_19802
114,FC_var_30073
115,FC_var_31957
115,FC_var_38937
117,FC_var_44163
118,FC_var_41128
119,FC_var_34867
120,FC_var_16825
121,FC_var_21717
122,FC_var_12161
123,FC_var_17014
124,FC_var_20054
125,FC_var_35756
126,FC_var_39018
127,FC_var_15898
128,FC_var_22241
129,FC_var_36077
130,FC_var_20137
131,FC_var_30102
132,FC_var_37562
133,FC_var_15906
134,FC_var_42090
135,FC_var_41657
136,FC_var_10357
137,FC_var_6748
138,FC_var_40404
139,FC_var_36181
140,FC_var_1902
141,FC_var_36629
142,FC_var_1122
143,FC_var_23621
143,FC_var_35145
145,FC_var_25146
146,FC_var_19350
147,FC_var_32674
148,FC_var_20080
149,FC_var_11722
150,FC_var_23035
151,FC_var_38793
152,FC_var_44238
152,FC_var_5647
154,FC_var_28266
155,FC_var_7732
156,FC_var_21783
156,FC_var_26781
158,FC_var_11976
159,FC_var_24894
160,FC_var_5205
161,FC_var_23239
162,FC_var_33586
163,FC_var_31532
164,FC_var_19240
165,FC_var_20722
166,FC_var_5915
167,FC_var_43506
168,FC_var_22113
169,FC_var_32793
170,FC_var_32762
171,FC_var_3979
172,FC_var_36642
173,FC_var_28096
174,FC_var_43069
175,FC_var_20930
176,FC_var_13991
177,FC_var_22243
178,FC_var_17423
179,FC_var_39848
180,FC_var_21977
181,FC_var_22184
182,FC_var_42067
183,FC_var_12940
184,FC_var_14906
185,FC_var_3070
186,FC_var_26830
187,FC_var_22491
188,FC_var_21784
189,FC_var_36595
190,FC_var_24138
191,FC_var_44584
192,FC_var_38549
193,FC_var_41133
194,FC_var_13444
195,FC_var_39943
196,FC_var_7998
197,FC_var_24190
198,FC_var_34440
199,FC_var_22507
200,FC_var_17558
201,FC_var_4007
202,FC_var_6439
203,FC_var_18820
204,FC_var_17296
205,FC_var_1872
206,FC_var_42789
207,FC_var_17753
208,FC_var_2346
209,FC_var_33653
210,FC_var_23729
211,FC_var_30734
212,FC_var_14548
213,FC_var_42501
214,FC_var_28751
215,FC_var_30880
216,FC_var_43078
217,FC_var_23274
218,FC_var_2246
219,FC_var_41620
220,FC_var_16602
220,FC_var_25616
222,FC_var_22818
223,FC_var_31625
224,FC_var_28418
225,FC_var_27118
226,FC_var_14595
227,FC_var_24959
228,FC_var_34481
229,FC_var_33325
230,FC_var_44140
231,FC_var_33184
232,FC_var_14970
233,FC_var_3327
234,FC_var_38682
235,FC_var_12123
236,FC_var_22329
237,FC_var_3492
238,FC_var_28950
239,FC_var_21990
239,FC_var_39854
241,FC_var_6083
242,FC_var_14311
243,FC_var_31938
244,FC_var_32448
245,FC_var_34916
246,FC_var_20504
247,FC_var_2610
248,FC_var_27603
249,FC_var_39113
250,FC_var_10141
251,FC_var_40026
252,FC_var_39782
253,FC_var_40675
254,FC_var_4863
255,FC_var_19297
256,FC_var_31106
257,FC_var_28607
258,FC_var_41380
259,FC_var_35625
259,FC_var_39366
261,FC_var_38606
262,FC_var_14142
262,FC_var_29118
264,FC_var_176
265,FC_var_6821
266,FC_var_14784
267,FC_var_5052
268,FC_var_408
269,FC_var_17629
270,FC_var_4457
271,FC_var_1749
272,FC_var_44642
273,FC_var_42697
274,FC_var_38822
275,FC_var_26762
276,FC_var_41104
277,FC_var_13661
278,FC_var_9305
279,FC_var_19186
280,FC_var_10423
280,FC_var_2232
282,FC_var_13212
283,FC_var_2350
284,FC_var_40448
285,FC_var_12658
285,FC_var_5459
287,FC_var_31245
288,FC_var_15730
289,FC_var_12300
290,FC_var_8858
291,FC_var_39310
292,FC_var_435
293,FC_var_24451
294,FC_var_3430
295,FC_var_33084
296,FC_var_9367
297,FC_var_22887
298,FC_var_11306
299,FC_var_16772
300,FC_var_17068
301,FC_var_12601
302,FC_var_3620
303,FC_var_19855
304,FC_var_20112
305,FC_var_8535
306,FC_var_33462
307,FC_var_11194
308,FC_var_1660
