,"[x, y]"
0,"[1_unassigned, 10_unassigned]"
1,"[1_unassigned, 100_DefaultMode]"
2,"[1_unassigned, 101_DefaultMode]"
3,"[1_unassigned, 102_DefaultMode]"
4,"[1_unassigned, 103_DefaultMode]"
5,"[1_unassigned, 104_DefaultMode]"
6,"[1_unassigned, 105_DefaultMode]"
7,"[1_unassigned, 106_DefaultMode]"
8,"[1_unassigned, 107_DefaultMode]"
9,"[1_unassigned, 108_DefaultMode]"
10,"[1_unassigned, 109_DefaultMode]"
11,"[1_unassigned, 11_unassigned]"
12,"[1_unassigned, 110_DefaultMode]"
13,"[1_unassigned, 111_DefaultMode]"
14,"[1_unassigned, 112_DefaultMode]"
15,"[1_unassigned, 113_DefaultMode]"
16,"[1_unassigned, 114_DefaultMode]"
17,"[1_unassigned, 115_DefaultMode]"
18,"[1_unassigned, 116_DefaultMode]"
19,"[1_unassigned, 117_DefaultMode]"
20,"[1_unassigned, 118_DefaultMode]"
21,"[1_unassigned, 119_DefaultMode]"
22,"[1_unassigned, 12_unassigned]"
23,"[1_unassigned, 120_DefaultMode]"
24,"[1_unassigned, 121_DefaultMode]"
25,"[1_unassigned, 122_DefaultMode]"
26,"[1_unassigned, 123_DefaultMode]"
27,"[1_unassigned, 124_DefaultMode]"
28,"[1_unassigned, 125_DefaultMode]"
29,"[1_unassigned, 126_DefaultMode]"
30,"[1_unassigned, 127_DefaultMode]"
31,"[1_unassigned, 128_DefaultMode]"
32,"[1_unassigned, 129_DefaultMode]"
33,"[1_unassigned, 13_SomatomotorDorsal]"
34,"[1_unassigned, 130_DefaultMode]"
35,"[1_unassigned, 131_DefaultMode]"
36,"[1_unassigned, 132_DefaultMode]"
37,"[1_unassigned, 133_DefaultMode]"
38,"[1_unassigned, 134_DefaultMode]"
39,"[1_unassigned, 135_DefaultMode]"
40,"[1_unassigned, 136_ParietoMedial]"
41,"[1_unassigned, 137_ParietoMedial]"
42,"[1_unassigned, 138_ParietoMedial]"
43,"[1_unassigned, 139_ParietoMedial]"
44,"[1_unassigned, 14_SomatomotorDorsal]"
