,index,features,rank
0,72,164_Visual,1
1,197,277_DefaultMode,1
2,273,75_Auditory,1
3,40,135_DefaultMode,2
4,125,211_VentralAttention,3
5,89,18_SomatomotorDorsal,4
6,67,16_SomatomotorDorsal,5
7,66,159_Visual,6
8,175,257_VentralAttention,7
9,165,248_Salience,7
10,100,19_SomatomotorDorsal,9
11,171,253_SomatomotorDorsal,10
12,187,268_CinguloOpercular,10
13,291,91_DefaultMode,12
14,55,149_Visual,13
15,295,95_DefaultMode,13
16,24,120_DefaultMode,15
17,179,260_CinguloOpercular,16
18,69,161_Visual,16
19,140,225_DorsalAttention,18
20,104,193_FrontoParietal,19
21,112,20_SomatomotorDorsal,20
22,86,177_FrontoParietal,21
23,229,35_SomatomotorDorsal,22
24,211,29_SomatomotorDorsal,23
25,161,244_Reward,24
26,186,267_CinguloOpercular,25
27,34,13_SomatomotorDorsal,26
28,206,285_FrontoParietal,27
29,92,182_FrontoParietal,28
30,184,265_Visual,29
31,78,17_SomatomotorDorsal,29
32,139,224_DorsalAttention,31
33,233,39_SomatomotorDorsal,32
34,210,289_FrontoParietal,33
35,46,140_ParietoMedial,34
36,225,31_SomatomotorDorsal,35
37,274,76_Auditory,36
38,148,232_DorsalAttention,36
39,131,217_VentralAttention,38
40,217,295_SomatomotorDorsal,38
41,98,188_FrontoParietal,40
42,230,36_SomatomotorDorsal,41
43,226,32_SomatomotorDorsal,42
44,235,40_SomatomotorDorsal,42
45,152,236_MedialTemporalLobe,44
46,282,83_DefaultMode,45
47,115,202_Salience,46
48,137,222_DorsalAttention,47
49,142,227_DorsalAttention,48
50,270,72_Auditory,49
51,264,67_CinguloOpercular,50
52,118,205_Salience,52
53,36,131_DefaultMode,52
54,223,30_SomatomotorDorsal,52
55,146,230_DorsalAttention,54
56,227,33_SomatomotorDorsal,54
57,222,3_unassigned,56
58,188,269_CinguloOpercular,57
59,271,73_Auditory,57
60,251,55_CinguloOpercular,59
61,105,194_FrontoParietal,60
62,157,240_Reward,60
63,199,279_DefaultMode,62
64,209,288_FrontoParietal,63
65,83,174_Visual,64
66,296,96_DefaultMode,65
67,16,113_DefaultMode,66
68,103,192_FrontoParietal,67
69,202,281_DefaultMode,68
70,232,38_SomatomotorDorsal,69
71,74,166_Visual,70
72,108,197_FrontoParietal,71
73,70,162_Visual,72
74,281,82_DefaultMode,73
75,64,157_Visual,73
76,193,273_SomatomotorDorsal,75
77,94,184_FrontoParietal,76
78,84,175_FrontoParietal,77
79,51,145_Visual,77
80,238,43_SomatomotorDorsal,79
81,155,239_DefaultMode,80
82,286,87_DefaultMode,81
83,132,218_VentralAttention,82
84,168,250_FrontoParietal,83
85,106,195_FrontoParietal,84
86,272,74_Auditory,85
87,156,24_SomatomotorDorsal,86
88,169,251_FrontoParietal,87
89,17,114_DefaultMode,88
90,207,286_FrontoParietal,89
91,254,58_CinguloOpercular,90
92,250,54_CinguloOpercular,91
93,277,79_Auditory,92
94,163,246_Reward,93
95,237,42_SomatomotorDorsal,94
96,266,69_Auditory,95
97,101,190_FrontoParietal,96
98,41,136_ParietoMedial,97
99,267,7_unassigned,98
100,228,34_SomatomotorDorsal,99
101,22,119_DefaultMode,99
102,128,214_VentralAttention,101
103,110,199_FrontoParietal,102
104,262,65_CinguloOpercular,103
105,31,127_DefaultMode,104
106,13,110_DefaultMode,105
107,123,21_SomatomotorDorsal,106
108,124,210_Salience,107
109,38,133_DefaultMode,107
110,111,2_unassigned,109
111,0,1_unassigned,109
112,261,64_CinguloOpercular,112
113,268,70_Auditory,112
114,241,46_SomatomotorLateral,112
115,147,231_DorsalAttention,114
116,194,274_CinguloOpercular,115
117,224,300_SomatomotorDorsal,116
118,60,153_Visual,117
119,285,86_DefaultMode,118
120,242,47_SomatomotorLateral,119
121,14,111_DefaultMode,120
122,63,156_Visual,121
123,80,171_Visual,121
124,43,138_ParietoMedial,123
125,195,275_DorsalAttention,124
126,164,247_Reward,124
127,120,207_Salience,126
128,204,283_Visual,126
129,53,147_Visual,128
130,153,237_MedialTemporalLobe,129
131,52,146_Visual,129
132,166,249_Salience,131
133,200,28_SomatomotorDorsal,132
134,45,14_SomatomotorDorsal,133
135,82,173_Visual,134
136,62,155_Visual,134
137,109,198_FrontoParietal,136
138,290,90_DefaultMode,137
139,10,108_DefaultMode,137
140,25,121_DefaultMode,139
141,15,112_DefaultMode,139
142,32,128_DefaultMode,141
143,253,57_CinguloOpercular,141
144,245,5_unassigned,143
145,180,261_CinguloOpercular,143
146,90,180_FrontoParietal,145
147,192,272_SomatomotorDorsal,146
148,20,117_DefaultMode,146
149,298,98_DefaultMode,149
150,234,4_unassigned,149
151,243,48_SomatomotorLateral,149
152,96,186_FrontoParietal,151
153,196,276_DorsalAttention,152
154,129,215_VentralAttention,153
155,288,89_DefaultMode,154
156,76,168_Visual,155
157,7,105_DefaultMode,156
158,133,219_VentralAttention,157
159,42,137_ParietoMedial,158
160,21,118_DefaultMode,159
161,49,143_Visual,160
162,284,85_DefaultMode,161
163,99,189_FrontoParietal,162
164,205,284_FrontoParietal,163
165,87,178_FrontoParietal,163
166,116,203_Salience,165
167,231,37_SomatomotorDorsal,166
168,257,60_CinguloOpercular,167
169,77,169_Visual,168
170,190,270_SomatomotorLateral,169
171,182,263_DefaultMode,170
172,12,11_unassigned,170
173,260,63_CinguloOpercular,172
174,239,44_SomatomotorDorsal,173
175,299,99_DefaultMode,173
176,150,234_MedialTemporalLobe,175
177,9,107_DefaultMode,176
178,119,206_Salience,177
179,18,115_DefaultMode,178
180,170,252_SomatomotorDorsal,179
181,149,233_DorsalAttention,180
182,247,51_CinguloOpercular,181
183,214,292_Salience,182
184,256,6_unassigned,182
185,162,245_Reward,184
186,183,264_Visual,184
187,212,290_FrontoParietal,186
188,258,61_CinguloOpercular,187
189,79,170_Visual,189
190,71,163_Visual,189
191,122,209_Salience,189
192,259,62_CinguloOpercular,191
193,113,200_FrontoParietal,193
194,28,124_DefaultMode,193
195,65,158_Visual,193
196,178,26_SomatomotorDorsal,195
197,143,228_DorsalAttention,196
198,138,223_DorsalAttention,197
199,215,293_CinguloOpercular,198
200,57,150_Visual,198
201,275,77_Auditory,200
202,6,104_DefaultMode,200
203,44,139_ParietoMedial,202
204,35,130_DefaultMode,202
205,269,71_Auditory,204
206,159,242_Reward,205
207,126,212_VentralAttention,205
208,59,152_Visual,207
209,220,298_SomatomotorLateral,208
210,185,266_CinguloOpercular,208
211,289,9_unassigned,210
212,294,94_DefaultMode,211
213,107,196_FrontoParietal,212
214,68,160_Visual,212
215,27,123_DefaultMode,214
216,97,187_FrontoParietal,215
217,37,132_DefaultMode,216
218,219,297_SomatomotorLateral,217
219,203,282_DefaultMode,218
220,29,125_DefaultMode,218
221,252,56_CinguloOpercular,220
222,114,201_FrontoParietal,221
223,117,204_Salience,222
224,134,22_SomatomotorDorsal,223
225,297,97_DefaultMode,223
226,249,53_CinguloOpercular,225
227,135,220_DorsalAttention,225
228,174,256_VentralAttention,228
229,176,258_CinguloOpercular,228
230,130,216_VentralAttention,228
231,293,93_DefaultMode,230
232,287,88_DefaultMode,230
233,85,176_FrontoParietal,233
234,39,134_DefaultMode,233
235,48,142_Visual,233
236,144,229_DorsalAttention,235
237,278,8_unassigned,235
238,4,102_DefaultMode,237
239,88,179_FrontoParietal,238
240,141,226_DorsalAttention,238
241,201,280_DefaultMode,240
242,61,154_Visual,241
243,56,15_SomatomotorDorsal,242
244,3,101_DefaultMode,242
245,248,52_CinguloOpercular,244
246,19,116_DefaultMode,246
247,8,106_DefaultMode,246
248,173,255_SomatomotorLateral,246
249,246,50_CinguloOpercular,248
250,93,183_FrontoParietal,249
251,81,172_Visual,250
252,283,84_DefaultMode,251
253,121,208_Salience,252
254,172,254_SomatomotorLateral,253
255,213,291_Salience,254
256,30,126_DefaultMode,254
257,75,167_Visual,256
258,236,41_SomatomotorDorsal,256
259,265,68_CinguloOpercular,258
260,23,12_unassigned,259
261,240,45_SomatomotorLateral,260
262,208,287_FrontoParietal,260
263,255,59_CinguloOpercular,262
264,158,241_Reward,263
265,50,144_Visual,263
266,263,66_CinguloOpercular,265
267,167,25_SomatomotorDorsal,266
268,54,148_Visual,267
269,244,49_SomatomotorLateral,268
270,102,191_FrontoParietal,269
271,276,78_Auditory,269
272,216,294_CinguloOpercular,271
273,73,165_Visual,272
274,5,103_DefaultMode,273
275,127,213_VentralAttention,274
276,47,141_Visual,275
277,279,80_Auditory,276
278,91,181_FrontoParietal,277
279,33,129_DefaultMode,278
280,292,92_DefaultMode,278
281,58,151_Visual,280
282,221,299_SomatomotorDorsal,281
283,189,27_SomatomotorDorsal,282
284,145,23_SomatomotorDorsal,283
285,1,10_unassigned,284
286,218,296_SomatomotorDorsal,285
287,181,262_DefaultMode,285
288,198,278_DefaultMode,288
289,280,81_DefaultMode,288
290,191,271_SomatomotorLateral,288
291,11,109_DefaultMode,290
292,177,259_CinguloOpercular,291
293,154,238_DefaultMode,292
294,26,122_DefaultMode,293
295,95,185_FrontoParietal,294
296,2,100_DefaultMode,295
297,136,221_DorsalAttention,296
298,151,235_MedialTemporalLobe,297
299,160,243_Reward,298
