,index,features,rank
0,1378,FC_mean_1378,1
1,37664,FC_mean_37664,1
2,23144,FC_mean_23144,2
3,39615,FC_mean_39615,3
4,39641,FC_mean_39641,3
5,39614,FC_mean_39614,5
6,39304,FC_mean_39304,6
7,2582,FC_mean_2582,7
8,26114,FC_mean_26114,8
9,38880,FC_mean_38880,9
10,37554,FC_mean_37554,10
11,27343,FC_mean_27343,11
12,29892,FC_mean_29892,12
13,39239,FC_mean_39239,13
14,38363,FC_mean_38363,14
15,24311,FC_mean_24311,15
16,38829,FC_mean_38829,16
17,27356,FC_mean_27356,17
18,39225,FC_mean_39225,18
19,22649,FC_mean_22649,19
20,28991,FC_mean_28991,20
21,37948,FC_mean_37948,21
22,39643,FC_mean_39643,22
23,1324,FC_mean_1324,23
24,39606,FC_mean_39606,24
25,39073,FC_mean_39073,25
26,42558,FC_mean_42558,26
27,18018,FC_mean_18018,28
28,22589,FC_mean_22589,28
29,37054,FC_mean_37054,28
30,30544,FC_mean_30544,30
31,38731,FC_mean_38731,31
32,9293,FC_mean_9293,32
33,38576,FC_mean_38576,32
34,32572,FC_mean_32572,34
35,37665,FC_mean_37665,35
36,16998,FC_mean_16998,36
37,17588,FC_mean_17588,37
38,16908,FC_mean_16908,38
39,17522,FC_mean_17522,39
40,19930,FC_mean_19930,39
41,23483,FC_mean_23483,41
42,43425,FC_mean_43425,41
43,10611,FC_mean_10611,43
44,21308,FC_mean_21308,44
45,40242,FC_mean_40242,45
46,41910,FC_mean_41910,46
47,27532,FC_mean_27532,46
48,19909,FC_mean_19909,49
49,39227,FC_mean_39227,49
50,12157,FC_mean_12157,49
51,30439,FC_mean_30439,51
52,31082,FC_mean_31082,51
53,4701,FC_mean_4701,53
54,39685,FC_mean_39685,54
55,25829,FC_mean_25829,55
56,39200,FC_mean_39200,56
57,40146,FC_mean_40146,57
58,13616,FC_mean_13616,58
59,7777,FC_mean_7777,59
60,12737,FC_mean_12737,60
61,14356,FC_mean_14356,60
62,17295,FC_mean_17295,62
63,38328,FC_mean_38328,63
64,31371,FC_mean_31371,64
65,24005,FC_mean_24005,65
66,30906,FC_mean_30906,66
67,43647,FC_mean_43647,67
68,27199,FC_mean_27199,68
69,43465,FC_mean_43465,69
70,40180,FC_mean_40180,70
71,38878,FC_mean_38878,71
72,28980,FC_mean_28980,72
73,32984,FC_mean_32984,73
74,39316,FC_mean_39316,73
75,18047,FC_mean_18047,75
76,3916,FC_mean_3916,76
77,29066,FC_mean_29066,77
