,index,features,rank
0,41715,FC_var_41715,2
1,25518,FC_var_25518,3
2,1640,FC_var_1640,4
3,38088,FC_var_38088,5
4,34224,FC_var_34224,6
5,1322,FC_var_1322,7
6,37798,FC_var_37798,8
7,40989,FC_var_40989,9
8,1635,FC_var_1635,9
9,26307,FC_var_26307,11
10,20684,FC_var_20684,12
11,33312,FC_var_33312,13
12,1055,FC_var_1055,13
13,524,FC_var_524,15
14,20653,FC_var_20653,15
15,26393,FC_var_26393,17
16,19941,FC_var_19941,18
17,40318,FC_var_40318,19
18,29946,FC_var_29946,20
19,25677,FC_var_25677,21
20,7977,FC_var_7977,22
21,3804,FC_var_3804,22
22,38768,FC_var_38768,24
23,33699,FC_var_33699,25
24,78,FC_var_78,26
25,25374,FC_var_25374,26
26,32491,FC_var_32491,29
27,22748,FC_var_22748,29
28,40804,FC_var_40804,29
29,3282,FC_var_3282,29
30,26625,FC_var_26625,32
31,39089,FC_var_39089,33
32,17097,FC_var_17097,34
33,12912,FC_var_12912,35
34,28795,FC_var_28795,35
35,36221,FC_var_36221,37
36,7360,FC_var_7360,38
37,36247,FC_var_36247,39
38,16526,FC_var_16526,40
39,41469,FC_var_41469,41
40,43713,FC_var_43713,42
41,7310,FC_var_7310,43
42,11748,FC_var_11748,44
43,10941,FC_var_10941,45
44,13492,FC_var_13492,46
45,20279,FC_var_20279,47
46,15278,FC_var_15278,49
47,41891,FC_var_41891,49
48,17273,FC_var_17273,49
49,177,FC_var_177,51
50,20662,FC_var_20662,51
51,1991,FC_var_1991,53
52,11974,FC_var_11974,54
53,7583,FC_var_7583,55
54,37677,FC_var_37677,56
55,42069,FC_var_42069,56
56,1992,FC_var_1992,58
57,2561,FC_var_2561,59
58,1455,FC_var_1455,60
59,18698,FC_var_18698,61
60,28336,FC_var_28336,62
61,7701,FC_var_7701,63
62,29154,FC_var_29154,63
63,33816,FC_var_33816,65
64,26548,FC_var_26548,66
65,1334,FC_var_1334,67
66,34252,FC_var_34252,68
67,33433,FC_var_33433,69
68,3307,FC_var_3307,70
69,7543,FC_var_7543,71
70,33261,FC_var_33261,72
71,23301,FC_var_23301,72
72,16862,FC_var_16862,74
73,28059,FC_var_28059,74
74,31224,FC_var_31224,76
75,8917,FC_var_8917,77
76,38324,FC_var_38324,78
77,21236,FC_var_21236,79
78,22903,FC_var_22903,80
79,18555,FC_var_18555,82
80,8500,FC_var_8500,82
81,7416,FC_var_7416,82
82,902,FC_var_902,82
83,5208,FC_var_5208,85
84,44536,FC_var_44536,86
85,19977,FC_var_19977,87
86,37258,FC_var_37258,87
