,index,features,rank
0,97,187_FrontoParietal,1
1,14,111_DefaultMode,1
2,69,161_Visual,2
3,47,141_Visual,3
4,249,53_CinguloOpercular,4
5,251,55_CinguloOpercular,5
6,258,61_CinguloOpercular,6
7,221,299_SomatomotorDorsal,7
8,71,163_Visual,8
9,282,83_DefaultMode,9
10,152,236_MedialTemporalLobe,10
11,187,268_CinguloOpercular,10
12,0,1_unassigned,12
13,133,219_VentralAttention,13
14,154,238_DefaultMode,14
15,292,92_DefaultMode,15
16,252,56_CinguloOpercular,16
17,155,239_DefaultMode,16
18,146,230_DorsalAttention,18
19,101,190_FrontoParietal,19
20,19,116_DefaultMode,20
21,239,44_SomatomotorDorsal,21
22,110,199_FrontoParietal,21
23,182,263_DefaultMode,23
24,269,71_Auditory,24
25,186,267_CinguloOpercular,24
26,211,29_SomatomotorDorsal,26
27,157,240_Reward,27
28,49,143_Visual,28
29,179,260_CinguloOpercular,29
30,256,6_unassigned,30
31,228,34_SomatomotorDorsal,31
32,168,250_FrontoParietal,32
33,129,215_VentralAttention,33
34,230,36_SomatomotorDorsal,34
35,17,114_DefaultMode,36
36,278,8_unassigned,36
37,189,27_SomatomotorDorsal,36
38,149,233_DorsalAttention,38
39,190,270_SomatomotorLateral,39
40,73,165_Visual,39
41,226,32_SomatomotorDorsal,41
42,37,132_DefaultMode,41
43,153,237_MedialTemporalLobe,44
44,83,174_Visual,44
45,207,286_FrontoParietal,44
46,248,52_CinguloOpercular,44
47,227,33_SomatomotorDorsal,47
48,299,99_DefaultMode,48
49,18,115_DefaultMode,49
50,108,197_FrontoParietal,49
51,171,253_SomatomotorDorsal,51
52,48,142_Visual,51
53,142,227_DorsalAttention,54
54,203,282_DefaultMode,54
55,67,16_SomatomotorDorsal,54
56,196,276_DorsalAttention,56
57,86,177_FrontoParietal,57
58,3,101_DefaultMode,58
59,94,184_FrontoParietal,59
60,242,47_SomatomotorLateral,59
61,165,248_Salience,61
62,197,277_DefaultMode,62
63,8,106_DefaultMode,63
64,95,185_FrontoParietal,63
65,124,210_Salience,65
66,206,285_FrontoParietal,66
67,284,85_DefaultMode,67
68,52,146_Visual,67
69,245,5_unassigned,69
70,173,255_SomatomotorLateral,69
71,144,229_DorsalAttention,71
72,266,69_Auditory,72
73,296,96_DefaultMode,73
74,161,244_Reward,74
75,216,294_CinguloOpercular,75
76,225,31_SomatomotorDorsal,75
77,241,46_SomatomotorLateral,77
78,139,224_DorsalAttention,78
79,72,164_Visual,79
80,181,262_DefaultMode,80
81,273,75_Auditory,80
82,118,205_Salience,82
83,85,176_FrontoParietal,83
84,298,98_DefaultMode,84
85,113,200_FrontoParietal,84
86,51,145_Visual,86
87,1,10_unassigned,86
88,201,280_DefaultMode,88
89,5,103_DefaultMode,88
90,33,129_DefaultMode,90
91,229,35_SomatomotorDorsal,91
92,220,298_SomatomotorLateral,91
93,260,63_CinguloOpercular,93
94,162,245_Reward,93
95,135,220_DorsalAttention,95
96,191,271_SomatomotorLateral,96
97,13,110_DefaultMode,97
98,291,91_DefaultMode,98
99,31,127_DefaultMode,99
100,87,178_FrontoParietal,100
101,274,76_Auditory,101
102,145,23_SomatomotorDorsal,102
103,281,82_DefaultMode,103
104,272,74_Auditory,104
105,185,266_CinguloOpercular,104
106,234,4_unassigned,106
107,275,77_Auditory,107
108,22,119_DefaultMode,108
109,215,293_CinguloOpercular,109
110,4,102_DefaultMode,110
111,10,108_DefaultMode,111
112,40,135_DefaultMode,112
113,98,188_FrontoParietal,112
114,140,225_DorsalAttention,114
115,121,208_Salience,114
116,23,12_unassigned,116
117,204,283_Visual,117
118,117,204_Salience,118
119,294,94_DefaultMode,119
120,264,67_CinguloOpercular,120
121,45,14_SomatomotorDorsal,121
122,25,121_DefaultMode,122
123,43,138_ParietoMedial,122
124,235,40_SomatomotorDorsal,124
125,164,247_Reward,125
126,34,13_SomatomotorDorsal,125
127,180,261_CinguloOpercular,127
128,30,126_DefaultMode,127
129,285,86_DefaultMode,129
130,66,159_Visual,129
131,61,154_Visual,131
132,295,95_DefaultMode,132
133,184,265_Visual,133
134,64,157_Visual,134
135,177,259_CinguloOpercular,135
136,81,172_Visual,136
137,276,78_Auditory,137
138,74,166_Visual,137
139,208,287_FrontoParietal,139
140,159,242_Reward,140
141,36,131_DefaultMode,141
142,54,148_Visual,142
143,293,93_DefaultMode,143
144,107,196_FrontoParietal,144
145,212,290_FrontoParietal,145
146,16,113_DefaultMode,146
147,261,64_CinguloOpercular,148
148,243,48_SomatomotorLateral,148
149,270,72_Auditory,148
150,59,152_Visual,150
151,91,181_FrontoParietal,151
152,257,60_CinguloOpercular,151
153,89,18_SomatomotorDorsal,153
154,148,232_DorsalAttention,154
155,112,20_SomatomotorDorsal,155
156,233,39_SomatomotorDorsal,155
157,50,144_Visual,157
158,79,170_Visual,158
159,77,169_Visual,159
160,268,70_Auditory,161
161,60,153_Visual,161
162,93,183_FrontoParietal,161
163,166,249_Salience,163
164,62,155_Visual,164
165,32,128_DefaultMode,164
166,288,89_DefaultMode,166
167,6,104_DefaultMode,167
168,286,87_DefaultMode,168
169,130,216_VentralAttention,168
170,188,269_CinguloOpercular,170
171,92,182_FrontoParietal,170
172,120,207_Salience,173
173,160,243_Reward,173
174,238,43_SomatomotorDorsal,173
175,178,26_SomatomotorDorsal,175
176,75,167_Visual,176
177,255,59_CinguloOpercular,177
178,141,226_DorsalAttention,178
179,172,254_SomatomotorLateral,179
180,277,79_Auditory,180
181,53,147_Visual,181
182,80,171_Visual,182
183,194,274_CinguloOpercular,183
184,106,195_FrontoParietal,184
185,224,300_SomatomotorDorsal,185
186,259,62_CinguloOpercular,187
187,88,179_FrontoParietal,187
188,237,42_SomatomotorDorsal,187
189,137,222_DorsalAttention,189
190,100,19_SomatomotorDorsal,190
191,29,125_DefaultMode,191
192,195,275_DorsalAttention,192
193,192,272_SomatomotorDorsal,193
194,38,133_DefaultMode,194
195,9,107_DefaultMode,195
196,82,173_Visual,196
197,46,140_ParietoMedial,197
198,138,223_DorsalAttention,197
199,2,100_DefaultMode,199
200,11,109_DefaultMode,200
201,68,160_Visual,201
202,167,25_SomatomotorDorsal,202
203,231,37_SomatomotorDorsal,203
204,271,73_Auditory,204
205,219,297_SomatomotorLateral,205
206,214,292_Salience,206
207,21,118_DefaultMode,207
208,223,30_SomatomotorDorsal,209
209,193,273_SomatomotorDorsal,209
210,263,66_CinguloOpercular,209
211,158,241_Reward,212
212,132,218_VentralAttention,212
213,209,288_FrontoParietal,212
214,90,180_FrontoParietal,214
215,115,202_Salience,215
216,55,149_Visual,216
217,213,291_Salience,216
218,205,284_FrontoParietal,218
219,76,168_Visual,219
220,20,117_DefaultMode,219
221,109,198_FrontoParietal,221
222,127,213_VentralAttention,223
223,199,279_DefaultMode,223
224,41,136_ParietoMedial,223
225,210,289_FrontoParietal,225
226,262,65_CinguloOpercular,226
227,147,231_DorsalAttention,227
228,56,15_SomatomotorDorsal,227
229,280,81_DefaultMode,229
230,42,137_ParietoMedial,229
231,250,54_CinguloOpercular,231
232,44,139_ParietoMedial,232
233,246,50_CinguloOpercular,233
234,267,7_unassigned,233
235,175,257_VentralAttention,235
236,12,11_unassigned,236
237,218,296_SomatomotorDorsal,236
238,58,151_Visual,239
239,150,234_MedialTemporalLobe,239
240,240,45_SomatomotorLateral,239
241,198,278_DefaultMode,241
242,279,80_Auditory,242
243,290,90_DefaultMode,244
244,169,251_FrontoParietal,244
245,24,120_DefaultMode,244
246,122,209_Salience,247
247,26,122_DefaultMode,247
248,70,162_Visual,247
249,151,235_MedialTemporalLobe,249
250,170,252_SomatomotorDorsal,249
251,125,211_VentralAttention,251
252,176,258_CinguloOpercular,251
253,222,3_unassigned,253
254,123,21_SomatomotorDorsal,254
255,254,58_CinguloOpercular,255
256,84,175_FrontoParietal,255
257,217,295_SomatomotorDorsal,257
258,289,9_unassigned,257
259,156,24_SomatomotorDorsal,259
260,114,201_FrontoParietal,260
261,15,112_DefaultMode,261
262,131,217_VentralAttention,262
263,102,191_FrontoParietal,263
264,265,68_CinguloOpercular,264
265,134,22_SomatomotorDorsal,264
266,244,49_SomatomotorLateral,266
267,39,134_DefaultMode,267
268,202,281_DefaultMode,268
269,126,212_VentralAttention,269
270,119,206_Salience,271
271,96,186_FrontoParietal,271
272,7,105_DefaultMode,271
273,200,28_SomatomotorDorsal,271
274,103,192_FrontoParietal,274
275,105,194_FrontoParietal,275
276,65,158_Visual,277
277,297,97_DefaultMode,277
278,232,38_SomatomotorDorsal,277
