,index,features,rank
0,7865,FC_mean_7865,1
1,7773,FC_mean_7773,1
2,38646,FC_mean_38646,2
3,38424,FC_mean_38424,3
4,25144,FC_mean_25144,3
5,7898,FC_mean_7898,5
6,38437,FC_mean_38437,6
7,13402,FC_mean_13402,7
8,780,FC_mean_780,8
9,3557,FC_mean_3557,8
10,9328,FC_mean_9328,10
11,25147,FC_mean_25147,11
12,6495,FC_mean_6495,12
13,23469,FC_mean_23469,13
14,14281,FC_mean_14281,14
15,18202,FC_mean_18202,15
16,3289,FC_mean_3289,16
17,3399,FC_mean_3399,17
18,25141,FC_mean_25141,17
19,25146,FC_mean_25146,19
20,44291,FC_mean_44291,20
21,25148,FC_mean_25148,21
22,30146,FC_mean_30146,21
23,26093,FC_mean_26093,23
24,38134,FC_mean_38134,24
25,40776,FC_mean_40776,25
26,16947,FC_mean_16947,26
27,15848,FC_mean_15848,27
28,17416,FC_mean_17416,28
29,14903,FC_mean_14903,28
30,7772,FC_mean_7772,30
31,13346,FC_mean_13346,31
32,25001,FC_mean_25001,32
33,26645,FC_mean_26645,33
34,24954,FC_mean_24954,34
35,35063,FC_mean_35063,35
36,40844,FC_mean_40844,36
37,26267,FC_mean_26267,37
38,38349,FC_mean_38349,38
39,29622,FC_mean_29622,39
40,5414,FC_mean_5414,39
41,3616,FC_mean_3616,41
42,38399,FC_mean_38399,42
43,23076,FC_mean_23076,43
44,40785,FC_mean_40785,43
45,27849,FC_mean_27849,45
46,10218,FC_mean_10218,46
47,13979,FC_mean_13979,47
48,2747,FC_mean_2747,48
49,6256,FC_mean_6256,49
50,41388,FC_mean_41388,50
51,12380,FC_mean_12380,51
52,11620,FC_mean_11620,52
53,13935,FC_mean_13935,53
54,38397,FC_mean_38397,54
55,20462,FC_mean_20462,55
56,12244,FC_mean_12244,56
57,41866,FC_mean_41866,57
58,18427,FC_mean_18427,57
59,4369,FC_mean_4369,59
60,30072,FC_mean_30072,60
61,32786,FC_mean_32786,60
62,11946,FC_mean_11946,62
63,9312,FC_mean_9312,63
64,14363,FC_mean_14363,63
65,42433,FC_mean_42433,65
66,11695,FC_mean_11695,66
67,27843,FC_mean_27843,67
68,31472,FC_mean_31472,67
69,7906,FC_mean_7906,69
70,27637,FC_mean_27637,69
71,41532,FC_mean_41532,71
72,30541,FC_mean_30541,72
73,3282,FC_mean_3282,73
74,39709,FC_mean_39709,74
75,17038,FC_mean_17038,75
76,25143,FC_mean_25143,76
77,8453,FC_mean_8453,77
78,32484,FC_mean_32484,78
79,40388,FC_mean_40388,78
80,40294,FC_mean_40294,80
81,20706,FC_mean_20706,82
82,643,FC_mean_643,82
83,9181,FC_mean_9181,82
84,29850,FC_mean_29850,84
85,24154,FC_mean_24154,85
86,28626,FC_mean_28626,85
87,42390,FC_mean_42390,87
88,43031,FC_mean_43031,88
89,41208,FC_mean_41208,89
90,18325,FC_mean_18325,90
91,16446,FC_mean_16446,91
92,40486,FC_mean_40486,92
93,17713,FC_mean_17713,92
94,5507,FC_mean_5507,94
95,269,FC_mean_269,95
96,1755,FC_mean_1755,96
97,2970,FC_mean_2970,97
98,26077,FC_mean_26077,98
99,30137,FC_mean_30137,99
100,6546,FC_mean_6546,100
101,278,FC_mean_278,101
102,17420,FC_mean_17420,102
103,13343,FC_mean_13343,103
104,29252,FC_mean_29252,105
105,43085,FC_mean_43085,105
106,43061,FC_mean_43061,105
107,26137,FC_mean_26137,107
108,23883,FC_mean_23883,108
109,2693,FC_mean_2693,109
110,40771,FC_mean_40771,110
111,42104,FC_mean_42104,111
112,24727,FC_mean_24727,111
113,491,FC_mean_491,113
114,40125,FC_mean_40125,113
115,5481,FC_mean_5481,115
116,4875,FC_mean_4875,117
117,37593,FC_mean_37593,117
118,9248,FC_mean_9248,117
119,30066,FC_mean_30066,119
120,38342,FC_mean_38342,120
121,9331,FC_mean_9331,121
122,23837,FC_mean_23837,122
123,31371,FC_mean_31371,123
124,3536,FC_mean_3536,123
125,4370,FC_mean_4370,125
126,3584,FC_mean_3584,125
127,25015,FC_mean_25015,127
128,11431,FC_mean_11431,127
129,16474,FC_mean_16474,129
130,17743,FC_mean_17743,130
