,index,features,rank
0,34853,FC_var_34853,1
1,21730,FC_var_21730,2
2,37220,FC_var_37220,3
3,32719,FC_var_32719,4
4,43637,FC_var_43637,5
5,28177,FC_var_28177,6
6,39830,FC_var_39830,7
7,41133,FC_var_41133,8
8,35591,FC_var_35591,9
9,36376,FC_var_36376,10
10,27118,FC_var_27118,11
11,39943,FC_var_39943,12
12,33586,FC_var_33586,13
13,7442,FC_var_7442,14
14,6678,FC_var_6678,15
15,34283,FC_var_34283,16
16,25787,FC_var_25787,17
17,34420,FC_var_34420,18
18,12739,FC_var_12739,19
19,10691,FC_var_10691,20
20,13089,FC_var_13089,21
21,43270,FC_var_43270,22
22,38405,FC_var_38405,23
23,40059,FC_var_40059,24
24,7083,FC_var_7083,25
25,35407,FC_var_35407,26
26,23035,FC_var_23035,26
27,11257,FC_var_11257,28
28,25032,FC_var_25032,29
29,11976,FC_var_11976,30
30,6821,FC_var_6821,31
31,39092,FC_var_39092,32
32,18975,FC_var_18975,32
33,33817,FC_var_33817,34
34,32709,FC_var_32709,35
35,26151,FC_var_26151,36
36,8367,FC_var_8367,37
37,10141,FC_var_10141,38
38,18820,FC_var_18820,40
39,35625,FC_var_35625,40
40,2414,FC_var_2414,40
41,23714,FC_var_23714,42
42,40535,FC_var_40535,43
43,32477,FC_var_32477,44
44,42001,FC_var_42001,45
45,9367,FC_var_9367,46
46,7998,FC_var_7998,47
47,11428,FC_var_11428,48
48,31722,FC_var_31722,49
49,14906,FC_var_14906,50
50,3943,FC_var_3943,51
51,23274,FC_var_23274,52
52,23802,FC_var_23802,53
53,1660,FC_var_1660,53
54,8343,FC_var_8343,55
55,44671,FC_var_44671,55
56,10822,FC_var_10822,57
57,27331,FC_var_27331,58
58,30931,FC_var_30931,59
59,7436,FC_var_7436,60
60,36968,FC_var_36968,61
61,27201,FC_var_27201,62
62,32559,FC_var_32559,63
63,6829,FC_var_6829,63
64,41199,FC_var_41199,65
65,36973,FC_var_36973,66
66,7135,FC_var_7135,67
67,23763,FC_var_23763,68
68,14626,FC_var_14626,69
69,19618,FC_var_19618,70
70,21039,FC_var_21039,71
71,26616,FC_var_26616,71
72,2597,FC_var_2597,73
73,487,FC_var_487,74
74,30551,FC_var_30551,74
75,29519,FC_var_29519,76
76,30761,FC_var_30761,77
77,42590,FC_var_42590,78
78,8260,FC_var_8260,79
79,1883,FC_var_1883,80
80,25508,FC_var_25508,81
81,27581,FC_var_27581,82
82,36665,FC_var_36665,83
83,17122,FC_var_17122,84
84,29279,FC_var_29279,85
85,36629,FC_var_36629,86
86,31673,FC_var_31673,86
87,14461,FC_var_14461,88
88,32826,FC_var_32826,89
89,34916,FC_var_34916,91
90,26102,FC_var_26102,91
91,17488,FC_var_17488,91
92,6610,FC_var_6610,91
93,3979,FC_var_3979,94
94,17294,FC_var_17294,95
95,10892,FC_var_10892,95
96,509,FC_var_509,97
97,42615,FC_var_42615,98
98,31106,FC_var_31106,99
99,37405,FC_var_37405,100
100,31235,FC_var_31235,101
101,10055,FC_var_10055,102
102,34477,FC_var_34477,103
103,43286,FC_var_43286,104
104,12960,FC_var_12960,105
105,27194,FC_var_27194,106
106,38854,FC_var_38854,107
107,1717,FC_var_1717,108
108,2481,FC_var_2481,109
109,30449,FC_var_30449,110
110,44685,FC_var_44685,110
111,6638,FC_var_6638,112
112,21631,FC_var_21631,113
113,28457,FC_var_28457,114
114,2070,FC_var_2070,115
115,13205,FC_var_13205,116
116,43098,FC_var_43098,116
117,6734,FC_var_6734,118
118,12715,FC_var_12715,119
119,25592,FC_var_25592,120
120,38579,FC_var_38579,121
121,2874,FC_var_2874,122
122,26348,FC_var_26348,123
123,9252,FC_var_9252,124
124,10129,FC_var_10129,124
125,38844,FC_var_38844,126
126,26830,FC_var_26830,127
127,6113,FC_var_6113,128
128,4813,FC_var_4813,129
129,17143,FC_var_17143,130
130,332,FC_var_332,131
131,15067,FC_var_15067,132
132,19094,FC_var_19094,133
133,15560,FC_var_15560,134
134,5205,FC_var_5205,135
135,24094,FC_var_24094,135
136,1715,FC_var_1715,137
137,40890,FC_var_40890,138
138,1638,FC_var_1638,139
139,38733,FC_var_38733,140
140,35949,FC_var_35949,140
141,19147,FC_var_19147,142
142,17926,FC_var_17926,143
143,21022,FC_var_21022,143
144,3500,FC_var_3500,145
145,28767,FC_var_28767,146
146,26071,FC_var_26071,147
147,8436,FC_var_8436,147
148,42679,FC_var_42679,149
149,2740,FC_var_2740,150
150,44796,FC_var_44796,151
151,41624,FC_var_41624,152
152,37061,FC_var_37061,153
153,7409,FC_var_7409,154
154,39299,FC_var_39299,155
155,25178,FC_var_25178,156
156,42431,FC_var_42431,156
157,27492,FC_var_27492,158
158,38960,FC_var_38960,158
159,18548,FC_var_18548,160
160,42981,FC_var_42981,161
161,16025,FC_var_16025,162
162,11971,FC_var_11971,163
163,15478,FC_var_15478,164
164,1872,FC_var_1872,164
165,42770,FC_var_42770,166
166,29140,FC_var_29140,167
167,28950,FC_var_28950,168
168,38413,FC_var_38413,169
169,9064,FC_var_9064,170
170,11977,FC_var_11977,171
171,15080,FC_var_15080,172
172,17852,FC_var_17852,174
173,19346,FC_var_19346,174
174,44518,FC_var_44518,174
175,44496,FC_var_44496,177
176,15159,FC_var_15159,177
177,15337,FC_var_15337,177
178,1902,FC_var_1902,179
179,16602,FC_var_16602,179
180,36065,FC_var_36065,181
181,33539,FC_var_33539,182
182,13257,FC_var_13257,183
183,29859,FC_var_29859,183
184,41498,FC_var_41498,185
185,40560,FC_var_40560,186
186,35524,FC_var_35524,187
187,16655,FC_var_16655,188
188,28184,FC_var_28184,189
189,34570,FC_var_34570,190
190,16105,FC_var_16105,191
191,24959,FC_var_24959,192
192,20610,FC_var_20610,193
193,29861,FC_var_29861,193
194,44122,FC_var_44122,195
195,44401,FC_var_44401,196
196,7334,FC_var_7334,197
197,1726,FC_var_1726,198
198,15532,FC_var_15532,199
199,41114,FC_var_41114,200
200,15139,FC_var_15139,201
201,26625,FC_var_26625,202
202,20458,FC_var_20458,203
203,32862,FC_var_32862,204
204,31517,FC_var_31517,205
205,20080,FC_var_20080,206
206,28473,FC_var_28473,207
207,32618,FC_var_32618,208
208,32793,FC_var_32793,209
209,20137,FC_var_20137,210
210,19611,FC_var_19611,210
211,3780,FC_var_3780,212
212,3657,FC_var_3657,212
213,19378,FC_var_19378,214
214,12123,FC_var_12123,215
215,25346,FC_var_25346,216
216,18927,FC_var_18927,217
217,2873,FC_var_2873,218
218,15713,FC_var_15713,219
219,12355,FC_var_12355,220
220,31739,FC_var_31739,220
221,32551,FC_var_32551,222
222,43860,FC_var_43860,223
223,30823,FC_var_30823,224
224,24838,FC_var_24838,225
225,30342,FC_var_30342,226
226,18147,FC_var_18147,227
227,43532,FC_var_43532,228
228,16443,FC_var_16443,229
229,9086,FC_var_9086,230
230,40287,FC_var_40287,231
231,1322,FC_var_1322,232
232,43925,FC_var_43925,233
233,30844,FC_var_30844,233
234,26627,FC_var_26627,235
235,25612,FC_var_25612,235
236,31485,FC_var_31485,237
237,26726,FC_var_26726,237
238,1763,FC_var_1763,239
239,16138,FC_var_16138,240
240,40808,FC_var_40808,240
241,31410,FC_var_31410,242
242,29857,FC_var_29857,243
243,37456,FC_var_37456,244
244,33881,FC_var_33881,246
245,15289,FC_var_15289,246
246,43555,FC_var_43555,246
247,44749,FC_var_44749,248
248,22202,FC_var_22202,249
249,3492,FC_var_3492,250
250,23403,FC_var_23403,251
251,20722,FC_var_20722,252
252,29544,FC_var_29544,252
253,27656,FC_var_27656,254
254,29695,FC_var_29695,255
255,1708,FC_var_1708,256
256,10357,FC_var_10357,257
257,41731,FC_var_41731,258
258,44289,FC_var_44289,259
259,17493,FC_var_17493,259
260,41671,FC_var_41671,261
261,35005,FC_var_35005,262
262,34089,FC_var_34089,263
263,33447,FC_var_33447,264
264,39343,FC_var_39343,265
265,26673,FC_var_26673,266
266,23237,FC_var_23237,267
267,25636,FC_var_25636,268
268,28311,FC_var_28311,269
269,16972,FC_var_16972,270
270,33746,FC_var_33746,271
271,4479,FC_var_4479,272
272,10095,FC_var_10095,273
273,8790,FC_var_8790,274
274,25241,FC_var_25241,275
275,39232,FC_var_39232,276
276,36684,FC_var_36684,277
277,21198,FC_var_21198,278
278,37133,FC_var_37133,279
279,27015,FC_var_27015,279
280,30538,FC_var_30538,281
281,42121,FC_var_42121,282
282,23422,FC_var_23422,283
283,13680,FC_var_13680,284
284,19182,FC_var_19182,285
285,26265,FC_var_26265,286
286,31935,FC_var_31935,286
287,27144,FC_var_27144,288
288,31393,FC_var_31393,289
289,21649,FC_var_21649,290
290,19186,FC_var_19186,291
291,19610,FC_var_19610,292
292,36948,FC_var_36948,293
