rank,feature_location
2,288_FrontoParietal
3,211_VentralAttention
4,13_SomatomotorDorsal
5,285_FrontoParietal
6,248_Salience
7,65_CinguloOpercular
8,279_DefaultMode
9,277_DefaultMode
10,18_SomatomotorDorsal
11,143_Visual
11,244_Reward
13,183_FrontoParietal
13,207_Salience
15,140_ParietoMedial
15,55_CinguloOpercular
17,78_Auditory
18,118_DefaultMode
18,227_DorsalAttention
20,159_Visual
20,194_FrontoParietal
22,289_FrontoParietal
23,222_DorsalAttention
23,56_CinguloOpercular
25,243_Reward
25,35_SomatomotorDorsal
27,4_unassigned
29,225_DorsalAttention
29,278_DefaultMode
29,3_unassigned
31,95_DefaultMode
32,165_Visual
33,103_DefaultMode
33,187_FrontoParietal
35,116_DefaultMode
36,164_Visual
36,208_Salience
38,84_DefaultMode
39,149_Visual
40,296_SomatomotorDorsal
41,261_CinguloOpercular
42,20_SomatomotorDorsal
44,245_Reward
44,280_DefaultMode
44,85_DefaultMode
46,286_FrontoParietal
46,290_FrontoParietal
48,172_Visual
49,217_VentralAttention
49,287_FrontoParietal
51,190_FrontoParietal
52,109_DefaultMode
52,135_DefaultMode
54,32_SomatomotorDorsal
54,93_DefaultMode
56,203_Salience
58,11_unassigned
58,121_DefaultMode
58,205_Salience
60,295_SomatomotorDorsal
60,86_DefaultMode
62,36_SomatomotorDorsal
63,101_DefaultMode
63,8_unassigned
65,81_DefaultMode
66,72_Auditory
67,271_SomatomotorLateral
68,43_SomatomotorDorsal
69,199_FrontoParietal
70,67_CinguloOpercular
71,202_Salience
72,100_DefaultMode
72,297_SomatomotorLateral
74,272_SomatomotorDorsal
75,24_SomatomotorDorsal
76,192_FrontoParietal
77,184_FrontoParietal
78,238_DefaultMode
79,246_Reward
80,137_ParietoMedial
80,63_CinguloOpercular
82,160_Visual
83,239_DefaultMode
84,265_Visual
86,104_DefaultMode
86,133_DefaultMode
86,73_Auditory
88,107_DefaultMode
88,171_Visual
90,185_FrontoParietal
91,210_Salience
91,299_SomatomotorDorsal
93,147_Visual
95,150_Visual
95,230_DorsalAttention
95,260_CinguloOpercular
95,57_CinguloOpercular
98,180_FrontoParietal
99,154_Visual
100,105_DefaultMode
101,274_CinguloOpercular
101,5_unassigned
103,191_FrontoParietal
104,33_SomatomotorDorsal
105,146_Visual
106,292_Salience
107,122_DefaultMode
108,115_DefaultMode
109,182_FrontoParietal
110,47_SomatomotorLateral
111,235_MedialTemporalLobe
113,258_CinguloOpercular
113,283_Visual
113,82_DefaultMode
115,250_FrontoParietal
116,197_FrontoParietal
116,7_unassigned
119,156_Visual
119,219_VentralAttention
119,30_SomatomotorDorsal
119,64_CinguloOpercular
122,268_CinguloOpercular
122,74_Auditory
124,168_Visual
124,240_Reward
126,40_SomatomotorDorsal
126,60_CinguloOpercular
128,234_MedialTemporalLobe
129,266_CinguloOpercular
130,145_Visual
131,228_DorsalAttention
131,284_FrontoParietal
133,242_Reward
133,298_SomatomotorLateral
135,176_FrontoParietal
135,42_SomatomotorDorsal
137,113_DefaultMode
138,127_DefaultMode
138,131_DefaultMode
140,300_SomatomotorDorsal
141,98_DefaultMode
143,28_SomatomotorDorsal
143,31_SomatomotorDorsal
143,89_DefaultMode
145,12_unassigned
146,174_Visual
147,232_DorsalAttention
148,52_CinguloOpercular
150,134_DefaultMode
150,22_SomatomotorDorsal
150,267_CinguloOpercular
150,51_CinguloOpercular
153,209_Salience
153,255_SomatomotorLateral
155,106_DefaultMode
155,111_DefaultMode
157,200_FrontoParietal
157,66_CinguloOpercular
159,294_CinguloOpercular
160,37_SomatomotorDorsal
160,61_CinguloOpercular
162,108_DefaultMode
162,263_DefaultMode
165,220_DorsalAttention
165,257_VentralAttention
165,83_DefaultMode
167,161_Visual
168,193_FrontoParietal
169,231_DorsalAttention
170,241_Reward
171,15_SomatomotorDorsal
171,212_VentralAttention
173,144_Visual
174,233_DorsalAttention
175,129_DefaultMode
175,198_FrontoParietal
178,14_SomatomotorDorsal
178,157_Visual
178,181_FrontoParietal
178,48_SomatomotorLateral
181,114_DefaultMode
181,215_VentralAttention
183,291_Salience
184,247_Reward
185,177_FrontoParietal
186,87_DefaultMode
186,96_DefaultMode
188,90_DefaultMode
189,19_SomatomotorDorsal
190,29_SomatomotorDorsal
192,251_FrontoParietal
192,270_SomatomotorLateral
192,275_DorsalAttention
194,138_ParietoMedial
195,2_unassigned
196,162_Visual
196,91_DefaultMode
198,152_Visual
198,169_Visual
200,236_MedialTemporalLobe
200,71_Auditory
202,186_FrontoParietal
202,269_CinguloOpercular
206,142_Visual
206,179_FrontoParietal
206,39_SomatomotorDorsal
206,49_SomatomotorLateral
206,88_DefaultMode
209,153_Visual
210,214_VentralAttention
210,9_unassigned
212,155_Visual
213,166_Visual
214,16_SomatomotorDorsal
215,264_Visual
215,44_SomatomotorDorsal
217,141_Visual
217,276_DorsalAttention
219,46_SomatomotorLateral
220,151_Visual
220,75_Auditory
222,223_DorsalAttention
224,117_DefaultMode
224,126_DefaultMode
224,201_FrontoParietal
226,226_DorsalAttention
227,170_Visual
227,273_SomatomotorDorsal
230,119_DefaultMode
230,224_DorsalAttention
230,79_Auditory
232,216_VentralAttention
232,221_DorsalAttention
234,163_Visual
235,175_FrontoParietal
235,204_Salience
237,17_SomatomotorDorsal
238,282_DefaultMode
239,26_SomatomotorDorsal
240,41_SomatomotorDorsal
241,80_Auditory
243,188_FrontoParietal
243,206_Salience
243,25_SomatomotorDorsal
245,195_FrontoParietal
245,59_CinguloOpercular
247,213_VentralAttention
248,68_CinguloOpercular
249,54_CinguloOpercular
249,70_Auditory
251,69_Auditory
252,76_Auditory
253,38_SomatomotorDorsal
255,120_DefaultMode
255,229_DorsalAttention
255,34_SomatomotorDorsal
257,136_ParietoMedial
260,139_ParietoMedial
260,23_SomatomotorDorsal
260,262_DefaultMode
260,45_SomatomotorLateral
260,92_DefaultMode
263,10_unassigned
263,249_Salience
265,158_Visual
267,123_DefaultMode
267,293_CinguloOpercular
267,77_Auditory
269,189_FrontoParietal
270,21_SomatomotorDorsal
271,132_DefaultMode
272,253_SomatomotorDorsal
273,128_DefaultMode
273,252_SomatomotorDorsal
276,148_Visual
276,178_FrontoParietal
276,58_CinguloOpercular
276,62_CinguloOpercular
279,6_unassigned
280,256_VentralAttention
280,97_DefaultMode
282,110_DefaultMode
283,130_DefaultMode
283,1_unassigned
285,27_SomatomotorDorsal
286,125_DefaultMode
286,50_CinguloOpercular
288,218_VentralAttention
289,173_Visual
289,237_MedialTemporalLobe
291,124_DefaultMode
291,254_SomatomotorLateral
293,167_Visual
294,259_CinguloOpercular
294,99_DefaultMode
296,53_CinguloOpercular
297,102_DefaultMode
298,196_FrontoParietal
299,112_DefaultMode
300,94_DefaultMode
301,281_DefaultMode
