rank,feature_location
2,288_FrontoParietal
3,211_VentralAttention
3,277_DefaultMode
5,248_Salience
5,279_DefaultMode
7,18_SomatomotorDorsal
8,159_Visual
9,13_SomatomotorDorsal
10,65_CinguloOpercular
11,244_Reward
12,285_FrontoParietal
13,183_FrontoParietal
13,43_SomatomotorDorsal
15,140_ParietoMedial
15,143_Visual
17,194_FrontoParietal
17,227_DorsalAttention
19,135_DefaultMode
20,149_Visual
21,278_DefaultMode
22,160_Visual
22,207_Salience
24,4_unassigned
24,55_CinguloOpercular
26,190_FrontoParietal
27,118_DefaultMode
27,289_FrontoParietal
29,171_Visual
30,243_Reward
31,116_DefaultMode
32,103_DefaultMode
33,104_DefaultMode
35,208_Salience
35,286_FrontoParietal
35,78_Auditory
37,72_Auditory
38,187_FrontoParietal
39,109_DefaultMode
39,67_CinguloOpercular
41,60_CinguloOpercular
42,56_CinguloOpercular
44,164_Visual
44,32_SomatomotorDorsal
44,3_unassigned
46,20_SomatomotorDorsal
47,203_Salience
48,184_FrontoParietal
48,192_FrontoParietal
50,15_SomatomotorDorsal
50,290_FrontoParietal
52,217_VentralAttention
53,299_SomatomotorDorsal
54,121_DefaultMode
54,95_DefaultMode
56,219_VentralAttention
56,222_DorsalAttention
58,36_SomatomotorDorsal
59,193_FrontoParietal
59,296_SomatomotorDorsal
61,73_Auditory
62,287_FrontoParietal
63,271_SomatomotorLateral
64,210_Salience
65,225_DorsalAttention
66,202_Salience
66,35_SomatomotorDorsal
68,85_DefaultMode
69,154_Visual
70,63_CinguloOpercular
71,12_unassigned
71,280_DefaultMode
73,150_Visual
73,39_SomatomotorDorsal
75,232_DorsalAttention
76,234_MedialTemporalLobe
77,180_FrontoParietal
79,113_DefaultMode
79,133_DefaultMode
79,199_FrontoParietal
79,84_DefaultMode
82,212_VentralAttention
83,11_unassigned
85,172_Visual
85,269_CinguloOpercular
85,86_DefaultMode
88,147_Visual
88,176_FrontoParietal
88,195_FrontoParietal
90,230_DorsalAttention
91,19_SomatomotorDorsal
91,200_FrontoParietal
93,24_SomatomotorDorsal
95,100_DefaultMode
95,165_Visual
95,74_Auditory
97,263_DefaultMode
98,98_DefaultMode
99,209_Salience
100,261_CinguloOpercular
101,284_FrontoParietal
102,25_SomatomotorDorsal
102,274_CinguloOpercular
104,266_CinguloOpercular
104,297_SomatomotorLateral
106,240_Reward
107,28_SomatomotorDorsal
108,215_VentralAttention
108,235_MedialTemporalLobe
110,105_DefaultMode
110,75_Auditory
112,228_DorsalAttention
112,283_Visual
114,156_Visual
115,272_SomatomotorDorsal
115,8_unassigned
117,258_CinguloOpercular
119,260_CinguloOpercular
119,46_SomatomotorLateral
119,61_CinguloOpercular
121,161_Visual
121,40_SomatomotorDorsal
123,29_SomatomotorDorsal
124,174_Visual
125,81_DefaultMode
126,89_DefaultMode
127,47_SomatomotorLateral
128,108_DefaultMode
128,146_Visual
130,186_FrontoParietal
131,292_Salience
132,250_FrontoParietal
133,107_DefaultMode
134,294_CinguloOpercular
134,57_CinguloOpercular
136,177_FrontoParietal
137,298_SomatomotorLateral
137,58_CinguloOpercular
139,205_Salience
140,185_FrontoParietal
141,126_DefaultMode
142,239_DefaultMode
142,33_SomatomotorDorsal
144,153_Visual
144,182_FrontoParietal
146,93_DefaultMode
147,122_DefaultMode
148,220_DorsalAttention
149,79_Auditory
150,16_SomatomotorDorsal
151,265_Visual
152,82_DefaultMode
153,214_VentralAttention
153,245_Reward
156,117_DefaultMode
156,181_FrontoParietal
156,238_DefaultMode
158,131_DefaultMode
158,223_DorsalAttention
160,247_Reward
161,295_SomatomotorDorsal
161,88_DefaultMode
163,155_Visual
164,144_Visual
165,137_ParietoMedial
167,197_FrontoParietal
167,198_FrontoParietal
167,236_MedialTemporalLobe
167,241_Reward
170,30_SomatomotorDorsal
171,115_DefaultMode
171,9_unassigned
173,52_CinguloOpercular
174,101_DefaultMode
174,42_SomatomotorDorsal
176,268_CinguloOpercular
177,54_CinguloOpercular
178,201_FrontoParietal
178,270_SomatomotorLateral
180,106_DefaultMode
180,242_Reward
182,127_DefaultMode
182,169_Visual
184,213_VentralAttention
184,300_SomatomotorDorsal
186,48_SomatomotorLateral
187,51_CinguloOpercular
188,87_DefaultMode
189,206_Salience
190,246_Reward
191,114_DefaultMode
191,255_SomatomotorLateral
193,148_Visual
196,138_ParietoMedial
196,141_Visual
196,249_Salience
196,262_DefaultMode
196,291_Salience
199,204_Salience
199,231_DorsalAttention
201,191_FrontoParietal
202,22_SomatomotorDorsal
202,91_DefaultMode
205,226_DorsalAttention
205,2_unassigned
205,50_CinguloOpercular
207,23_SomatomotorDorsal
207,90_DefaultMode
210,224_DorsalAttention
210,69_Auditory
210,7_unassigned
212,275_DorsalAttention
213,163_Visual
214,1_unassigned
214,216_VentralAttention
216,134_DefaultMode
216,136_ParietoMedial
218,189_FrontoParietal
219,139_ParietoMedial
219,66_CinguloOpercular
221,76_Auditory
222,267_CinguloOpercular
224,38_SomatomotorDorsal
224,6_unassigned
224,71_Auditory
226,123_DefaultMode
227,168_Visual
227,97_DefaultMode
229,166_Visual
229,5_unassigned
231,83_DefaultMode
232,110_DefaultMode
233,218_VentralAttention
234,276_DorsalAttention
235,142_Visual
235,196_FrontoParietal
238,132_DefaultMode
238,233_DorsalAttention
238,26_SomatomotorDorsal
238,293_CinguloOpercular
242,129_DefaultMode
242,178_FrontoParietal
242,64_CinguloOpercular
244,221_DorsalAttention
245,188_FrontoParietal
245,237_MedialTemporalLobe
247,112_DefaultMode
248,281_DefaultMode
248,31_SomatomotorDorsal
250,62_CinguloOpercular
251,70_Auditory
252,251_FrontoParietal
252,252_SomatomotorDorsal
254,92_DefaultMode
254,96_DefaultMode
256,152_Visual
256,167_Visual
258,17_SomatomotorDorsal
259,130_DefaultMode
259,27_SomatomotorDorsal
261,111_DefaultMode
262,253_SomatomotorDorsal
264,157_Visual
264,53_CinguloOpercular
264,59_CinguloOpercular
266,45_SomatomotorLateral
267,120_DefaultMode
267,273_SomatomotorDorsal
269,119_DefaultMode
269,49_SomatomotorLateral
271,128_DefaultMode
272,151_Visual
273,257_VentralAttention
275,229_DorsalAttention
275,264_Visual
275,94_DefaultMode
277,175_FrontoParietal
277,254_SomatomotorLateral
279,14_SomatomotorDorsal
279,68_CinguloOpercular
281,282_DefaultMode
283,145_Visual
283,162_Visual
283,256_VentralAttention
285,170_Visual
285,44_SomatomotorDorsal
287,21_SomatomotorDorsal
288,102_DefaultMode
288,259_CinguloOpercular
290,41_SomatomotorDorsal
291,173_Visual
292,10_unassigned
293,179_FrontoParietal
294,99_DefaultMode
295,37_SomatomotorDorsal
296,158_Visual
297,125_DefaultMode
298,34_SomatomotorDorsal
299,124_DefaultMode
299,80_Auditory
301,77_Auditory
