rank,feature_location
214,1_unassigned
292,10_unassigned
95,100_DefaultMode
174,101_DefaultMode
288,102_DefaultMode
32,103_DefaultMode
33,104_DefaultMode
110,105_DefaultMode
180,106_DefaultMode
133,107_DefaultMode
128,108_DefaultMode
39,109_DefaultMode
83,11_unassigned
232,110_DefaultMode
261,111_DefaultMode
247,112_DefaultMode
79,113_DefaultMode
191,114_DefaultMode
171,115_DefaultMode
31,116_DefaultMode
156,117_DefaultMode
27,118_DefaultMode
269,119_DefaultMode
71,12_unassigned
267,120_DefaultMode
54,121_DefaultMode
147,122_DefaultMode
226,123_DefaultMode
299,124_DefaultMode
297,125_DefaultMode
141,126_DefaultMode
182,127_DefaultMode
271,128_DefaultMode
242,129_DefaultMode
9,13_SomatomotorDorsal
259,130_DefaultMode
158,131_DefaultMode
238,132_DefaultMode
79,133_DefaultMode
216,134_DefaultMode
19,135_DefaultMode
216,136_ParietoMedial
165,137_ParietoMedial
196,138_ParietoMedial
219,139_ParietoMedial
279,14_SomatomotorDorsal
15,140_ParietoMedial
196,141_Visual
235,142_Visual
15,143_Visual
164,144_Visual
283,145_Visual
128,146_Visual
88,147_Visual
193,148_Visual
20,149_Visual
50,15_SomatomotorDorsal
73,150_Visual
272,151_Visual
256,152_Visual
144,153_Visual
69,154_Visual
163,155_Visual
114,156_Visual
264,157_Visual
296,158_Visual
8,159_Visual
150,16_SomatomotorDorsal
22,160_Visual
121,161_Visual
283,162_Visual
213,163_Visual
44,164_Visual
95,165_Visual
229,166_Visual
256,167_Visual
227,168_Visual
182,169_Visual
258,17_SomatomotorDorsal
285,170_Visual
29,171_Visual
85,172_Visual
291,173_Visual
124,174_Visual
277,175_FrontoParietal
88,176_FrontoParietal
136,177_FrontoParietal
242,178_FrontoParietal
293,179_FrontoParietal
7,18_SomatomotorDorsal
77,180_FrontoParietal
156,181_FrontoParietal
144,182_FrontoParietal
13,183_FrontoParietal
48,184_FrontoParietal
140,185_FrontoParietal
130,186_FrontoParietal
38,187_FrontoParietal
245,188_FrontoParietal
218,189_FrontoParietal
91,19_SomatomotorDorsal
26,190_FrontoParietal
201,191_FrontoParietal
48,192_FrontoParietal
59,193_FrontoParietal
17,194_FrontoParietal
88,195_FrontoParietal
235,196_FrontoParietal
167,197_FrontoParietal
167,198_FrontoParietal
79,199_FrontoParietal
205,2_unassigned
46,20_SomatomotorDorsal
91,200_FrontoParietal
178,201_FrontoParietal
66,202_Salience
47,203_Salience
199,204_Salience
139,205_Salience
189,206_Salience
22,207_Salience
35,208_Salience
99,209_Salience
287,21_SomatomotorDorsal
64,210_Salience
3,211_VentralAttention
82,212_VentralAttention
184,213_VentralAttention
153,214_VentralAttention
108,215_VentralAttention
214,216_VentralAttention
52,217_VentralAttention
233,218_VentralAttention
56,219_VentralAttention
202,22_SomatomotorDorsal
148,220_DorsalAttention
244,221_DorsalAttention
56,222_DorsalAttention
158,223_DorsalAttention
210,224_DorsalAttention
65,225_DorsalAttention
205,226_DorsalAttention
17,227_DorsalAttention
112,228_DorsalAttention
275,229_DorsalAttention
207,23_SomatomotorDorsal
90,230_DorsalAttention
199,231_DorsalAttention
75,232_DorsalAttention
238,233_DorsalAttention
76,234_MedialTemporalLobe
108,235_MedialTemporalLobe
167,236_MedialTemporalLobe
245,237_MedialTemporalLobe
156,238_DefaultMode
142,239_DefaultMode
93,24_SomatomotorDorsal
106,240_Reward
167,241_Reward
180,242_Reward
30,243_Reward
11,244_Reward
153,245_Reward
190,246_Reward
160,247_Reward
5,248_Salience
196,249_Salience
102,25_SomatomotorDorsal
132,250_FrontoParietal
252,251_FrontoParietal
252,252_SomatomotorDorsal
262,253_SomatomotorDorsal
277,254_SomatomotorLateral
191,255_SomatomotorLateral
283,256_VentralAttention
273,257_VentralAttention
117,258_CinguloOpercular
288,259_CinguloOpercular
238,26_SomatomotorDorsal
119,260_CinguloOpercular
100,261_CinguloOpercular
196,262_DefaultMode
97,263_DefaultMode
275,264_Visual
151,265_Visual
104,266_CinguloOpercular
222,267_CinguloOpercular
176,268_CinguloOpercular
85,269_CinguloOpercular
259,27_SomatomotorDorsal
178,270_SomatomotorLateral
63,271_SomatomotorLateral
115,272_SomatomotorDorsal
267,273_SomatomotorDorsal
102,274_CinguloOpercular
212,275_DorsalAttention
234,276_DorsalAttention
3,277_DefaultMode
