rank,feature_location
31269,FC_mean_0
9562,FC_mean_1
31269,FC_mean_2
31269,FC_mean_3
9562,FC_mean_4
31269,FC_mean_5
9562,FC_mean_6
31269,FC_mean_7
9562,FC_mean_8
31269,FC_mean_9
31269,FC_mean_10
16345,FC_mean_11
16345,FC_mean_12
31269,FC_mean_13
2797,FC_mean_14
31269,FC_mean_15
31269,FC_mean_16
2797,FC_mean_17
9562,FC_mean_18
9562,FC_mean_19
9562,FC_mean_20
31269,FC_mean_21
31269,FC_mean_22
31269,FC_mean_23
31269,FC_mean_24
9562,FC_mean_25
31269,FC_mean_26
31269,FC_mean_27
2797,FC_mean_28
31269,FC_mean_29
2797,FC_mean_30
31269,FC_mean_31
31269,FC_mean_32
9562,FC_mean_33
31269,FC_mean_34
9562,FC_mean_35
31269,FC_mean_36
9562,FC_mean_37
31269,FC_mean_38
31269,FC_mean_39
31269,FC_mean_40
9562,FC_mean_41
31269,FC_mean_42
31269,FC_mean_43
31269,FC_mean_44
31269,FC_mean_45
9562,FC_mean_46
31269,FC_mean_47
16345,FC_mean_48
31269,FC_mean_49
31269,FC_mean_50
2797,FC_mean_51
31269,FC_mean_52
31269,FC_mean_53
9562,FC_mean_54
2797,FC_mean_55
2797,FC_mean_56
16345,FC_mean_57
31269,FC_mean_58
2797,FC_mean_59
16345,FC_mean_60
31269,FC_mean_61
9562,FC_mean_62
16345,FC_mean_63
31269,FC_mean_64
9562,FC_mean_65
31269,FC_mean_66
31269,FC_mean_67
9562,FC_mean_68
31269,FC_mean_69
31269,FC_mean_70
9562,FC_mean_71
31269,FC_mean_72
9562,FC_mean_73
31269,FC_mean_74
31269,FC_mean_75
9562,FC_mean_76
31269,FC_mean_77
31269,FC_mean_78
9562,FC_mean_79
16345,FC_mean_80
31269,FC_mean_81
9562,FC_mean_82
31269,FC_mean_83
9562,FC_mean_84
31269,FC_mean_85
31269,FC_mean_86
31269,FC_mean_87
9562,FC_mean_88
31269,FC_mean_89
31269,FC_mean_90
9562,FC_mean_91
31269,FC_mean_92
1167,FC_mean_93
31269,FC_mean_94
31269,FC_mean_95
9562,FC_mean_96
31269,FC_mean_97
9562,FC_mean_98
31269,FC_mean_99
31269,FC_mean_100
31269,FC_mean_101
152,FC_mean_102
9562,FC_mean_103
2797,FC_mean_104
31269,FC_mean_105
9562,FC_mean_106
31269,FC_mean_107
9562,FC_mean_108
31269,FC_mean_109
31269,FC_mean_110
9562,FC_mean_111
31269,FC_mean_112
118,FC_mean_113
31269,FC_mean_114
31269,FC_mean_115
31269,FC_mean_116
31269,FC_mean_117
31269,FC_mean_118
9562,FC_mean_119
1167,FC_mean_120
31269,FC_mean_121
31269,FC_mean_122
31269,FC_mean_123
31269,FC_mean_124
31269,FC_mean_125
31269,FC_mean_126
31269,FC_mean_127
31269,FC_mean_128
31269,FC_mean_129
9562,FC_mean_130
31269,FC_mean_131
31269,FC_mean_132
31269,FC_mean_133
31269,FC_mean_134
31269,FC_mean_135
31269,FC_mean_136
9562,FC_mean_137
31269,FC_mean_138
9562,FC_mean_139
2797,FC_mean_140
31269,FC_mean_141
2797,FC_mean_142
31269,FC_mean_143
31269,FC_mean_144
31269,FC_mean_145
31269,FC_mean_146
31269,FC_mean_147
31269,FC_mean_148
31269,FC_mean_149
31269,FC_mean_150
31269,FC_mean_151
31269,FC_mean_152
16345,FC_mean_153
9562,FC_mean_154
31269,FC_mean_155
9562,FC_mean_156
31269,FC_mean_157
31269,FC_mean_158
31269,FC_mean_159
31269,FC_mean_160
9562,FC_mean_161
2797,FC_mean_162
31269,FC_mean_163
31269,FC_mean_164
31269,FC_mean_165
9562,FC_mean_166
9562,FC_mean_167
31269,FC_mean_168
31269,FC_mean_169
9562,FC_mean_170
31269,FC_mean_171
31269,FC_mean_172
9562,FC_mean_173
31269,FC_mean_174
31269,FC_mean_175
31269,FC_mean_176
31269,FC_mean_177
31269,FC_mean_178
31269,FC_mean_179
9562,FC_mean_180
31269,FC_mean_181
31269,FC_mean_182
31269,FC_mean_183
31269,FC_mean_184
9562,FC_mean_185
9562,FC_mean_186
9562,FC_mean_187
31269,FC_mean_188
31269,FC_mean_189
31269,FC_mean_190
31269,FC_mean_191
9562,FC_mean_192
31269,FC_mean_193
31269,FC_mean_194
31269,FC_mean_195
31269,FC_mean_196
31269,FC_mean_197
31269,FC_mean_198
720,FC_mean_199
9562,FC_mean_200
31269,FC_mean_201
31269,FC_mean_202
31269,FC_mean_203
31269,FC_mean_204
31269,FC_mean_205
16345,FC_mean_206
31269,FC_mean_207
9562,FC_mean_208
31269,FC_mean_209
31269,FC_mean_210
9562,FC_mean_211
31269,FC_mean_212
31269,FC_mean_213
31269,FC_mean_214
31269,FC_mean_215
9562,FC_mean_216
9562,FC_mean_217
31269,FC_mean_218
31269,FC_mean_219
31269,FC_mean_220
31269,FC_mean_221
31269,FC_mean_222
31269,FC_mean_223
31269,FC_mean_224
31269,FC_mean_225
31269,FC_mean_226
31269,FC_mean_227
1167,FC_mean_228
31269,FC_mean_229
16345,FC_mean_230
9562,FC_mean_231
2797,FC_mean_232
2797,FC_mean_233
31269,FC_mean_234
16345,FC_mean_235
31269,FC_mean_236
31269,FC_mean_237
31269,FC_mean_238
31269,FC_mean_239
31269,FC_mean_240
9562,FC_mean_241
9562,FC_mean_242
31269,FC_mean_243
31269,FC_mean_244
31269,FC_mean_245
31269,FC_mean_246
31269,FC_mean_247
31269,FC_mean_248
31269,FC_mean_249
31269,FC_mean_250
9562,FC_mean_251
31269,FC_mean_252
16345,FC_mean_253
2797,FC_mean_254
31269,FC_mean_255
31269,FC_mean_256
31269,FC_mean_257
9562,FC_mean_258
31269,FC_mean_259
9562,FC_mean_260
2797,FC_mean_261
31269,FC_mean_262
9562,FC_mean_263
31269,FC_mean_264
9562,FC_mean_265
31269,FC_mean_266
31269,FC_mean_267
31269,FC_mean_268
9562,FC_mean_269
31269,FC_mean_270
31269,FC_mean_271
31269,FC_mean_272
31269,FC_mean_273
31269,FC_mean_274
31269,FC_mean_275
9562,FC_mean_276
9562,FC_mean_277
31269,FC_mean_278
31269,FC_mean_279
31269,FC_mean_280
31269,FC_mean_281
31269,FC_mean_282
31269,FC_mean_283
31269,FC_mean_284
31269,FC_mean_285
31269,FC_mean_286
31269,FC_mean_287
9562,FC_mean_288
31269,FC_mean_289
31269,FC_mean_290
9562,FC_mean_291
9562,FC_mean_292
9562,FC_mean_293
31269,FC_mean_294
31269,FC_mean_295
31269,FC_mean_296
9562,FC_mean_297
31269,FC_mean_298
31269,FC_mean_299
9562,FC_mean_300
16345,FC_mean_301
9562,FC_mean_302
31269,FC_mean_303
603,FC_mean_304
9562,FC_mean_305
9562,FC_mean_306
2797,FC_mean_307
31269,FC_mean_308
31269,FC_mean_309
31269,FC_mean_310
31269,FC_mean_311
9562,FC_mean_312
31269,FC_mean_313
31269,FC_mean_314
31269,FC_mean_315
31269,FC_mean_316
9562,FC_mean_317
31269,FC_mean_318
31269,FC_mean_319
9562,FC_mean_320
31269,FC_mean_321
31269,FC_mean_322
31269,FC_mean_323
31269,FC_mean_324
31269,FC_mean_325
31269,FC_mean_326
9562,FC_mean_327
16345,FC_mean_328
31269,FC_mean_329
31269,FC_mean_330
31269,FC_mean_331
31269,FC_mean_332
31269,FC_mean_333
9562,FC_mean_334
31269,FC_mean_335
31269,FC_mean_336
9562,FC_mean_337
31269,FC_mean_338
9562,FC_mean_339
31269,FC_mean_340
31269,FC_mean_341
31269,FC_mean_342
9562,FC_mean_343
31269,FC_mean_344
31269,FC_mean_345
1167,FC_mean_346
2797,FC_mean_347
9562,FC_mean_348
31269,FC_mean_349
31269,FC_mean_350
31269,FC_mean_351
31269,FC_mean_352
2797,FC_mean_353
31269,FC_mean_354
31269,FC_mean_355
9562,FC_mean_356
9562,FC_mean_357
731,FC_mean_358
9562,FC_mean_359
31269,FC_mean_360
31269,FC_mean_361
31269,FC_mean_362
16345,FC_mean_363
31269,FC_mean_364
31269,FC_mean_365
9562,FC_mean_366
31269,FC_mean_367
31269,FC_mean_368
31269,FC_mean_369
31269,FC_mean_370
9562,FC_mean_371
16345,FC_mean_372
31269,FC_mean_373
31269,FC_mean_374
9562,FC_mean_375
31269,FC_mean_376
16345,FC_mean_377
31269,FC_mean_378
31269,FC_mean_379
31269,FC_mean_380
9562,FC_mean_381
31269,FC_mean_382
31269,FC_mean_383
9562,FC_mean_384
9562,FC_mean_385
31269,FC_mean_386
9562,FC_mean_387
31269,FC_mean_388
9562,FC_mean_389
31269,FC_mean_390
31269,FC_mean_391
31269,FC_mean_392
2797,FC_mean_393
31269,FC_mean_394
31269,FC_mean_395
16345,FC_mean_396
31269,FC_mean_397
9562,FC_mean_398
1167,FC_mean_399
9562,FC_mean_400
9562,FC_mean_401
9562,FC_mean_402
9562,FC_mean_403
31269,FC_mean_404
31269,FC_mean_405
31269,FC_mean_406
31269,FC_mean_407
16345,FC_mean_408
31269,FC_mean_409
16345,FC_mean_410
31269,FC_mean_411
16345,FC_mean_412
31269,FC_mean_413
31269,FC_mean_414
16345,FC_mean_415
31269,FC_mean_416
16345,FC_mean_417
31269,FC_mean_418
31269,FC_mean_419
31269,FC_mean_420
9562,FC_mean_421
2797,FC_mean_422
31269,FC_mean_423
