rank,feature_location
2,164_Visual
3,277_DefaultMode
4,211_VentralAttention
4,95_DefaultMode
6,120_DefaultMode
7,159_Visual
7,19_SomatomotorDorsal
9,140_ParietoMedial
10,265_Visual
10,285_FrontoParietal
12,248_Salience
13,18_SomatomotorDorsal
14,260_CinguloOpercular
15,35_SomatomotorDorsal
15,75_Auditory
17,16_SomatomotorDorsal
17,268_CinguloOpercular
19,131_DefaultMode
20,225_DorsalAttention
21,55_CinguloOpercular
22,91_DefaultMode
23,217_VentralAttention
24,257_VentralAttention
25,157_Visual
25,251_FrontoParietal
27,135_DefaultMode
27,253_SomatomotorDorsal
29,295_SomatomotorDorsal
31,147_Visual
31,149_Visual
31,244_Reward
34,205_Salience
34,230_DorsalAttention
34,232_DorsalAttention
34,76_Auditory
37,177_FrontoParietal
38,3_unassigned
39,161_Visual
40,289_FrontoParietal
40,83_DefaultMode
42,281_DefaultMode
42,82_DefaultMode
44,237_MedialTemporalLobe
45,222_DorsalAttention
46,7_unassigned
47,182_FrontoParietal
48,32_SomatomotorDorsal
49,193_FrontoParietal
50,13_SomatomotorDorsal
50,283_Visual
52,29_SomatomotorDorsal
52,96_DefaultMode
54,33_SomatomotorDorsal
55,34_SomatomotorDorsal
56,218_VentralAttention
57,74_Auditory
58,145_Visual
59,236_MedialTemporalLobe
59,39_SomatomotorDorsal
61,190_FrontoParietal
61,31_SomatomotorDorsal
63,128_DefaultMode
64,267_CinguloOpercular
65,227_DorsalAttention
66,43_SomatomotorDorsal
66,5_unassigned
68,20_SomatomotorDorsal
69,57_CinguloOpercular
70,273_SomatomotorDorsal
71,279_DefaultMode
73,136_ParietoMedial
73,174_Visual
73,240_Reward
73,288_FrontoParietal
76,168_Visual
77,169_Visual
78,207_Salience
78,250_FrontoParietal
80,73_Auditory
81,46_SomatomotorLateral
82,246_Reward
84,173_Visual
84,280_DefaultMode
84,54_CinguloOpercular
86,127_DefaultMode
86,93_DefaultMode
88,17_SomatomotorDorsal
90,108_DefaultMode
90,143_Visual
90,166_Visual
92,184_FrontoParietal
93,14_SomatomotorDorsal
94,121_DefaultMode
94,247_Reward
96,239_DefaultMode
97,133_DefaultMode
97,224_DorsalAttention
99,36_SomatomotorDorsal
100,119_DefaultMode
100,24_SomatomotorDorsal
102,130_DefaultMode
103,65_CinguloOpercular
104,2_unassigned
105,67_CinguloOpercular
106,113_DefaultMode
107,202_Salience
108,11_unassigned
108,229_DorsalAttention
110,171_Visual
111,192_FrontoParietal
111,48_SomatomotorLateral
113,195_FrontoParietal
115,22_SomatomotorDorsal
115,269_CinguloOpercular
115,87_DefaultMode
117,261_CinguloOpercular
118,198_FrontoParietal
118,272_SomatomotorDorsal
120,186_FrontoParietal
120,40_SomatomotorDorsal
122,212_VentralAttention
123,105_DefaultMode
123,30_SomatomotorDorsal
125,228_DorsalAttention
125,291_Salience
127,51_CinguloOpercular
128,187_FrontoParietal
128,258_CinguloOpercular
130,111_DefaultMode
130,72_Auditory
132,264_Visual
133,170_Visual
134,274_CinguloOpercular
134,28_SomatomotorDorsal
136,138_ParietoMedial
137,52_CinguloOpercular
137,58_CinguloOpercular
139,300_SomatomotorDorsal
139,4_unassigned
141,47_SomatomotorLateral
142,259_CinguloOpercular
142,290_FrontoParietal
144,137_ParietoMedial
145,210_Salience
147,172_Visual
147,26_SomatomotorDorsal
147,79_Auditory
150,114_DefaultMode
150,188_FrontoParietal
150,70_Auditory
152,175_FrontoParietal
152,42_SomatomotorDorsal
154,179_FrontoParietal
155,106_DefaultMode
156,234_MedialTemporalLobe
157,275_DorsalAttention
158,162_Visual
158,89_DefaultMode
160,98_DefaultMode
161,189_FrontoParietal
162,194_FrontoParietal
163,183_FrontoParietal
164,117_DefaultMode
165,160_Visual
166,15_SomatomotorDorsal
167,286_FrontoParietal
167,38_SomatomotorDorsal
169,256_VentralAttention
169,60_CinguloOpercular
171,215_VentralAttention
171,56_CinguloOpercular
174,153_Visual
174,154_Visual
174,61_CinguloOpercular
176,199_FrontoParietal
176,85_DefaultMode
179,104_DefaultMode
179,284_FrontoParietal
179,298_SomatomotorLateral
182,110_DefaultMode
182,144_Visual
182,252_SomatomotorDorsal
184,59_CinguloOpercular
185,112_DefaultMode
186,180_FrontoParietal
186,181_FrontoParietal
188,116_DefaultMode
188,158_Visual
191,134_DefaultMode
