rank,feature_location
2,164_Visual
2,277_DefaultMode
3,135_DefaultMode
3,75_Auditory
5,18_SomatomotorDorsal
5,211_VentralAttention
6,16_SomatomotorDorsal
7,159_Visual
8,248_Salience
9,29_SomatomotorDorsal
11,149_Visual
11,253_SomatomotorDorsal
11,260_CinguloOpercular
14,257_VentralAttention
14,268_CinguloOpercular
16,91_DefaultMode
16,95_DefaultMode
17,120_DefaultMode
19,161_Visual
19,19_SomatomotorDorsal
20,177_FrontoParietal
21,193_FrontoParietal
22,225_DorsalAttention
24,20_SomatomotorDorsal
24,285_FrontoParietal
26,244_Reward
26,35_SomatomotorDorsal
27,265_Visual
28,13_SomatomotorDorsal
29,17_SomatomotorDorsal
30,217_VentralAttention
32,140_ParietoMedial
32,182_FrontoParietal
33,289_FrontoParietal
34,224_DorsalAttention
36,32_SomatomotorDorsal
36,36_SomatomotorDorsal
36,40_SomatomotorDorsal
38,39_SomatomotorDorsal
40,188_FrontoParietal
40,3_unassigned
41,55_CinguloOpercular
42,31_SomatomotorDorsal
43,131_DefaultMode
44,267_CinguloOpercular
45,295_SomatomotorDorsal
46,232_DorsalAttention
48,230_DorsalAttention
48,96_DefaultMode
49,222_DorsalAttention
51,33_SomatomotorDorsal
51,73_Auditory
51,76_Auditory
53,72_Auditory
54,58_CinguloOpercular
55,202_Salience
56,240_Reward
57,30_SomatomotorDorsal
59,145_Visual
59,43_SomatomotorDorsal
59,67_CinguloOpercular
62,192_FrontoParietal
62,28_SomatomotorDorsal
63,82_DefaultMode
64,157_Visual
66,174_Visual
66,195_FrontoParietal
66,236_MedialTemporalLobe
69,46_SomatomotorLateral
69,74_Auditory
70,269_CinguloOpercular
71,227_DorsalAttention
73,194_FrontoParietal
73,288_FrontoParietal
75,173_Visual
75,83_DefaultMode
76,273_SomatomotorDorsal
77,162_Visual
78,205_Salience
79,147_Visual
81,281_DefaultMode
81,38_SomatomotorDorsal
83,190_FrontoParietal
83,279_DefaultMode
84,127_DefaultMode
85,2_unassigned
86,128_DefaultMode
87,175_FrontoParietal
89,171_Visual
89,251_FrontoParietal
89,54_CinguloOpercular
91,237_MedialTemporalLobe
93,247_Reward
93,280_DefaultMode
95,184_FrontoParietal
95,7_unassigned
96,11_unassigned
98,246_Reward
98,85_DefaultMode
99,21_SomatomotorDorsal
100,112_DefaultMode
101,136_ParietoMedial
103,113_DefaultMode
103,250_FrontoParietal
105,239_DefaultMode
105,87_DefaultMode
107,197_FrontoParietal
107,283_Visual
108,158_Visual
109,214_VentralAttention
110,207_Salience
111,178_FrontoParietal
113,114_DefaultMode
113,42_SomatomotorDorsal
115,166_Visual
115,1_unassigned
116,57_CinguloOpercular
117,119_DefaultMode
118,300_SomatomotorDorsal
119,65_CinguloOpercular
121,189_FrontoParietal
121,264_Visual
122,256_VentralAttention
124,163_Visual
124,199_FrontoParietal
125,218_VentralAttention
126,34_SomatomotorDorsal
127,64_CinguloOpercular
129,170_Visual
129,99_DefaultMode
130,210_Salience
132,117_DefaultMode
132,121_DefaultMode
132,143_Visual
134,275_DorsalAttention
136,231_DorsalAttention
136,37_SomatomotorDorsal
137,110_DefaultMode
139,130_DefaultMode
139,206_Salience
139,69_Auditory
141,180_FrontoParietal
143,111_DefaultMode
143,154_Visual
145,212_VentralAttention
145,60_CinguloOpercular
146,139_ParietoMedial
148,24_SomatomotorDorsal
148,89_DefaultMode
149,26_SomatomotorDorsal
150,156_Visual
152,274_CinguloOpercular
152,286_FrontoParietal
152,70_Auditory
154,272_SomatomotorDorsal
155,79_Auditory
156,234_MedialTemporalLobe
157,252_SomatomotorDorsal
159,290_FrontoParietal
159,48_SomatomotorLateral
160,228_DorsalAttention
162,118_DefaultMode
162,169_Visual
164,186_FrontoParietal
164,4_unassigned
165,200_FrontoParietal
166,103_DefaultMode
168,124_DefaultMode
168,133_DefaultMode
170,47_SomatomotorLateral
170,59_CinguloOpercular
171,51_CinguloOpercular
172,261_CinguloOpercular
173,138_ParietoMedial
174,132_DefaultMode
175,245_Reward
176,90_DefaultMode
177,219_VentralAttention
180,144_Visual
180,203_Salience
180,22_SomatomotorDorsal
180,52_CinguloOpercular
182,66_CinguloOpercular
183,150_Visual
184,215_VentralAttention
186,105_DefaultMode
186,152_Visual
188,14_SomatomotorDorsal
188,249_Salience
189,183_FrontoParietal
190,115_DefaultMode
191,101_DefaultMode
193,122_DefaultMode
193,229_DorsalAttention
194,153_Visual
196,198_FrontoParietal
196,94_DefaultMode
198,258_CinguloOpercular
198,56_CinguloOpercular
199,292_Salience
200,168_Visual
202,187_FrontoParietal
202,71_Auditory
202,93_DefaultMode
205,297_SomatomotorLateral
205,5_unassigned
206,116_DefaultMode
207,108_DefaultMode
208,86_DefaultMode
210,49_SomatomotorLateral
210,62_CinguloOpercular
212,204_Salience
212,241_Reward
212,282_DefaultMode
214,191_FrontoParietal
216,107_DefaultMode
216,97_DefaultMode
217,137_ParietoMedial
219,276_DorsalAttention
219,81_DefaultMode
221,15_SomatomotorDorsal
221,284_FrontoParietal
222,155_Visual
223,61_CinguloOpercular
224,270_SomatomotorLateral
226,106_DefaultMode
226,293_CinguloOpercular
227,209_Salience
229,146_Visual
229,238_DefaultMode
230,134_DefaultMode
231,6_unassigned
234,262_DefaultMode
234,53_CinguloOpercular
234,63_CinguloOpercular
234,9_unassigned
236,142_Visual
237,25_SomatomotorDorsal
239,44_SomatomotorDorsal
239,45_SomatomotorLateral
240,223_DorsalAttention
243,10_unassigned
243,185_FrontoParietal
243,263_DefaultMode
243,298_SomatomotorLateral
245,151_Visual
247,266_CinguloOpercular
247,8_unassigned
247,92_DefaultMode
249,77_Auditory
252,179_FrontoParietal
252,216_VentralAttention
252,259_CinguloOpercular
252,271_SomatomotorLateral
255,176_FrontoParietal
255,287_FrontoParietal
256,141_Visual
257,78_Auditory
258,220_DorsalAttention
260,291_Salience
260,80_Auditory
261,201_FrontoParietal
263,125_DefaultMode
263,243_Reward
263,255_SomatomotorLateral
265,294_CinguloOpercular
266,104_DefaultMode
268,208_Salience
268,68_CinguloOpercular
269,278_DefaultMode
270,221_DorsalAttention
273,12_unassigned
273,165_Visual
273,181_FrontoParietal
273,196_FrontoParietal
273,88_DefaultMode
276,129_DefaultMode
277,41_SomatomotorDorsal
278,160_Visual
279,98_DefaultMode
280,299_SomatomotorDorsal
282,109_DefaultMode
282,233_DorsalAttention
284,242_Reward
284,50_CinguloOpercular
286,123_DefaultMode
286,27_SomatomotorDorsal
287,23_SomatomotorDorsal
288,102_DefaultMode
289,84_DefaultMode
291,148_Visual
291,213_VentralAttention
291,226_DorsalAttention
294,126_DefaultMode
294,172_Visual
294,254_SomatomotorLateral
296,296_SomatomotorDorsal
298,100_DefaultMode
298,235_MedialTemporalLobe
299,167_Visual
