rank,feature_location
10446,FC_var_0
269,FC_var_1
5025,FC_var_2
3202,FC_var_3
5025,FC_var_4
31464,FC_var_5
31464,FC_var_6
16864,FC_var_7
31464,FC_var_8
31464,FC_var_9
10446,FC_var_10
31464,FC_var_11
10446,FC_var_12
31464,FC_var_13
10446,FC_var_14
31464,FC_var_15
31464,FC_var_16
10446,FC_var_17
3202,FC_var_18
31464,FC_var_19
31464,FC_var_20
31464,FC_var_21
31464,FC_var_22
10446,FC_var_23
10446,FC_var_24
16864,FC_var_25
31464,FC_var_26
31464,FC_var_27
31464,FC_var_28
31464,FC_var_29
31464,FC_var_30
31464,FC_var_31
31464,FC_var_32
31464,FC_var_33
31464,FC_var_34
31464,FC_var_35
31464,FC_var_36
10446,FC_var_37
31464,FC_var_38
31464,FC_var_39
31464,FC_var_40
31464,FC_var_41
31464,FC_var_42
31464,FC_var_43
16864,FC_var_44
3202,FC_var_45
16864,FC_var_46
16864,FC_var_47
31464,FC_var_48
10446,FC_var_49
31464,FC_var_50
31464,FC_var_51
16864,FC_var_52
10446,FC_var_53
3202,FC_var_54
10446,FC_var_55
10446,FC_var_56
31464,FC_var_57
31464,FC_var_58
31464,FC_var_59
10446,FC_var_60
10446,FC_var_61
31464,FC_var_62
10446,FC_var_63
1239,FC_var_64
10446,FC_var_65
31464,FC_var_66
31464,FC_var_67
3202,FC_var_68
31464,FC_var_69
31464,FC_var_70
31464,FC_var_71
31464,FC_var_72
10446,FC_var_73
31464,FC_var_74
31464,FC_var_75
31464,FC_var_76
10446,FC_var_77
23,FC_var_78
10446,FC_var_79
31464,FC_var_80
31464,FC_var_81
31464,FC_var_82
10446,FC_var_83
16864,FC_var_84
31464,FC_var_85
31464,FC_var_86
31464,FC_var_87
16864,FC_var_88
31464,FC_var_89
31464,FC_var_90
10446,FC_var_91
3202,FC_var_92
15520,FC_var_93
3202,FC_var_94
31464,FC_var_95
31464,FC_var_96
31464,FC_var_97
31464,FC_var_98
31464,FC_var_99
31464,FC_var_100
16864,FC_var_101
31464,FC_var_102
31464,FC_var_103
31464,FC_var_104
10446,FC_var_105
31464,FC_var_106
16864,FC_var_107
10446,FC_var_108
10446,FC_var_109
