rank,feature_location
2,60_CinguloOpercular
3,255_SomatomotorLateral
4,205_Salience
5,6_unassigned
6,129_DefaultMode
7,111_DefaultMode
8,143_Visual
9,240_Reward
10,77_Auditory
11,86_DefaultMode
12,226_DorsalAttention
13,238_DefaultMode
13,271_SomatomotorLateral
15,243_Reward
15,53_CinguloOpercular
17,239_DefaultMode
18,84_DefaultMode
19,196_FrontoParietal
19,264_Visual
21,141_Visual
21,50_CinguloOpercular
23,94_DefaultMode
24,162_Visual
25,1_unassigned
26,163_Visual
26,187_FrontoParietal
28,166_Visual
28,203_Salience
30,186_FrontoParietal
31,65_CinguloOpercular
32,132_DefaultMode
33,120_DefaultMode
34,227_DorsalAttention
34,71_Auditory
36,191_FrontoParietal
36,220_DorsalAttention
38,280_DefaultMode
39,177_FrontoParietal
40,188_FrontoParietal
41,286_FrontoParietal
43,33_SomatomotorDorsal
43,55_CinguloOpercular
43,78_Auditory
43,96_DefaultMode
46,229_DorsalAttention
47,99_DefaultMode
48,118_DefaultMode
48,159_Visual
50,19_SomatomotorDorsal
50,93_DefaultMode
52,63_CinguloOpercular
53,184_FrontoParietal
54,105_DefaultMode
55,128_DefaultMode
56,231_DorsalAttention
56,89_DefaultMode
58,138_ParietoMedial
59,215_VentralAttention
60,67_CinguloOpercular
61,35_SomatomotorDorsal
62,101_DefaultMode
62,165_Visual
64,121_DefaultMode
65,174_Visual
66,212_VentralAttention
68,131_DefaultMode
68,151_Visual
68,258_CinguloOpercular
71,236_MedialTemporalLobe
71,25_SomatomotorDorsal
71,4_unassigned
73,173_Visual
74,169_Visual
74,270_SomatomotorLateral
76,292_Salience
76,2_unassigned
78,298_SomatomotorLateral
79,153_Visual
80,211_VentralAttention
80,61_CinguloOpercular
82,273_SomatomotorDorsal
83,126_DefaultMode
83,69_Auditory
86,104_DefaultMode
86,145_Visual
86,170_Visual
86,291_Salience
89,295_SomatomotorDorsal
90,72_Auditory
91,168_Visual
92,10_unassigned
93,257_VentralAttention
94,232_DorsalAttention
94,97_DefaultMode
96,49_SomatomotorLateral
97,199_FrontoParietal
97,91_DefaultMode
99,266_CinguloOpercular
100,114_DefaultMode
100,208_Salience
102,41_SomatomotorDorsal
103,100_DefaultMode
104,108_DefaultMode
104,127_DefaultMode
106,62_CinguloOpercular
107,244_Reward
108,248_Salience
109,190_FrontoParietal
109,56_CinguloOpercular
111,59_CinguloOpercular
112,284_FrontoParietal
113,155_Visual
113,44_SomatomotorDorsal
115,223_DorsalAttention
116,182_FrontoParietal
116,83_DefaultMode
119,185_FrontoParietal
119,272_SomatomotorDorsal
119,87_DefaultMode
121,221_DorsalAttention
122,135_DefaultMode
122,66_CinguloOpercular
124,261_CinguloOpercular
125,119_DefaultMode
125,206_Salience
127,207_Salience
127,70_Auditory
130,164_Visual
130,247_Reward
130,31_SomatomotorDorsal
132,82_DefaultMode
133,290_FrontoParietal
134,224_DorsalAttention
136,107_DefaultMode
136,210_Salience
136,265_Visual
136,275_DorsalAttention
139,161_Visual
139,277_DefaultMode
141,252_SomatomotorDorsal
142,294_CinguloOpercular
143,80_Auditory
144,140_ParietoMedial
144,198_FrontoParietal
146,117_DefaultMode
146,76_Auditory
148,251_FrontoParietal
149,289_FrontoParietal
151,230_DorsalAttention
151,51_CinguloOpercular
151,5_unassigned
153,256_VentralAttention
154,47_SomatomotorLateral
155,116_DefaultMode
156,222_DorsalAttention
156,40_SomatomotorDorsal
158,85_DefaultMode
160,110_DefaultMode
160,157_Visual
160,245_Reward
162,195_FrontoParietal
163,150_Visual
163,254_SomatomotorLateral
165,293_CinguloOpercular
166,152_Visual
166,183_FrontoParietal
168,147_Visual
169,263_DefaultMode
170,172_Visual
170,282_DefaultMode
173,134_DefaultMode
173,216_VentralAttention
173,233_DorsalAttention
176,133_DefaultMode
176,146_Visual
176,250_FrontoParietal
176,276_DorsalAttention
179,279_DefaultMode
180,15_SomatomotorDorsal
181,109_DefaultMode
181,124_DefaultMode
183,300_SomatomotorDorsal
185,112_DefaultMode
185,21_SomatomotorDorsal
185,288_FrontoParietal
187,180_FrontoParietal
188,43_SomatomotorDorsal
189,242_Reward
189,36_SomatomotorDorsal
191,139_ParietoMedial
191,8_unassigned
193,214_VentralAttention
194,106_DefaultMode
196,235_MedialTemporalLobe
196,249_Salience
196,58_CinguloOpercular
198,125_DefaultMode
198,234_MedialTemporalLobe
200,26_SomatomotorDorsal
202,218_VentralAttention
202,267_CinguloOpercular
202,287_FrontoParietal
204,204_Salience
204,42_SomatomotorDorsal
207,122_DefaultMode
207,278_DefaultMode
207,27_SomatomotorDorsal
209,253_SomatomotorDorsal
211,148_Visual
211,171_Visual
211,246_Reward
213,158_Visual
214,219_VentralAttention
214,81_DefaultMode
216,90_DefaultMode
217,142_Visual
217,160_Visual
219,3_unassigned
221,32_SomatomotorDorsal
221,37_SomatomotorDorsal
221,9_unassigned
224,103_DefaultMode
224,178_FrontoParietal
224,30_SomatomotorDorsal
226,189_FrontoParietal
226,259_CinguloOpercular
228,241_Reward
230,194_FrontoParietal
230,209_Salience
230,274_CinguloOpercular
233,201_FrontoParietal
233,285_FrontoParietal
233,296_SomatomotorDorsal
233,299_SomatomotorDorsal
236,64_CinguloOpercular
238,115_DefaultMode
238,181_FrontoParietal
238,237_MedialTemporalLobe
240,193_FrontoParietal
242,149_Visual
242,175_FrontoParietal
242,98_DefaultMode
244,167_Visual
244,20_SomatomotorDorsal
247,269_CinguloOpercular
247,28_SomatomotorDorsal
247,29_SomatomotorDorsal
249,54_CinguloOpercular
249,73_Auditory
251,260_CinguloOpercular
252,16_SomatomotorDorsal
253,176_FrontoParietal
253,18_SomatomotorDorsal
255,262_DefaultMode
255,57_CinguloOpercular
257,102_DefaultMode
258,22_SomatomotorDorsal
258,92_DefaultMode
260,156_Visual
260,68_CinguloOpercular
262,14_SomatomotorDorsal
264,113_DefaultMode
264,297_SomatomotorLateral
264,74_Auditory
264,75_Auditory
267,11_unassigned
268,34_SomatomotorDorsal
269,7_unassigned
269,95_DefaultMode
271,12_unassigned
271,24_SomatomotorDorsal
274,213_VentralAttention
274,225_DorsalAttention
274,46_SomatomotorLateral
276,45_SomatomotorLateral
277,23_SomatomotorDorsal
277,268_CinguloOpercular
279,136_ParietoMedial
280,13_SomatomotorDorsal
281,144_Visual
281,192_FrontoParietal
283,17_SomatomotorDorsal
284,88_DefaultMode
285,228_DorsalAttention
285,48_SomatomotorLateral
287,197_FrontoParietal
288,38_SomatomotorDorsal
289,202_Salience
289,281_DefaultMode
292,154_Visual
292,217_VentralAttention
292,52_CinguloOpercular
294,123_DefaultMode
294,130_DefaultMode
296,79_Auditory
297,179_FrontoParietal
298,137_ParietoMedial
298,283_Visual
300,200_FrontoParietal
301,39_SomatomotorDorsal
