rank,feature_location
2,255_SomatomotorLateral
3,60_CinguloOpercular
4,205_Salience
4,240_Reward
6,6_unassigned
7,143_Visual
7,55_CinguloOpercular
9,1_unassigned
10,53_CinguloOpercular
11,111_DefaultMode
12,129_DefaultMode
12,50_CinguloOpercular
14,238_DefaultMode
14,86_DefaultMode
16,226_DorsalAttention
17,132_DefaultMode
17,166_Visual
19,272_SomatomotorDorsal
20,286_FrontoParietal
22,141_Visual
22,187_FrontoParietal
22,239_DefaultMode
24,159_Visual
25,162_Visual
26,121_DefaultMode
27,163_Visual
27,280_DefaultMode
29,165_Visual
30,203_Salience
30,33_SomatomotorDorsal
32,77_Auditory
33,186_FrontoParietal
34,71_Auditory
35,153_Visual
35,220_DorsalAttention
37,243_Reward
38,25_SomatomotorDorsal
39,177_FrontoParietal
39,72_Auditory
41,127_DefaultMode
42,248_Salience
44,196_FrontoParietal
44,227_DorsalAttention
44,258_CinguloOpercular
46,78_Auditory
47,101_DefaultMode
48,208_Salience
48,65_CinguloOpercular
50,264_Visual
51,212_VentralAttention
52,273_SomatomotorDorsal
53,188_FrontoParietal
53,91_DefaultMode
55,266_CinguloOpercular
55,271_SomatomotorLateral
57,89_DefaultMode
58,169_Visual
60,114_DefaultMode
60,251_FrontoParietal
60,290_FrontoParietal
62,35_SomatomotorDorsal
63,100_DefaultMode
63,292_Salience
66,145_Visual
66,232_DorsalAttention
66,67_CinguloOpercular
68,131_DefaultMode
68,19_SomatomotorDorsal
70,231_DorsalAttention
71,139_ParietoMedial
72,295_SomatomotorDorsal
72,96_DefaultMode
75,168_Visual
75,244_Reward
75,56_CinguloOpercular
78,184_FrontoParietal
78,4_unassigned
78,93_DefaultMode
80,126_DefaultMode
81,284_FrontoParietal
82,41_SomatomotorDorsal
83,170_Visual
84,182_FrontoParietal
85,128_DefaultMode
85,215_VentralAttention
87,107_DefaultMode
87,49_SomatomotorLateral
89,173_Visual
90,191_FrontoParietal
90,236_MedialTemporalLobe
92,294_CinguloOpercular
93,104_DefaultMode
94,155_Visual
96,118_DefaultMode
96,171_Visual
96,69_Auditory
98,164_Visual
99,120_DefaultMode
100,84_DefaultMode
101,298_SomatomotorLateral
102,63_CinguloOpercular
104,16_SomatomotorDorsal
104,94_DefaultMode
104,99_DefaultMode
106,234_MedialTemporalLobe
106,62_CinguloOpercular
108,199_FrontoParietal
109,59_CinguloOpercular
110,221_DorsalAttention
110,44_SomatomotorDorsal
112,98_DefaultMode
113,253_SomatomotorDorsal
115,122_DefaultMode
115,229_DorsalAttention
115,277_DefaultMode
117,193_FrontoParietal
118,279_DefaultMode
120,135_DefaultMode
120,230_DorsalAttention
120,5_unassigned
122,61_CinguloOpercular
123,138_ParietoMedial
123,87_DefaultMode
125,42_SomatomotorDorsal
126,291_Salience
127,157_Visual
127,70_Auditory
129,119_DefaultMode
130,116_DefaultMode
131,142_Visual
132,207_Salience
133,257_VentralAttention
135,105_DefaultMode
135,174_Visual
135,265_Visual
137,261_CinguloOpercular
138,97_DefaultMode
139,211_VentralAttention
140,34_SomatomotorDorsal
141,178_FrontoParietal
143,216_VentralAttention
143,282_DefaultMode
143,297_SomatomotorLateral
145,190_FrontoParietal
146,180_FrontoParietal
146,194_FrontoParietal
148,189_FrontoParietal
149,10_unassigned
149,214_VentralAttention
151,20_SomatomotorDorsal
151,47_SomatomotorLateral
153,83_DefaultMode
155,112_DefaultMode
155,249_Salience
155,76_Auditory
158,151_Visual
158,269_CinguloOpercular
158,274_CinguloOpercular
160,51_CinguloOpercular
162,267_CinguloOpercular
162,278_DefaultMode
162,293_CinguloOpercular
164,31_SomatomotorDorsal
164,8_unassigned
167,183_FrontoParietal
167,242_Reward
167,82_DefaultMode
169,146_Visual
170,222_DorsalAttention
171,152_Visual
172,125_DefaultMode
173,117_DefaultMode
174,150_Visual
174,175_FrontoParietal
176,133_DefaultMode
177,103_DefaultMode
177,109_DefaultMode
179,237_MedialTemporalLobe
179,276_DorsalAttention
181,108_DefaultMode
182,250_FrontoParietal
183,176_FrontoParietal
183,74_Auditory
186,134_DefaultMode
186,235_MedialTemporalLobe
186,32_SomatomotorDorsal
186,36_SomatomotorDorsal
189,80_Auditory
190,110_DefaultMode
190,223_DorsalAttention
192,167_Visual
192,58_CinguloOpercular
194,15_SomatomotorDorsal
194,256_VentralAttention
196,106_DefaultMode
196,219_VentralAttention
198,288_FrontoParietal
198,300_SomatomotorDorsal
201,140_ParietoMedial
201,185_FrontoParietal
201,90_DefaultMode
203,195_FrontoParietal
204,263_DefaultMode
205,270_SomatomotorLateral
206,136_ParietoMedial
206,3_unassigned
209,161_Visual
209,198_FrontoParietal
209,40_SomatomotorDorsal
209,54_CinguloOpercular
212,64_CinguloOpercular
214,113_DefaultMode
214,160_Visual
214,43_SomatomotorDorsal
214,66_CinguloOpercular
217,18_SomatomotorDorsal
218,27_SomatomotorDorsal
219,13_SomatomotorDorsal
219,75_Auditory
221,252_SomatomotorDorsal
223,172_Visual
223,275_DorsalAttention
223,95_DefaultMode
225,209_Salience
225,254_SomatomotorLateral
227,246_Reward
229,123_DefaultMode
229,21_SomatomotorDorsal
229,233_DorsalAttention
232,148_Visual
232,218_VentralAttention
232,9_unassigned
234,245_Reward
234,2_unassigned
236,22_SomatomotorDorsal
236,73_Auditory
238,81_DefaultMode
239,124_DefaultMode
241,206_Salience
241,29_SomatomotorDorsal
241,7_unassigned
243,149_Visual
243,85_DefaultMode
246,14_SomatomotorDorsal
246,224_DorsalAttention
246,225_DorsalAttention
248,260_CinguloOpercular
249,299_SomatomotorDorsal
249,79_Auditory
252,158_Visual
252,201_FrontoParietal
252,28_SomatomotorDorsal
