rank,feature_location
9,1_unassigned
149,10_unassigned
63,100_DefaultMode
47,101_DefaultMode
290,102_DefaultMode
177,103_DefaultMode
93,104_DefaultMode
135,105_DefaultMode
196,106_DefaultMode
87,107_DefaultMode
181,108_DefaultMode
177,109_DefaultMode
270,11_unassigned
190,110_DefaultMode
11,111_DefaultMode
155,112_DefaultMode
214,113_DefaultMode
60,114_DefaultMode
286,115_DefaultMode
130,116_DefaultMode
173,117_DefaultMode
96,118_DefaultMode
129,119_DefaultMode
268,12_unassigned
99,120_DefaultMode
26,121_DefaultMode
115,122_DefaultMode
229,123_DefaultMode
239,124_DefaultMode
172,125_DefaultMode
80,126_DefaultMode
41,127_DefaultMode
85,128_DefaultMode
12,129_DefaultMode
219,13_SomatomotorDorsal
294,130_DefaultMode
68,131_DefaultMode
17,132_DefaultMode
176,133_DefaultMode
186,134_DefaultMode
120,135_DefaultMode
206,136_ParietoMedial
278,137_ParietoMedial
123,138_ParietoMedial
71,139_ParietoMedial
246,14_SomatomotorDorsal
201,140_ParietoMedial
22,141_Visual
131,142_Visual
7,143_Visual
272,144_Visual
66,145_Visual
169,146_Visual
258,147_Visual
232,148_Visual
243,149_Visual
194,15_SomatomotorDorsal
174,150_Visual
158,151_Visual
171,152_Visual
35,153_Visual
288,154_Visual
94,155_Visual
255,156_Visual
127,157_Visual
252,158_Visual
24,159_Visual
104,16_SomatomotorDorsal
214,160_Visual
209,161_Visual
25,162_Visual
27,163_Visual
98,164_Visual
29,165_Visual
17,166_Visual
192,167_Visual
75,168_Visual
58,169_Visual
283,17_SomatomotorDorsal
83,170_Visual
96,171_Visual
223,172_Visual
89,173_Visual
135,174_Visual
174,175_FrontoParietal
183,176_FrontoParietal
39,177_FrontoParietal
141,178_FrontoParietal
301,179_FrontoParietal
217,18_SomatomotorDorsal
146,180_FrontoParietal
286,181_FrontoParietal
84,182_FrontoParietal
167,183_FrontoParietal
78,184_FrontoParietal
201,185_FrontoParietal
33,186_FrontoParietal
22,187_FrontoParietal
53,188_FrontoParietal
148,189_FrontoParietal
68,19_SomatomotorDorsal
145,190_FrontoParietal
90,191_FrontoParietal
279,192_FrontoParietal
117,193_FrontoParietal
146,194_FrontoParietal
203,195_FrontoParietal
44,196_FrontoParietal
296,197_FrontoParietal
209,198_FrontoParietal
108,199_FrontoParietal
234,2_unassigned
151,20_SomatomotorDorsal
290,200_FrontoParietal
252,201_FrontoParietal
286,202_Salience
30,203_Salience
281,204_Salience
4,205_Salience
241,206_Salience
132,207_Salience
48,208_Salience
225,209_Salience
229,21_SomatomotorDorsal
263,210_Salience
139,211_VentralAttention
51,212_VentralAttention
281,213_VentralAttention
149,214_VentralAttention
85,215_VentralAttention
143,216_VentralAttention
261,217_VentralAttention
232,218_VentralAttention
196,219_VentralAttention
236,22_SomatomotorDorsal
35,220_DorsalAttention
110,221_DorsalAttention
170,222_DorsalAttention
190,223_DorsalAttention
246,224_DorsalAttention
246,225_DorsalAttention
16,226_DorsalAttention
44,227_DorsalAttention
299,228_DorsalAttention
115,229_DorsalAttention
265,23_SomatomotorDorsal
120,230_DorsalAttention
70,231_DorsalAttention
66,232_DorsalAttention
229,233_DorsalAttention
106,234_MedialTemporalLobe
186,235_MedialTemporalLobe
90,236_MedialTemporalLobe
179,237_MedialTemporalLobe
14,238_DefaultMode
22,239_DefaultMode
298,24_SomatomotorDorsal
4,240_Reward
292,241_Reward
167,242_Reward
37,243_Reward
75,244_Reward
234,245_Reward
227,246_Reward
258,247_Reward
42,248_Salience
155,249_Salience
38,25_SomatomotorDorsal
182,250_FrontoParietal
60,251_FrontoParietal
221,252_SomatomotorDorsal
113,253_SomatomotorDorsal
225,254_SomatomotorLateral
2,255_SomatomotorLateral
194,256_VentralAttention
133,257_VentralAttention
44,258_CinguloOpercular
274,259_CinguloOpercular
266,26_SomatomotorDorsal
248,260_CinguloOpercular
137,261_CinguloOpercular
275,262_DefaultMode
204,263_DefaultMode
50,264_Visual
135,265_Visual
55,266_CinguloOpercular
162,267_CinguloOpercular
256,268_CinguloOpercular
158,269_CinguloOpercular
218,27_SomatomotorDorsal
205,270_SomatomotorLateral
55,271_SomatomotorLateral
19,272_SomatomotorDorsal
52,273_SomatomotorDorsal
158,274_CinguloOpercular
223,275_DorsalAttention
179,276_DorsalAttention
115,277_DefaultMode
162,278_DefaultMode
118,279_DefaultMode
252,28_SomatomotorDorsal
27,280_DefaultMode
296,281_DefaultMode
143,282_DefaultMode
293,283_Visual
81,284_FrontoParietal
272,285_FrontoParietal
20,286_FrontoParietal
264,287_FrontoParietal
198,288_FrontoParietal
279,289_FrontoParietal
241,29_SomatomotorDorsal
60,290_FrontoParietal
126,291_Salience
63,292_Salience
162,293_CinguloOpercular
92,294_CinguloOpercular
72,295_SomatomotorDorsal
272,296_SomatomotorDorsal
143,297_SomatomotorLateral
101,298_SomatomotorLateral
249,299_SomatomotorDorsal
206,3_unassigned
254,30_SomatomotorDorsal
198,300_SomatomotorDorsal
164,31_SomatomotorDorsal
186,32_SomatomotorDorsal
30,33_SomatomotorDorsal
140,34_SomatomotorDorsal
62,35_SomatomotorDorsal
186,36_SomatomotorDorsal
262,37_SomatomotorDorsal
276,38_SomatomotorDorsal
300,39_SomatomotorDorsal
78,4_unassigned
209,40_SomatomotorDorsal
82,41_SomatomotorDorsal
125,42_SomatomotorDorsal
214,43_SomatomotorDorsal
110,44_SomatomotorDorsal
267,45_SomatomotorLateral
295,46_SomatomotorLateral
151,47_SomatomotorLateral
288,48_SomatomotorLateral
87,49_SomatomotorLateral
120,5_unassigned
12,50_CinguloOpercular
160,51_CinguloOpercular
283,52_CinguloOpercular
10,53_CinguloOpercular
209,54_CinguloOpercular
7,55_CinguloOpercular
75,56_CinguloOpercular
269,57_CinguloOpercular
192,58_CinguloOpercular
109,59_CinguloOpercular
6,6_unassigned
3,60_CinguloOpercular
122,61_CinguloOpercular
106,62_CinguloOpercular
102,63_CinguloOpercular
212,64_CinguloOpercular
48,65_CinguloOpercular
214,66_CinguloOpercular
66,67_CinguloOpercular
256,68_CinguloOpercular
96,69_Auditory
241,7_unassigned
127,70_Auditory
34,71_Auditory
39,72_Auditory
236,73_Auditory
183,74_Auditory
219,75_Auditory
155,76_Auditory
32,77_Auditory
46,78_Auditory
249,79_Auditory
164,8_unassigned
189,80_Auditory
238,81_DefaultMode
167,82_DefaultMode
153,83_DefaultMode
100,84_DefaultMode
243,85_DefaultMode
14,86_DefaultMode
123,87_DefaultMode
260,88_DefaultMode
57,89_DefaultMode
232,9_unassigned
201,90_DefaultMode
53,91_DefaultMode
277,92_DefaultMode
78,93_DefaultMode
104,94_DefaultMode
223,95_DefaultMode
72,96_DefaultMode
138,97_DefaultMode
112,98_DefaultMode
104,99_DefaultMode
