rank,feature_location
34272,FC_mean_0
14836,FC_mean_1
14836,FC_mean_2
34272,FC_mean_3
34272,FC_mean_4
34272,FC_mean_5
5559,FC_mean_6
8391,FC_mean_7
3016,FC_mean_8
14836,FC_mean_9
14836,FC_mean_10
8391,FC_mean_11
1168,FC_mean_12
14836,FC_mean_13
34272,FC_mean_14
34272,FC_mean_15
34272,FC_mean_16
34272,FC_mean_17
1161,FC_mean_18
14836,FC_mean_19
34272,FC_mean_20
34272,FC_mean_21
34272,FC_mean_22
34272,FC_mean_23
34272,FC_mean_24
34272,FC_mean_25
34272,FC_mean_26
34272,FC_mean_27
22273,FC_mean_28
34272,FC_mean_29
34272,FC_mean_30
14836,FC_mean_31
34272,FC_mean_32
14836,FC_mean_33
5559,FC_mean_34
34272,FC_mean_35
34272,FC_mean_36
22273,FC_mean_37
14836,FC_mean_38
34272,FC_mean_39
34272,FC_mean_40
34272,FC_mean_41
14836,FC_mean_42
22273,FC_mean_43
34272,FC_mean_44
34272,FC_mean_45
14836,FC_mean_46
34272,FC_mean_47
14836,FC_mean_48
2076,FC_mean_49
14836,FC_mean_50
34272,FC_mean_51
790,FC_mean_52
14836,FC_mean_53
34272,FC_mean_54
14836,FC_mean_55
14836,FC_mean_56
14836,FC_mean_57
14836,FC_mean_58
34272,FC_mean_59
2076,FC_mean_60
34272,FC_mean_61
5559,FC_mean_62
34272,FC_mean_63
14836,FC_mean_64
34272,FC_mean_65
14836,FC_mean_66
14836,FC_mean_67
14836,FC_mean_68
34272,FC_mean_69
14836,FC_mean_70
8391,FC_mean_71
195,FC_mean_72
34272,FC_mean_73
14836,FC_mean_74
34272,FC_mean_75
34272,FC_mean_76
34272,FC_mean_77
14836,FC_mean_78
22273,FC_mean_79
1153,FC_mean_80
34272,FC_mean_81
14836,FC_mean_82
14836,FC_mean_83
34272,FC_mean_84
3016,FC_mean_85
34272,FC_mean_86
34272,FC_mean_87
14836,FC_mean_88
14836,FC_mean_89
34272,FC_mean_90
34272,FC_mean_91
34272,FC_mean_92
34272,FC_mean_93
5559,FC_mean_94
14836,FC_mean_95
