rank,feature_location
2,187_FrontoParietal
3,111_DefaultMode
4,61_CinguloOpercular
5,161_Visual
6,236_MedialTemporalLobe
7,83_DefaultMode
8,263_DefaultMode
8,55_CinguloOpercular
10,116_DefaultMode
11,190_FrontoParietal
12,141_Visual
12,230_DorsalAttention
14,143_Visual
14,53_CinguloOpercular
16,238_DefaultMode
17,163_Visual
17,268_CinguloOpercular
19,56_CinguloOpercular
20,6_unassigned
21,27_SomatomotorDorsal
22,239_DefaultMode
22,8_unassigned
24,219_VentralAttention
25,101_DefaultMode
25,115_DefaultMode
27,174_Visual
27,69_Auditory
29,245_Reward
30,199_FrontoParietal
31,215_VentralAttention
32,44_SomatomotorDorsal
33,299_SomatomotorDorsal
33,29_SomatomotorDorsal
35,71_Auditory
36,260_CinguloOpercular
37,36_SomatomotorDorsal
38,96_DefaultMode
39,243_Reward
40,33_SomatomotorDorsal
41,298_SomatomotorLateral
42,240_Reward
43,92_DefaultMode
45,16_SomatomotorDorsal
45,220_DorsalAttention
45,276_DorsalAttention
47,145_Visual
47,63_CinguloOpercular
49,132_DefaultMode
49,1_unassigned
51,210_Salience
52,99_DefaultMode
53,233_DorsalAttention
54,185_FrontoParietal
55,177_FrontoParietal
55,178_FrontoParietal
57,5_unassigned
58,76_Auditory
59,47_SomatomotorLateral
59,52_CinguloOpercular
61,294_CinguloOpercular
63,106_DefaultMode
63,113_DefaultMode
63,271_SomatomotorLateral
65,227_DorsalAttention
65,285_FrontoParietal
67,46_SomatomotorLateral
69,126_DefaultMode
69,172_Visual
69,270_SomatomotorLateral
71,176_FrontoParietal
72,222_DorsalAttention
73,184_FrontoParietal
73,197_FrontoParietal
75,75_Auditory
76,10_unassigned
76,286_FrontoParietal
78,277_DefaultMode
79,103_DefaultMode
79,255_SomatomotorLateral
81,287_FrontoParietal
81,32_SomatomotorDorsal
83,282_DefaultMode
84,135_DefaultMode
85,267_CinguloOpercular
86,208_Salience
88,165_Visual
88,207_Salience
88,74_Auditory
90,262_DefaultMode
91,248_Salience
91,253_SomatomotorDorsal
93,237_MedialTemporalLobe
94,226_DorsalAttention
95,269_CinguloOpercular
97,142_Visual
97,188_FrontoParietal
97,31_SomatomotorDorsal
97,34_SomatomotorDorsal
100,25_SomatomotorDorsal
100,93_DefaultMode
102,146_Visual
103,13_SomatomotorDorsal
105,114_DefaultMode
105,224_DorsalAttention
105,290_FrontoParietal
107,200_FrontoParietal
107,4_unassigned
109,205_Salience
110,229_DorsalAttention
111,204_Salience
111,280_DefaultMode
114,119_DefaultMode
114,12_unassigned
114,196_FrontoParietal
116,164_Visual
116,254_SomatomotorLateral
118,275_DorsalAttention
119,232_DorsalAttention
120,293_CinguloOpercular
121,30_SomatomotorDorsal
122,14_SomatomotorDorsal
122,153_Visual
124,244_Reward
124,85_DefaultMode
126,70_Auditory
127,129_DefaultMode
128,104_DefaultMode
130,128_DefaultMode
130,23_SomatomotorDorsal
130,64_CinguloOpercular
132,152_Visual
133,82_DefaultMode
134,108_DefaultMode
135,66_CinguloOpercular
136,148_Visual
138,15_SomatomotorDorsal
138,166_Visual
138,35_SomatomotorDorsal
140,81_DefaultMode
141,62_CinguloOpercular
142,250_FrontoParietal
142,251_FrontoParietal
144,26_SomatomotorDorsal
145,98_DefaultMode
146,284_FrontoParietal
147,147_Visual
147,159_Visual
149,195_FrontoParietal
150,121_DefaultMode
150,179_FrontoParietal
152,127_DefaultMode
152,279_DefaultMode
154,139_ParietoMedial
154,77_Auditory
156,109_DefaultMode
157,223_DorsalAttention
158,7_unassigned
159,192_FrontoParietal
160,18_SomatomotorDorsal
160,261_CinguloOpercular
162,41_SomatomotorDorsal
163,266_CinguloOpercular
164,123_DefaultMode
164,278_DefaultMode
166,155_Visual
166,54_CinguloOpercular
168,170_Visual
168,235_MedialTemporalLobe
170,168_Visual
170,242_Reward
172,125_DefaultMode
173,94_DefaultMode
174,102_DefaultMode
174,206_Salience
176,281_DefaultMode
177,289_FrontoParietal
178,90_DefaultMode
179,11_unassigned
180,292_Salience
181,283_Visual
183,133_DefaultMode
183,173_Visual
183,50_CinguloOpercular
185,202_Salience
186,273_SomatomotorDorsal
187,160_Visual
187,274_CinguloOpercular
189,124_DefaultMode
189,95_DefaultMode
191,59_CinguloOpercular
193,118_DefaultMode
193,134_DefaultMode
193,225_DorsalAttention
195,300_SomatomotorDorsal
195,91_DefaultMode
198,131_DefaultMode
198,19_SomatomotorDorsal
198,247_Reward
198,43_SomatomotorDorsal
201,40_SomatomotorDorsal
202,57_CinguloOpercular
202,79_Auditory
204,49_SomatomotorLateral
205,105_DefaultMode
206,107_DefaultMode
208,175_FrontoParietal
208,37_SomatomotorDorsal
208,60_CinguloOpercular
210,48_SomatomotorLateral
211,73_Auditory
213,154_Visual
213,252_SomatomotorDorsal
213,67_CinguloOpercular
215,87_DefaultMode
216,194_FrontoParietal
217,169_Visual
218,249_Salience
219,58_CinguloOpercular
220,167_Visual
220,198_FrontoParietal
223,138_ParietoMedial
223,296_SomatomotorDorsal
223,80_Auditory
223,89_DefaultMode
226,24_SomatomotorDorsal
228,157_Visual
228,241_Reward
228,68_CinguloOpercular
230,257_VentralAttention
231,151_Visual
233,117_DefaultMode
233,201_FrontoParietal
233,65_CinguloOpercular
235,150_Visual
235,258_CinguloOpercular
237,291_Salience
239,110_DefaultMode
239,112_DefaultMode
239,162_Visual
241,136_ParietoMedial
241,186_FrontoParietal
243,21_SomatomotorDorsal
245,144_Visual
245,211_VentralAttention
245,265_Visual
248,203_Salience
248,231_DorsalAttention
248,78_Auditory
250,183_FrontoParietal
250,191_FrontoParietal
252,193_FrontoParietal
253,97_DefaultMode
254,100_DefaultMode
255,86_DefaultMode
256,212_VentralAttention
257,234_MedialTemporalLobe
258,217_VentralAttention
258,256_VentralAttention
260,3_unassigned
261,149_Visual
261,45_SomatomotorLateral
263,20_SomatomotorDorsal
263,264_Visual
265,130_DefaultMode
265,181_FrontoParietal
267,120_DefaultMode
268,189_FrontoParietal
268,22_SomatomotorDorsal
270,137_ParietoMedial
270,39_SomatomotorDorsal
272,216_VentralAttention
274,17_SomatomotorDorsal
274,72_Auditory
274,84_DefaultMode
276,214_VentralAttention
277,156_Visual
277,297_SomatomotorLateral
279,51_CinguloOpercular
280,228_DorsalAttention
281,288_FrontoParietal
282,272_SomatomotorDorsal
282,38_SomatomotorDorsal
284,140_ParietoMedial
285,213_VentralAttention
286,218_VentralAttention
286,246_Reward
288,209_Salience
289,158_Visual
289,180_FrontoParietal
291,171_Visual
291,88_DefaultMode
293,295_SomatomotorDorsal
293,42_SomatomotorDorsal
295,9_unassigned
296,182_FrontoParietal
296,2_unassigned
298,259_CinguloOpercular
299,221_DorsalAttention
300,122_DefaultMode
301,28_SomatomotorDorsal
