rank,feature_location
2,187_FrontoParietal
3,111_DefaultMode
4,141_Visual
4,161_Visual
6,53_CinguloOpercular
7,61_CinguloOpercular
8,55_CinguloOpercular
9,268_CinguloOpercular
9,299_SomatomotorDorsal
11,236_MedialTemporalLobe
12,83_DefaultMode
13,1_unassigned
14,239_DefaultMode
15,92_DefaultMode
16,163_Visual
16,56_CinguloOpercular
18,230_DorsalAttention
18,238_DefaultMode
20,116_DefaultMode
22,190_FrontoParietal
22,263_DefaultMode
22,44_SomatomotorDorsal
24,219_VentralAttention
25,199_FrontoParietal
25,29_SomatomotorDorsal
27,143_Visual
29,240_Reward
29,260_CinguloOpercular
29,267_CinguloOpercular
31,34_SomatomotorDorsal
31,6_unassigned
33,71_Auditory
34,282_DefaultMode
35,237_MedialTemporalLobe
36,145_Visual
36,32_SomatomotorDorsal
38,27_SomatomotorDorsal
39,115_DefaultMode
39,215_VentralAttention
41,250_FrontoParietal
41,33_SomatomotorDorsal
43,36_SomatomotorDorsal
44,285_FrontoParietal
45,142_Visual
46,101_DefaultMode
46,270_SomatomotorLateral
48,132_DefaultMode
48,286_FrontoParietal
50,197_FrontoParietal
51,253_SomatomotorDorsal
52,114_DefaultMode
52,233_DorsalAttention
54,8_unassigned
55,174_Visual
56,119_DefaultMode
56,75_Auditory
58,276_DorsalAttention
59,227_DorsalAttention
61,164_Visual
61,245_Reward
61,52_CinguloOpercular
64,176_FrontoParietal
64,185_FrontoParietal
64,210_Salience
66,5_unassigned
66,96_DefaultMode
68,177_FrontoParietal
68,262_DefaultMode
70,152_Visual
70,224_DorsalAttention
73,146_Visual
73,16_SomatomotorDorsal
73,243_Reward
73,277_DefaultMode
76,46_SomatomotorLateral
76,47_SomatomotorLateral
79,108_DefaultMode
79,165_Visual
79,200_FrontoParietal
81,103_DefaultMode
81,255_SomatomotorLateral
83,294_CinguloOpercular
84,106_DefaultMode
84,129_DefaultMode
86,248_Salience
87,35_SomatomotorDorsal
87,63_CinguloOpercular
89,204_Salience
89,271_SomatomotorLateral
92,10_unassigned
92,126_DefaultMode
92,69_Auditory
94,280_DefaultMode
94,98_DefaultMode
96,184_FrontoParietal
97,222_DorsalAttention
98,229_DorsalAttention
99,135_DefaultMode
99,205_Salience
101,178_FrontoParietal
101,76_Auditory
103,85_DefaultMode
104,244_Reward
105,23_SomatomotorDorsal
106,172_Visual
107,77_Auditory
108,220_DorsalAttention
108,93_DefaultMode
110,125_DefaultMode
110,298_SomatomotorLateral
112,13_SomatomotorDorsal
113,293_CinguloOpercular
114,207_Salience
115,188_FrontoParietal
116,62_CinguloOpercular
117,31_SomatomotorDorsal
118,131_DefaultMode
118,284_FrontoParietal
120,91_DefaultMode
121,157_Visual
122,196_FrontoParietal
123,66_CinguloOpercular
125,265_Visual
125,283_Visual
125,99_DefaultMode
127,26_SomatomotorDorsal
128,290_FrontoParietal
129,67_CinguloOpercular
130,138_ParietoMedial
130,208_Salience
132,259_CinguloOpercular
132,266_CinguloOpercular
134,25_SomatomotorDorsal
135,159_Visual
135,183_FrontoParietal
137,74_Auditory
137,87_DefaultMode
139,12_unassigned
139,72_Auditory
141,4_unassigned
141,82_DefaultMode
143,269_CinguloOpercular
144,160_Visual
144,226_DorsalAttention
147,121_DefaultMode
147,147_Visual
147,261_CinguloOpercular
147,95_DefaultMode
150,110_DefaultMode
151,167_Visual
151,254_SomatomotorLateral
154,275_DorsalAttention
154,287_FrontoParietal
154,70_Auditory
156,281_DefaultMode
157,216_VentralAttention
158,170_Visual
158,94_DefaultMode
160,14_SomatomotorDorsal
161,195_FrontoParietal
161,232_DorsalAttention
163,235_MedialTemporalLobe
163,58_CinguloOpercular
165,133_DefaultMode
166,113_DefaultMode
166,247_Reward
168,155_Visual
168,43_SomatomotorDorsal
170,292_Salience
171,148_Visual
172,300_SomatomotorDorsal
173,251_FrontoParietal
174,15_SomatomotorDorsal
174,273_SomatomotorDorsal
176,48_SomatomotorLateral
177,144_Visual
178,203_Salience
179,166_Visual
180,181_FrontoParietal
181,198_FrontoParietal
181,30_SomatomotorDorsal
183,128_DefaultMode
183,60_CinguloOpercular
185,19_SomatomotorDorsal
186,154_Visual
186,86_DefaultMode
188,127_DefaultMode
188,79_Auditory
190,7_unassigned
191,118_DefaultMode
191,73_Auditory
193,80_Auditory
194,182_FrontoParietal
194,18_SomatomotorDorsal
196,38_SomatomotorDorsal
197,104_DefaultMode
197,274_CinguloOpercular
199,39_SomatomotorDorsal
199,64_CinguloOpercular
202,153_Visual
202,41_SomatomotorDorsal
202,59_CinguloOpercular
204,78_Auditory
206,112_DefaultMode
206,242_Reward
206,257_VentralAttention
208,217_VentralAttention
208,279_DefaultMode
210,11_unassigned
212,179_FrontoParietal
212,212_VentralAttention
212,234_MedialTemporalLobe
212,289_FrontoParietal
216,223_DorsalAttention
216,241_Reward
216,40_SomatomotorDorsal
219,134_DefaultMode
219,218_VentralAttention
219,249_Salience
221,122_DefaultMode
221,225_DorsalAttention
224,107_DefaultMode
224,189_FrontoParietal
224,258_CinguloOpercular
226,169_Visual
226,21_SomatomotorDorsal
229,162_Visual
229,168_Visual
229,173_Visual
232,272_SomatomotorDorsal
232,54_CinguloOpercular
232,81_DefaultMode
234,256_VentralAttention
235,211_VentralAttention
235,22_SomatomotorDorsal
237,171_Visual
237,20_SomatomotorDorsal
239,297_SomatomotorLateral
239,45_SomatomotorLateral
241,158_Visual
241,175_FrontoParietal
243,213_VentralAttention
244,42_SomatomotorDorsal
245,123_DefaultMode
245,231_DorsalAttention
247,201_FrontoParietal
248,124_DefaultMode
249,50_CinguloOpercular
249,9_unassigned
251,109_DefaultMode
253,192_FrontoParietal
253,3_unassigned
253,84_DefaultMode
255,90_DefaultMode
256,140_ParietoMedial
256,151_Visual
258,105_DefaultMode
258,252_SomatomotorDorsal
260,194_FrontoParietal
260,288_FrontoParietal
262,180_FrontoParietal
263,186_FrontoParietal
263,88_DefaultMode
265,291_Salience
266,139_ParietoMedial
266,24_SomatomotorDorsal
268,37_SomatomotorDorsal
269,136_ParietoMedial
270,102_DefaultMode
270,68_CinguloOpercular
272,193_FrontoParietal
272,278_DefaultMode
274,202_Salience
274,228_DorsalAttention
276,295_SomatomotorDorsal
276,97_DefaultMode
278,206_Salience
278,65_CinguloOpercular
280,51_CinguloOpercular
282,100_DefaultMode
282,150_Visual
282,191_FrontoParietal
284,120_DefaultMode
284,149_Visual
286,264_Visual
286,89_DefaultMode
288,156_Visual
288,296_SomatomotorDorsal
290,28_SomatomotorDorsal
290,57_CinguloOpercular
292,209_Salience
292,49_SomatomotorLateral
294,117_DefaultMode
295,130_DefaultMode
296,2_unassigned
297,137_ParietoMedial
298,214_VentralAttention
299,17_SomatomotorDorsal
300,221_DorsalAttention
301,246_Reward
