rank,feature_location
13,1_unassigned
92,10_unassigned
282,100_DefaultMode
46,101_DefaultMode
270,102_DefaultMode
81,103_DefaultMode
197,104_DefaultMode
258,105_DefaultMode
84,106_DefaultMode
224,107_DefaultMode
79,108_DefaultMode
251,109_DefaultMode
210,11_unassigned
150,110_DefaultMode
3,111_DefaultMode
206,112_DefaultMode
166,113_DefaultMode
52,114_DefaultMode
39,115_DefaultMode
20,116_DefaultMode
294,117_DefaultMode
191,118_DefaultMode
56,119_DefaultMode
139,12_unassigned
284,120_DefaultMode
147,121_DefaultMode
221,122_DefaultMode
245,123_DefaultMode
248,124_DefaultMode
110,125_DefaultMode
92,126_DefaultMode
188,127_DefaultMode
183,128_DefaultMode
84,129_DefaultMode
112,13_SomatomotorDorsal
295,130_DefaultMode
118,131_DefaultMode
48,132_DefaultMode
165,133_DefaultMode
219,134_DefaultMode
99,135_DefaultMode
269,136_ParietoMedial
297,137_ParietoMedial
130,138_ParietoMedial
266,139_ParietoMedial
160,14_SomatomotorDorsal
256,140_ParietoMedial
4,141_Visual
45,142_Visual
27,143_Visual
177,144_Visual
36,145_Visual
73,146_Visual
147,147_Visual
171,148_Visual
284,149_Visual
174,15_SomatomotorDorsal
282,150_Visual
256,151_Visual
70,152_Visual
202,153_Visual
186,154_Visual
168,155_Visual
288,156_Visual
121,157_Visual
241,158_Visual
135,159_Visual
73,16_SomatomotorDorsal
144,160_Visual
4,161_Visual
229,162_Visual
16,163_Visual
61,164_Visual
79,165_Visual
179,166_Visual
151,167_Visual
229,168_Visual
226,169_Visual
299,17_SomatomotorDorsal
158,170_Visual
237,171_Visual
106,172_Visual
229,173_Visual
55,174_Visual
241,175_FrontoParietal
64,176_FrontoParietal
68,177_FrontoParietal
101,178_FrontoParietal
212,179_FrontoParietal
194,18_SomatomotorDorsal
262,180_FrontoParietal
180,181_FrontoParietal
194,182_FrontoParietal
135,183_FrontoParietal
96,184_FrontoParietal
64,185_FrontoParietal
263,186_FrontoParietal
2,187_FrontoParietal
115,188_FrontoParietal
224,189_FrontoParietal
185,19_SomatomotorDorsal
22,190_FrontoParietal
282,191_FrontoParietal
253,192_FrontoParietal
272,193_FrontoParietal
260,194_FrontoParietal
161,195_FrontoParietal
122,196_FrontoParietal
50,197_FrontoParietal
181,198_FrontoParietal
25,199_FrontoParietal
296,2_unassigned
237,20_SomatomotorDorsal
79,200_FrontoParietal
247,201_FrontoParietal
274,202_Salience
178,203_Salience
89,204_Salience
99,205_Salience
278,206_Salience
114,207_Salience
130,208_Salience
292,209_Salience
226,21_SomatomotorDorsal
64,210_Salience
235,211_VentralAttention
212,212_VentralAttention
243,213_VentralAttention
298,214_VentralAttention
39,215_VentralAttention
