rank,feature_location
9048,FC_var_0
15850,FC_var_1
22841,FC_var_2
5918,FC_var_3
15850,FC_var_4
34549,FC_var_5
34549,FC_var_6
15850,FC_var_7
34549,FC_var_8
15850,FC_var_9
15850,FC_var_10
2599,FC_var_11
9048,FC_var_12
34549,FC_var_13
22841,FC_var_14
15850,FC_var_15
2599,FC_var_16
15850,FC_var_17
1906,FC_var_18
3597,FC_var_19
34549,FC_var_20
15850,FC_var_21
34549,FC_var_22
15850,FC_var_23
15850,FC_var_24
15850,FC_var_25
34549,FC_var_26
3597,FC_var_27
15850,FC_var_28
5918,FC_var_29
34549,FC_var_30
34549,FC_var_31
34549,FC_var_32
34549,FC_var_33
1269,FC_var_34
34549,FC_var_35
34549,FC_var_36
8075,FC_var_37
22841,FC_var_38
1674,FC_var_39
5918,FC_var_40
34549,FC_var_41
1385,FC_var_42
15850,FC_var_43
15850,FC_var_44
15850,FC_var_45
15850,FC_var_46
5918,FC_var_47
34549,FC_var_48
34549,FC_var_49
15850,FC_var_50
34549,FC_var_51
34549,FC_var_52
34549,FC_var_53
15850,FC_var_54
15850,FC_var_55
5918,FC_var_56
34549,FC_var_57
34549,FC_var_58
5918,FC_var_59
34549,FC_var_60
34549,FC_var_61
9048,FC_var_62
2599,FC_var_63
34549,FC_var_64
34549,FC_var_65
34549,FC_var_66
15850,FC_var_67
22841,FC_var_68
34549,FC_var_69
34549,FC_var_70
34549,FC_var_71
15850,FC_var_72
22841,FC_var_73
15850,FC_var_74
15850,FC_var_75
345,FC_var_76
22841,FC_var_77
15850,FC_var_78
15850,FC_var_79
15850,FC_var_80
22841,FC_var_81
15850,FC_var_82
2599,FC_var_83
34549,FC_var_84
34549,FC_var_85
34549,FC_var_86
572,FC_var_87
15850,FC_var_88
15850,FC_var_89
22841,FC_var_90
34549,FC_var_91
15850,FC_var_92
5918,FC_var_93
34549,FC_var_94
15850,FC_var_95
9048,FC_var_96
9048,FC_var_97
34549,FC_var_98
34549,FC_var_99
15850,FC_var_100
15850,FC_var_101
9048,FC_var_102
22841,FC_var_103
34549,FC_var_104
34549,FC_var_105
15850,FC_var_106
34549,FC_var_107
22841,FC_var_108
10069,FC_var_109
5918,FC_var_110
34549,FC_var_111
15850,FC_var_112
15850,FC_var_113
10069,FC_var_114
1795,FC_var_115
34549,FC_var_116
15850,FC_var_117
5918,FC_var_118
22841,FC_var_119
15850,FC_var_120
15850,FC_var_121
5918,FC_var_122
5918,FC_var_123
5918,FC_var_124
5918,FC_var_125
5918,FC_var_126
34549,FC_var_127
34549,FC_var_128
34549,FC_var_129
15850,FC_var_130
34549,FC_var_131
34549,FC_var_132
15850,FC_var_133
2599,FC_var_134
34549,FC_var_135
15850,FC_var_136
22841,FC_var_137
5918,FC_var_138
941,FC_var_139
34549,FC_var_140
34549,FC_var_141
15850,FC_var_142
34549,FC_var_143
15850,FC_var_144
15850,FC_var_145
10069,FC_var_146
15850,FC_var_147
15850,FC_var_148
34549,FC_var_149
15850,FC_var_150
34549,FC_var_151
15850,FC_var_152
34549,FC_var_153
34549,FC_var_154
9048,FC_var_155
34549,FC_var_156
1177,FC_var_157
8075,FC_var_158
34549,FC_var_159
34549,FC_var_160
22841,FC_var_161
1163,FC_var_162
34549,FC_var_163
22841,FC_var_164
15850,FC_var_165
15850,FC_var_166
34549,FC_var_167
22841,FC_var_168
34549,FC_var_169
34549,FC_var_170
34549,FC_var_171
34549,FC_var_172
34549,FC_var_173
15850,FC_var_174
34549,FC_var_175
5918,FC_var_176
34549,FC_var_177
1396,FC_var_178
15850,FC_var_179
1261,FC_var_180
34549,FC_var_181
15850,FC_var_182
2599,FC_var_183
34549,FC_var_184
34549,FC_var_185
1301,FC_var_186
34549,FC_var_187
15850,FC_var_188
34549,FC_var_189
34549,FC_var_190
5918,FC_var_191
34549,FC_var_192
34549,FC_var_193
5918,FC_var_194
15850,FC_var_195
1701,FC_var_196
34549,FC_var_197
34549,FC_var_198
34549,FC_var_199
34549,FC_var_200
9048,FC_var_201
15850,FC_var_202
9048,FC_var_203
34549,FC_var_204
22841,FC_var_205
15850,FC_var_206
3597,FC_var_207
3597,FC_var_208
2599,FC_var_209
15850,FC_var_210
34549,FC_var_211
34549,FC_var_212
34549,FC_var_213
15850,FC_var_214
15850,FC_var_215
9048,FC_var_216
15850,FC_var_217
9048,FC_var_218
5918,FC_var_219
15850,FC_var_220
15850,FC_var_221
15850,FC_var_222
22841,FC_var_223
34549,FC_var_224
34549,FC_var_225
34549,FC_var_226
34549,FC_var_227
10069,FC_var_228
34549,FC_var_229
3597,FC_var_230
34549,FC_var_231
34549,FC_var_232
1810,FC_var_233
34549,FC_var_234
34549,FC_var_235
