rank,feature_location
1,159_Visual
1,288_FrontoParietal
2,13_SomatomotorDorsal
2,248_Salience
3,279_DefaultMode
4,244_Reward
5,234_MedialTemporalLobe
6,143_Visual
7,8_unassigned
8,297_SomatomotorLateral
9,261_CinguloOpercular
10,5_unassigned
11,11_unassigned
12,4_unassigned
13,271_SomatomotorLateral
14,56_CinguloOpercular
15,40_SomatomotorDorsal
16,36_SomatomotorDorsal
16,95_DefaultMode
18,269_CinguloOpercular
19,199_FrontoParietal
20,227_DorsalAttention
21,31_SomatomotorDorsal
22,146_Visual
23,65_CinguloOpercular
32,105_DefaultMode
32,125_DefaultMode
32,130_DefaultMode
32,137_ParietoMedial
32,164_Visual
32,17_SomatomotorDorsal
32,180_FrontoParietal
32,215_VentralAttention
32,221_DorsalAttention
32,225_DorsalAttention
32,278_DefaultMode
32,289_FrontoParietal
32,290_FrontoParietal
32,30_SomatomotorDorsal
32,55_CinguloOpercular
32,6_unassigned
32,92_DefaultMode
48,123_DefaultMode
48,12_unassigned
48,139_ParietoMedial
48,162_Visual
48,174_Visual
48,190_FrontoParietal
48,204_Salience
48,20_SomatomotorDorsal
48,222_DorsalAttention
48,224_DorsalAttention
48,277_DefaultMode
48,34_SomatomotorDorsal
48,54_CinguloOpercular
48,79_Auditory
48,85_DefaultMode
56,112_DefaultMode
56,274_CinguloOpercular
86,102_DefaultMode
86,103_DefaultMode
86,106_DefaultMode
86,118_DefaultMode
86,132_DefaultMode
86,133_DefaultMode
86,135_DefaultMode
86,136_ParietoMedial
86,140_ParietoMedial
86,147_Visual
86,165_Visual
86,179_FrontoParietal
86,181_FrontoParietal
86,183_FrontoParietal
86,185_FrontoParietal
86,188_FrontoParietal
86,191_FrontoParietal
86,197_FrontoParietal
86,202_Salience
86,205_Salience
86,207_Salience
86,208_Salience
86,210_Salience
86,211_VentralAttention
86,217_VentralAttention
86,228_DorsalAttention
86,22_SomatomotorDorsal
86,230_DorsalAttention
86,231_DorsalAttention
86,233_DorsalAttention
86,235_MedialTemporalLobe
86,240_Reward
86,247_Reward
86,252_SomatomotorDorsal
