rank,feature_location
1,164_Visual
1,277_DefaultMode
1,75_Auditory
2,257_VentralAttention
3,224_DorsalAttention
4,260_CinguloOpercular
5,95_DefaultMode
6,35_SomatomotorDorsal
7,120_DefaultMode
8,82_DefaultMode
9,135_DefaultMode
10,230_DorsalAttention
11,30_SomatomotorDorsal
12,286_FrontoParietal
13,28_SomatomotorDorsal
14,161_Visual
15,36_SomatomotorDorsal
16,218_VentralAttention
17,205_Salience
18,244_Reward
19,201_FrontoParietal
20,149_Visual
21,16_SomatomotorDorsal
22,208_Salience
22,211_VentralAttention
24,181_FrontoParietal
25,5_unassigned
34,130_DefaultMode
34,13_SomatomotorDorsal
34,140_ParietoMedial
34,169_Visual
34,186_FrontoParietal
34,209_Salience
34,20_SomatomotorDorsal
34,228_DorsalAttention
34,232_DorsalAttention
34,235_MedialTemporalLobe
34,265_Visual
34,283_Visual
34,300_SomatomotorDorsal
34,57_CinguloOpercular
34,58_CinguloOpercular
34,68_CinguloOpercular
34,92_DefaultMode
45,113_DefaultMode
45,285_FrontoParietal
45,299_SomatomotorDorsal
45,43_SomatomotorDorsal
45,54_CinguloOpercular
45,63_CinguloOpercular
76,103_DefaultMode
76,108_DefaultMode
76,110_DefaultMode
76,111_DefaultMode
76,117_DefaultMode
76,118_DefaultMode
76,122_DefaultMode
76,127_DefaultMode
76,134_DefaultMode
76,138_ParietoMedial
76,139_ParietoMedial
76,145_Visual
76,147_Visual
76,151_Visual
76,157_Visual
76,15_SomatomotorDorsal
76,171_Visual
76,172_Visual
76,173_Visual
76,177_FrontoParietal
76,182_FrontoParietal
76,187_FrontoParietal
76,195_FrontoParietal
76,203_Salience
76,204_Salience
76,215_VentralAttention
76,217_VentralAttention
76,225_DorsalAttention
76,227_DorsalAttention
76,233_DorsalAttention
76,236_MedialTemporalLobe
76,239_DefaultMode
76,23_SomatomotorDorsal
76,24_SomatomotorDorsal
76,250_FrontoParietal
76,251_FrontoParietal
76,254_SomatomotorLateral
76,258_CinguloOpercular
76,259_CinguloOpercular
76,266_CinguloOpercular
76,27_SomatomotorDorsal
76,288_FrontoParietal
76,289_FrontoParietal
76,297_SomatomotorLateral
76,29_SomatomotorDorsal
76,40_SomatomotorDorsal
76,44_SomatomotorDorsal
76,50_CinguloOpercular
76,53_CinguloOpercular
76,61_CinguloOpercular
76,67_CinguloOpercular
76,6_unassigned
76,71_Auditory
76,74_Auditory
76,89_DefaultMode
104,83_DefaultMode
146,100_DefaultMode
146,104_DefaultMode
146,109_DefaultMode
146,112_DefaultMode
146,115_DefaultMode
146,116_DefaultMode
146,124_DefaultMode
146,125_DefaultMode
146,129_DefaultMode
146,133_DefaultMode
146,136_ParietoMedial
146,137_ParietoMedial
146,142_Visual
146,153_Visual
146,158_Visual
146,159_Visual
146,162_Visual
146,165_Visual
146,170_Visual
146,175_FrontoParietal
146,178_FrontoParietal
146,183_FrontoParietal
146,184_FrontoParietal
146,185_FrontoParietal
146,18_SomatomotorDorsal
146,192_FrontoParietal
146,193_FrontoParietal
146,194_FrontoParietal
146,196_FrontoParietal
146,198_FrontoParietal
146,199_FrontoParietal
146,1_unassigned
146,200_FrontoParietal
146,202_Salience
146,213_VentralAttention
146,216_VentralAttention
146,21_SomatomotorDorsal
146,220_DorsalAttention
146,229_DorsalAttention
146,237_MedialTemporalLobe
146,238_DefaultMode
146,240_Reward
146,243_Reward
146,246_Reward
146,247_Reward
146,248_Salience
146,249_Salience
146,252_SomatomotorDorsal
146,253_SomatomotorDorsal
146,255_SomatomotorLateral
146,25_SomatomotorDorsal
146,264_Visual
146,273_SomatomotorDorsal
146,276_DorsalAttention
146,279_DefaultMode
146,281_DefaultMode
146,287_FrontoParietal
146,290_FrontoParietal
146,292_Salience
146,294_CinguloOpercular
146,2_unassigned
