rank,feature_location
1,FC_var_25518
1,FC_var_41715
2,FC_var_1640
2,FC_var_34224
3,FC_var_38088
5,FC_var_1635
5,FC_var_37798
6,FC_var_26307
8,FC_var_1322
8,FC_var_40989
10,FC_var_1055
10,FC_var_33312
11,FC_var_29946
12,FC_var_26393
13,FC_var_20653
14,FC_var_20684
15,FC_var_25677
16,FC_var_19941
17,FC_var_524
20,FC_var_17097
20,FC_var_38768
20,FC_var_39089
20,FC_var_40318
22,FC_var_36221
23,FC_var_28795
25,FC_var_33699
25,FC_var_78
26,FC_var_3282
27,FC_var_20279
29,FC_var_40804
29,FC_var_7360
30,FC_var_26625
31,FC_var_3804
33,FC_var_11748
33,FC_var_12912
33,FC_var_7977
35,FC_var_32491
36,FC_var_25374
37,FC_var_13492
38,FC_var_22748
40,FC_var_34252
40,FC_var_41469
41,FC_var_16526
42,FC_var_20662
43,FC_var_10941
44,FC_var_41891
45,FC_var_7310
46,FC_var_42069
47,FC_var_1455
49,FC_var_17273
49,FC_var_29154
51,FC_var_28336
51,FC_var_8917
52,FC_var_33816
53,FC_var_28059
54,FC_var_177
56,FC_var_11974
56,FC_var_43713
57,FC_var_36247
58,FC_var_7701
59,FC_var_38285
61,FC_var_26548
61,FC_var_30360
63,FC_var_19977
63,FC_var_22903
64,FC_var_2561
65,FC_var_18698
66,FC_var_5542
67,FC_var_15278
68,FC_var_7543
69,FC_var_13906
70,FC_var_37677
72,FC_var_33433
72,FC_var_37258
74,FC_var_17398
74,FC_var_33261
75,FC_var_16610
76,FC_var_1991
77,FC_var_16862
78,FC_var_39193
79,FC_var_5208
80,FC_var_18555
81,FC_var_3307
82,FC_var_7583
83,FC_var_31224
85,FC_var_21236
85,FC_var_42768
86,FC_var_41043
87,FC_var_40599
88,FC_var_8500
89,FC_var_854
90,FC_var_3491
91,FC_var_11017
92,FC_var_1992
93,FC_var_39243
94,FC_var_36876
95,FC_var_34346
96,FC_var_42823
97,FC_var_43869
98,FC_var_7705
99,FC_var_41543
100,FC_var_35643
102,FC_var_29411
102,FC_var_35202
103,FC_var_20552
104,FC_var_21581
105,FC_var_43899
106,FC_var_30828
107,FC_var_44536
108,FC_var_19818
109,FC_var_27939
110,FC_var_15345
112,FC_var_28329
112,FC_var_43160
114,FC_var_17904
114,FC_var_902
115,FC_var_32394
116,FC_var_33389
117,FC_var_38324
118,FC_var_40516
119,FC_var_35696
121,FC_var_11532
121,FC_var_24387
123,FC_var_1077
123,FC_var_41152
125,FC_var_17294
125,FC_var_24757
127,FC_var_17070
127,FC_var_27492
128,FC_var_19094
129,FC_var_24342
130,FC_var_19343
132,FC_var_19541
132,FC_var_969
133,FC_var_15634
134,FC_var_14436
136,FC_var_22980
136,FC_var_40868
137,FC_var_1334
138,FC_var_35729
139,FC_var_14868
141,FC_var_23301
141,FC_var_6057
143,FC_var_13766
143,FC_var_8657
144,FC_var_19562
145,FC_var_21848
146,FC_var_12689
147,FC_var_20026
149,FC_var_38951
149,FC_var_4150
150,FC_var_18999
151,FC_var_40983
152,FC_var_42751
153,FC_var_39727
154,FC_var_9946
155,FC_var_1118
156,FC_var_7650
157,FC_var_9516
158,FC_var_33990
159,FC_var_14542
161,FC_var_26422
161,FC_var_43771
162,FC_var_19994
163,FC_var_8994
164,FC_var_42759
165,FC_var_4052
166,FC_var_22989
167,FC_var_28995
168,FC_var_41683
169,FC_var_23549
170,FC_var_25351
171,FC_var_35117
172,FC_var_33189
174,FC_var_35082
174,FC_var_35756
175,FC_var_39740
176,FC_var_38218
177,FC_var_31427
178,FC_var_28625
179,FC_var_26992
180,FC_var_2115
181,FC_var_40399
182,FC_var_6546
183,FC_var_24571
184,FC_var_417
185,FC_var_40808
186,FC_var_6561
188,FC_var_28803
188,FC_var_29785
188,FC_var_41424
191,FC_var_193
191,FC_var_42606
193,FC_var_17205
193,FC_var_20127
194,FC_var_8583
195,FC_var_7416
196,FC_var_4222
197,FC_var_4816
198,FC_var_4365
200,FC_var_3473
200,FC_var_43569
201,FC_var_13299
202,FC_var_25080
203,FC_var_15541
204,FC_var_3534
205,FC_var_13297
206,FC_var_26851
207,FC_var_16660
208,FC_var_41646
209,FC_var_19972
210,FC_var_33906
211,FC_var_21524
212,FC_var_14348
213,FC_var_16107
214,FC_var_252
216,FC_var_1170
216,FC_var_27456
217,FC_var_5761
218,FC_var_33880
219,FC_var_1639
220,FC_var_42590
221,FC_var_8122
222,FC_var_32461
223,FC_var_20155
224,FC_var_22097
225,FC_var_34846
226,FC_var_8022
227,FC_var_35516
228,FC_var_13865
230,FC_var_20016
230,FC_var_28818
232,FC_var_20226
232,FC_var_20580
234,FC_var_18310
234,FC_var_8999
235,FC_var_12003
236,FC_var_2770
237,FC_var_42460
238,FC_var_18781
239,FC_var_40679
240,FC_var_20020
241,FC_var_27196
242,FC_var_33989
243,FC_var_30694
245,FC_var_20025
245,FC_var_43887
246,FC_var_6147
247,FC_var_19928
249,FC_var_12611
249,FC_var_14688
250,FC_var_10567
251,FC_var_23733
252,FC_var_21709
253,FC_var_39696
254,FC_var_4949
255,FC_var_7755
256,FC_var_17440
257,FC_var_11060
258,FC_var_2913
259,FC_var_10378
261,FC_var_36451
261,FC_var_4799
262,FC_var_25476
264,FC_var_28846
264,FC_var_41836
265,FC_var_18022
266,FC_var_1467
267,FC_var_26504
268,FC_var_31804
269,FC_var_36151
270,FC_var_25427
272,FC_var_17844
272,FC_var_19245
273,FC_var_26009
274,FC_var_22190
275,FC_var_38662
276,FC_var_3300
277,FC_var_38041
278,FC_var_41080
280,FC_var_15139
280,FC_var_18126
282,FC_var_29799
282,FC_var_43533
283,FC_var_1300
284,FC_var_17023
285,FC_var_24548
286,FC_var_23276
287,FC_var_1184
288,FC_var_18733
289,FC_var_42246
290,FC_var_26668
291,FC_var_30606
292,FC_var_10380
294,FC_var_15949
294,FC_var_5627
296,FC_var_12219
296,FC_var_8704
297,FC_var_12136
299,FC_var_27732
299,FC_var_4361
300,FC_var_16452
301,FC_var_3535
302,FC_var_44470
303,FC_var_37982
305,FC_var_20005
305,FC_var_43986
306,FC_var_36649
307,FC_var_41334
308,FC_var_32246
310,FC_var_23208
310,FC_var_27022
310,FC_var_7015
312,FC_var_34953
314,FC_var_6004
314,FC_var_8202
315,FC_var_8026
316,FC_var_30253
317,FC_var_35150
318,FC_var_39705
319,FC_var_24334
320,FC_var_25018
321,FC_var_1547
322,FC_var_34102
324,FC_var_21182
324,FC_var_2251
325,FC_var_28107
326,FC_var_40493
328,FC_var_23518
328,FC_var_31647
328,FC_var_42987
330,FC_var_41493
331,FC_var_19412
333,FC_var_24536
333,FC_var_37274
334,FC_var_27002
335,FC_var_40297
336,FC_var_1633
337,FC_var_16005
338,FC_var_44271
339,FC_var_44279
340,FC_var_15120
341,FC_var_42372
343,FC_var_8383
343,FC_var_8398
344,FC_var_21529
345,FC_var_39981
346,FC_var_33511
348,FC_var_10172
348,FC_var_38239
349,FC_var_32643
350,FC_var_317
351,FC_var_6297
352,FC_var_21833
353,FC_var_29979
354,FC_var_20629
355,FC_var_21802
356,FC_var_568
357,FC_var_19780
358,FC_var_36275
359,FC_var_11306
360,FC_var_3430
362,FC_var_12837
362,FC_var_31278
363,FC_var_35601
364,FC_var_23425
365,FC_var_34162
366,FC_var_28689
367,FC_var_20613
368,FC_var_44108
369,FC_var_18850
371,FC_var_31597
371,FC_var_37418
372,FC_var_37815
373,FC_var_42708
374,FC_var_665
375,FC_var_44551
376,FC_var_1463
377,FC_var_32067
378,FC_var_7443
380,FC_var_27399
380,FC_var_30534
381,FC_var_18939
383,FC_var_26444
383,FC_var_29881
384,FC_var_13847
386,FC_var_25595
386,FC_var_44816
387,FC_var_26924
388,FC_var_30800
390,FC_var_28551
390,FC_var_5481
391,FC_var_36387
392,FC_var_4825
393,FC_var_33007
394,FC_var_25300
395,FC_var_16693
396,FC_var_5665
397,FC_var_32080
398,FC_var_24526
400,FC_var_24176
400,FC_var_42853
401,FC_var_36023
402,FC_var_29267
403,FC_var_26881
404,FC_var_33891
405,FC_var_11842
406,FC_var_16832
407,FC_var_12625
408,FC_var_22438
409,FC_var_25161
410,FC_var_38352
411,FC_var_16186
412,FC_var_38999
413,FC_var_26290
414,FC_var_29809
416,FC_var_23047
416,FC_var_23535
417,FC_var_3801
418,FC_var_28082
419,FC_var_6046
420,FC_var_25937
421,FC_var_12164
422,FC_var_33229
423,FC_var_21887
424,FC_var_30113
425,FC_var_12168
426,FC_var_14673
427,FC_var_33034
428,FC_var_3572
429,FC_var_42394
430,FC_var_8611
431,FC_var_1151
432,FC_var_18035
433,FC_var_15170
434,FC_var_28520
435,FC_var_35094
436,FC_var_2349
437,FC_var_32043
438,FC_var_1576
439,FC_var_4649
440,FC_var_40732
442,FC_var_12526
442,FC_var_3291
443,FC_var_15476
444,FC_var_32395
445,FC_var_17838
446,FC_var_36412
447,FC_var_40255
448,FC_var_5169
449,FC_var_5392
450,FC_var_39553
451,FC_var_33012
452,FC_var_21941
454,FC_var_1847
454,FC_var_22296
454,FC_var_36369
456,FC_var_4975
457,FC_var_26056
458,FC_var_25391
459,FC_var_23599
460,FC_var_31426
461,FC_var_19990
462,FC_var_39674
463,FC_var_40529
464,FC_var_14211
465,FC_var_24121
466,FC_var_6939
467,FC_var_42870
468,FC_var_34577
469,FC_var_38629
470,FC_var_4157
472,FC_var_16369
472,FC_var_5262
473,FC_var_9143
474,FC_var_16190
475,FC_var_22443
476,FC_var_26369
477,FC_var_33875
478,FC_var_32219
479,FC_var_16311
480,FC_var_23435
481,FC_var_4336
482,FC_var_9309
483,FC_var_22286
485,FC_var_36285
485,FC_var_40753
486,FC_var_14446
487,FC_var_31649
488,FC_var_44550
489,FC_var_26790
490,FC_var_31350
491,FC_var_1
492,FC_var_21669
493,FC_var_44764
494,FC_var_28909
495,FC_var_7403
496,FC_var_21562
497,FC_var_41659
498,FC_var_25394
499,FC_var_26974
500,FC_var_24438
501,FC_var_43564
502,FC_var_32457
503,FC_var_19214
504,FC_var_34128
505,FC_var_36415
506,FC_var_504
507,FC_var_32695
508,FC_var_7367
510,FC_var_23830
510,FC_var_4545
511,FC_var_39030
512,FC_var_16924
513,FC_var_6347
514,FC_var_36453
515,FC_var_6676
516,FC_var_27950
517,FC_var_9848
518,FC_var_32143
520,FC_var_4699
