rank,feature_location
1,240_Reward
1,255_SomatomotorLateral
2,143_Visual
3,111_DefaultMode
4,1_unassigned
5,271_SomatomotorLateral
6,96_DefaultMode
7,169_Visual
8,177_FrontoParietal
9,293_CinguloOpercular
10,207_Salience
11,120_DefaultMode
13,233_DorsalAttention
13,60_CinguloOpercular
13,70_Auditory
15,153_Visual
16,63_CinguloOpercular
17,86_DefaultMode
18,135_DefaultMode
19,9_unassigned
20,261_CinguloOpercular
21,295_SomatomotorDorsal
22,106_DefaultMode
23,224_DorsalAttention
23,56_CinguloOpercular
25,62_CinguloOpercular
26,130_DefaultMode
26,252_SomatomotorDorsal
28,2_unassigned
29,162_Visual
30,33_SomatomotorDorsal
31,226_DorsalAttention
31,87_DefaultMode
33,94_DefaultMode
34,166_Visual
35,77_Auditory
36,108_DefaultMode
37,57_CinguloOpercular
38,31_SomatomotorDorsal
39,3_unassigned
40,275_DorsalAttention
41,73_Auditory
42,270_SomatomotorLateral
43,61_CinguloOpercular
44,269_CinguloOpercular
55,136_ParietoMedial
55,150_Visual
55,174_Visual
55,175_FrontoParietal
55,184_FrontoParietal
55,194_FrontoParietal
55,199_FrontoParietal
55,203_Salience
55,205_Salience
55,20_SomatomotorDorsal
55,21_SomatomotorDorsal
55,22_SomatomotorDorsal
55,26_SomatomotorDorsal
55,278_DefaultMode
55,27_SomatomotorDorsal
55,40_SomatomotorDorsal
55,43_SomatomotorDorsal
55,50_CinguloOpercular
55,65_CinguloOpercular
55,75_Auditory
55,95_DefaultMode
71,137_ParietoMedial
71,168_Visual
71,170_Visual
71,178_FrontoParietal
71,232_DorsalAttention
71,247_Reward
71,253_SomatomotorDorsal
71,272_SomatomotorDorsal
71,53_CinguloOpercular
71,58_CinguloOpercular
71,98_DefaultMode
79,126_DefaultMode
79,160_Visual
79,291_Salience
79,298_SomatomotorLateral
79,5_unassigned
108,103_DefaultMode
108,110_DefaultMode
108,112_DefaultMode
108,113_DefaultMode
108,114_DefaultMode
108,117_DefaultMode
108,124_DefaultMode
108,127_DefaultMode
108,129_DefaultMode
108,134_DefaultMode
108,139_ParietoMedial
108,141_Visual
108,145_Visual
108,146_Visual
108,149_Visual
108,154_Visual
108,155_Visual
108,156_Visual
108,15_SomatomotorDorsal
108,164_Visual
108,173_Visual
108,185_FrontoParietal
108,186_FrontoParietal
108,187_FrontoParietal
108,189_FrontoParietal
108,198_FrontoParietal
108,200_FrontoParietal
108,204_Salience
108,208_Salience
108,220_DorsalAttention
108,221_DorsalAttention
108,236_MedialTemporalLobe
108,242_Reward
108,245_Reward
108,257_VentralAttention
108,264_Visual
108,273_SomatomotorDorsal
108,276_DorsalAttention
108,283_Visual
108,292_Salience
108,29_SomatomotorDorsal
108,34_SomatomotorDorsal
108,36_SomatomotorDorsal
108,44_SomatomotorDorsal
108,47_SomatomotorLateral
108,48_SomatomotorLateral
108,4_unassigned
108,55_CinguloOpercular
108,68_CinguloOpercular
108,69_Auditory
108,71_Auditory
108,74_Auditory
108,7_unassigned
108,82_DefaultMode
146,105_DefaultMode
146,107_DefaultMode
146,10_unassigned
146,121_DefaultMode
146,132_DefaultMode
146,159_Visual
146,197_FrontoParietal
146,19_SomatomotorDorsal
146,210_Salience
146,215_VentralAttention
146,227_DorsalAttention
146,230_DorsalAttention
146,244_Reward
146,246_Reward
146,249_Salience
146,250_FrontoParietal
146,263_DefaultMode
146,282_DefaultMode
146,30_SomatomotorDorsal
146,6_unassigned
146,92_DefaultMode
198,100_DefaultMode
198,101_DefaultMode
198,102_DefaultMode
198,104_DefaultMode
198,109_DefaultMode
198,115_DefaultMode
198,118_DefaultMode
198,125_DefaultMode
198,12_unassigned
198,131_DefaultMode
198,133_DefaultMode
198,138_ParietoMedial
198,142_Visual
198,14_SomatomotorDorsal
198,152_Visual
198,158_Visual
198,161_Visual
198,165_Visual
198,16_SomatomotorDorsal
198,171_Visual
198,172_Visual
198,176_FrontoParietal
198,17_SomatomotorDorsal
198,180_FrontoParietal
198,182_FrontoParietal
198,188_FrontoParietal
198,18_SomatomotorDorsal
198,192_FrontoParietal
198,193_FrontoParietal
198,195_FrontoParietal
198,202_Salience
198,209_Salience
198,211_VentralAttention
198,212_VentralAttention
198,213_VentralAttention
198,216_VentralAttention
198,218_VentralAttention
198,223_DorsalAttention
198,228_DorsalAttention
198,231_DorsalAttention
198,234_MedialTemporalLobe
198,238_DefaultMode
198,241_Reward
198,248_Salience
198,24_SomatomotorDorsal
198,251_FrontoParietal
198,256_VentralAttention
198,259_CinguloOpercular
198,262_DefaultMode
198,267_CinguloOpercular
198,280_DefaultMode
198,281_DefaultMode
198,285_FrontoParietal
198,289_FrontoParietal
198,28_SomatomotorDorsal
198,294_CinguloOpercular
198,296_SomatomotorDorsal
198,297_SomatomotorLateral
198,299_SomatomotorDorsal
198,300_SomatomotorDorsal
198,32_SomatomotorDorsal
198,35_SomatomotorDorsal
198,37_SomatomotorDorsal
198,39_SomatomotorDorsal
198,41_SomatomotorDorsal
198,42_SomatomotorDorsal
198,45_SomatomotorLateral
198,46_SomatomotorLateral
198,49_SomatomotorLateral
198,52_CinguloOpercular
198,64_CinguloOpercular
198,67_CinguloOpercular
198,72_Auditory
198,76_Auditory
198,78_Auditory
198,79_Auditory
198,80_Auditory
198,81_DefaultMode
198,85_DefaultMode
198,89_DefaultMode
198,8_unassigned
198,93_DefaultMode
198,99_DefaultMode
269,116_DefaultMode
269,119_DefaultMode
269,11_unassigned
269,122_DefaultMode
269,123_DefaultMode
269,128_DefaultMode
269,13_SomatomotorDorsal
269,140_ParietoMedial
269,144_Visual
269,147_Visual
269,148_Visual
269,151_Visual
269,157_Visual
269,163_Visual
269,167_Visual
269,179_FrontoParietal
269,181_FrontoParietal
269,183_FrontoParietal
269,190_FrontoParietal
269,191_FrontoParietal
269,196_FrontoParietal
269,201_FrontoParietal
269,206_Salience
269,214_VentralAttention
269,217_VentralAttention
269,219_VentralAttention
269,222_DorsalAttention
269,225_DorsalAttention
269,229_DorsalAttention
269,235_MedialTemporalLobe
269,237_MedialTemporalLobe
269,239_DefaultMode
269,23_SomatomotorDorsal
269,243_Reward
269,254_SomatomotorLateral
269,258_CinguloOpercular
269,25_SomatomotorDorsal
269,260_CinguloOpercular
269,265_Visual
269,266_CinguloOpercular
269,268_CinguloOpercular
269,274_CinguloOpercular
269,277_DefaultMode
269,279_DefaultMode
269,284_FrontoParietal
269,286_FrontoParietal
269,287_FrontoParietal
269,288_FrontoParietal
269,290_FrontoParietal
269,38_SomatomotorDorsal
269,51_CinguloOpercular
269,54_CinguloOpercular
269,59_CinguloOpercular
269,66_CinguloOpercular
269,83_DefaultMode
269,84_DefaultMode
269,88_DefaultMode
269,90_DefaultMode
269,91_DefaultMode
269,97_DefaultMode
