rank,feature_location
1,111_DefaultMode
1,161_Visual
1,187_FrontoParietal
2,1_unassigned
2,219_VentralAttention
3,34_SomatomotorDorsal
3,61_CinguloOpercular
4,116_DefaultMode
5,263_DefaultMode
6,141_Visual
7,205_Salience
8,258_CinguloOpercular
9,238_DefaultMode
10,164_Visual
11,236_MedialTemporalLobe
12,152_Visual
13,10_unassigned
14,95_DefaultMode
15,201_FrontoParietal
16,101_DefaultMode
17,221_DorsalAttention
19,5_unassigned
19,62_CinguloOpercular
20,209_Salience
21,130_DefaultMode
22,253_SomatomotorDorsal
24,168_Visual
24,290_FrontoParietal
25,230_DorsalAttention
26,297_SomatomotorLateral
27,48_SomatomotorLateral
28,80_Auditory
29,55_CinguloOpercular
30,195_FrontoParietal
31,260_CinguloOpercular
33,134_DefaultMode
33,163_Visual
33,254_SomatomotorLateral
35,36_SomatomotorDorsal
36,239_DefaultMode
37,71_Auditory
38,287_FrontoParietal
39,169_Visual
40,97_DefaultMode
41,82_DefaultMode
42,262_DefaultMode
43,173_Visual
44,32_SomatomotorDorsal
46,138_ParietoMedial
46,98_DefaultMode
48,106_DefaultMode
48,93_DefaultMode
49,243_Reward
50,105_DefaultMode
51,174_Visual
52,53_CinguloOpercular
53,33_SomatomotorDorsal
54,176_FrontoParietal
55,135_DefaultMode
56,57_CinguloOpercular
70,100_DefaultMode
70,110_DefaultMode
70,123_DefaultMode
70,137_ParietoMedial
70,139_ParietoMedial
70,144_Visual
70,155_Visual
70,188_FrontoParietal
70,18_SomatomotorDorsal
70,199_FrontoParietal
70,19_SomatomotorDorsal
70,215_VentralAttention
70,217_VentralAttention
70,220_DorsalAttention
70,233_DorsalAttention
70,255_SomatomotorLateral
70,268_CinguloOpercular
70,269_CinguloOpercular
70,273_SomatomotorDorsal
70,277_DefaultMode
70,294_CinguloOpercular
70,30_SomatomotorDorsal
70,70_Auditory
70,76_Auditory
70,77_Auditory
70,8_unassigned
87,120_DefaultMode
87,143_Visual
87,210_Salience
87,242_Reward
87,285_FrontoParietal
87,47_SomatomotorLateral
87,59_CinguloOpercular
87,83_DefaultMode
93,149_Visual
93,200_FrontoParietal
93,276_DorsalAttention
93,64_CinguloOpercular
95,267_CinguloOpercular
122,103_DefaultMode
122,107_DefaultMode
122,108_DefaultMode
122,113_DefaultMode
122,119_DefaultMode
122,11_unassigned
122,126_DefaultMode
122,132_DefaultMode
122,147_Visual
122,151_Visual
122,154_Visual
122,156_Visual
122,15_SomatomotorDorsal
122,160_Visual
122,170_Visual
122,172_Visual
122,178_FrontoParietal
122,180_FrontoParietal
122,189_FrontoParietal
122,203_Salience
122,204_Salience
122,21_SomatomotorDorsal
122,223_DorsalAttention
122,228_DorsalAttention
122,234_MedialTemporalLobe
122,240_Reward
122,250_FrontoParietal
122,256_VentralAttention
122,264_Visual
122,270_SomatomotorLateral
122,288_FrontoParietal
122,289_FrontoParietal
122,293_CinguloOpercular
122,296_SomatomotorDorsal
122,299_SomatomotorDorsal
122,29_SomatomotorDorsal
122,31_SomatomotorDorsal
122,38_SomatomotorDorsal
122,45_SomatomotorLateral
122,50_CinguloOpercular
122,52_CinguloOpercular
122,54_CinguloOpercular
122,60_CinguloOpercular
122,63_CinguloOpercular
122,66_CinguloOpercular
122,67_CinguloOpercular
122,69_Auditory
122,72_Auditory
122,75_Auditory
122,79_Auditory
122,81_DefaultMode
122,84_DefaultMode
122,99_DefaultMode
