rank,feature_location
1,FC_var_21730
1,FC_var_34853
2,FC_var_37220
3,FC_var_32719
4,FC_var_39830
5,FC_var_28177
6,FC_var_35591
6,FC_var_36376
8,FC_var_43637
9,FC_var_27118
10,FC_var_33586
11,FC_var_7442
12,FC_var_41133
13,FC_var_34420
13,FC_var_6678
15,FC_var_13089
15,FC_var_39943
17,FC_var_12739
18,FC_var_34283
18,FC_var_43270
20,FC_var_25787
21,FC_var_10691
22,FC_var_40059
23,FC_var_33817
24,FC_var_38405
24,FC_var_7083
26,FC_var_35407
27,FC_var_39092
28,FC_var_23035
29,FC_var_11976
29,FC_var_18975
31,FC_var_11257
32,FC_var_25032
33,FC_var_32709
34,FC_var_10141
34,FC_var_35625
36,FC_var_31722
37,FC_var_23714
38,FC_var_18820
39,FC_var_32477
40,FC_var_6821
41,FC_var_7998
42,FC_var_2414
43,FC_var_42001
44,FC_var_14906
44,FC_var_23274
46,FC_var_26151
47,FC_var_36968
47,FC_var_40535
49,FC_var_3943
50,FC_var_8343
51,FC_var_11428
52,FC_var_27201
53,FC_var_27331
53,FC_var_9367
55,FC_var_8367
56,FC_var_36665
57,FC_var_32559
58,FC_var_38854
59,FC_var_2597
60,FC_var_30931
61,FC_var_10822
62,FC_var_14626
62,FC_var_44671
64,FC_var_36973
65,FC_var_2070
66,FC_var_29519
67,FC_var_17122
68,FC_var_7436
69,FC_var_41199
70,FC_var_23763
71,FC_var_17488
72,FC_var_3979
73,FC_var_34916
74,FC_var_8260
75,FC_var_40890
76,FC_var_29279
76,FC_var_42590
78,FC_var_32826
79,FC_var_10892
80,FC_var_6734
81,FC_var_23802
82,FC_var_21039
83,FC_var_9252
84,FC_var_7135
85,FC_var_27581
86,FC_var_6638
87,FC_var_487
88,FC_var_6610
89,FC_var_36629
90,FC_var_38413
91,FC_var_31235
91,FC_var_43098
93,FC_var_37405
94,FC_var_30761
94,FC_var_31673
96,FC_var_1660
97,FC_var_30449
98,FC_var_42679
99,FC_var_16602
100,FC_var_25592
101,FC_var_2481
102,FC_var_19346
103,FC_var_25508
104,FC_var_31106
105,FC_var_38844
106,FC_var_6113
107,FC_var_10129
108,FC_var_1715
109,FC_var_17294
110,FC_var_44685
111,FC_var_14461
111,FC_var_15067
113,FC_var_30551
114,FC_var_2740
115,FC_var_28457
117,FC_var_19537
117,FC_var_26348
117,FC_var_27492
119,FC_var_26102
119,FC_var_43286
121,FC_var_21631
122,FC_var_332
123,FC_var_6829
124,FC_var_27194
125,FC_var_10055
126,FC_var_1717
127,FC_var_19618
128,FC_var_1883
129,FC_var_11977
130,FC_var_15560
131,FC_var_34477
132,FC_var_29140
132,FC_var_8743
135,FC_var_26616
135,FC_var_3500
135,FC_var_38579
137,FC_var_7409
138,FC_var_13257
139,FC_var_20080
139,FC_var_6884
141,FC_var_17926
142,FC_var_13205
143,FC_var_15139
144,FC_var_40287
145,FC_var_16443
146,FC_var_44282
147,FC_var_36065
148,FC_var_42615
149,FC_var_26830
149,FC_var_40560
151,FC_var_1902
152,FC_var_1322
152,FC_var_16972
154,FC_var_29544
154,FC_var_41624
156,FC_var_41731
157,FC_var_1726
158,FC_var_29861
159,FC_var_42431
160,FC_var_28767
161,FC_var_12123
162,FC_var_18548
163,FC_var_42981
164,FC_var_2873
165,FC_var_26813
166,FC_var_28802
167,FC_var_1638
167,FC_var_8436
169,FC_var_27144
170,FC_var_5205
171,FC_var_37295
172,FC_var_40888
173,FC_var_27015
174,FC_var_15080
175,FC_var_20722
176,FC_var_41114
177,FC_var_20137
178,FC_var_25636
179,FC_var_32971
180,FC_var_3492
181,FC_var_1708
181,FC_var_9086
183,FC_var_22887
183,FC_var_42770
185,FC_var_32862
186,FC_var_22202
186,FC_var_3780
188,FC_var_33184
189,FC_var_25072
190,FC_var_1872
191,FC_var_11971
191,FC_var_42121
193,FC_var_15478
194,FC_var_16655
195,FC_var_26625
196,FC_var_30538
197,FC_var_2610
197,FC_var_40528
199,FC_var_33462
199,FC_var_33746
201,FC_var_40808
202,FC_var_29695
203,FC_var_20610
